testset_id,group,text_block_en,label_robin,label_marmee,human_consensus_label,final_human_label,model,model_label,model_explanation,model_raw_output,model_valid_label,human_model_agree,agreement_status,article_id,par_index,notes_robin,notes_marmee
253,JPN,"Auf Fernsehbildern war zu sehen, wie Abe zusammengebrochen auf der Straße liegt. Der Politiker habe sich an die Brust gefasst, als er auf der Straße kollabiert sei, sein Hemd sei blutverschmiert gewesen, hieß es in Medienberichten. Auf dem Weg in ein Krankenhaus sei er im Krankenwagen zunächst noch bei Bewusstsein gewesen und habe auf Ansprache reagiert.

Der mutmaßliche Angreifer, ein 41 Jahre alter [Gruppe 1], wurde noch am Tatort wegen versuchten Mordes verhaftet. Laut NHK soll er nach seiner Festnahme gesagt haben, er sei „unzufrieden“ mit Abe und habe ihn „töten“ wollen.

Bei dem Mann soll es sich um ein Ex-Mitglied der Selbstverteidigungsstreitkräfte handeln, berichtet NHK unter Berufung auf Quellen im Verteidigungsministerium. Der Ex-Militär soll die Schüsse mit einem selbstgebastelten Gewehr abgefeuert haben.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die **[Gruppe 1]**-zugehörige Person explizit als Täter des versuchten Mordes und beschreibt seine Festnahme sowie seine eigenen Aussagen zur Tatmotivation, was eine klare Darstellung als kriminelle Bedrohung darstellt.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die **[Gruppe 1]**-zugehörige Person explizit als Täter des versuchten Mordes und beschreibt seine Festnahme sowie seine eigenen Aussagen zur Tatmotivation, was eine klare Darstellung als kriminelle Bedrohung darstellt.",True,False,DISAGREE,632712803dd49b919c0bbaf2,8.0,not clear happened in germany -> but related to it? Verteidigungsministerium? unsure!,
255,SALAF,"Zwei weitere Schüler zeigen das unter [Andere Gruppe] verbreitete „Rabia“-Zeichen. Entstanden ist der Gruß 2013 in Kairo, als die ägyptische Armee eine Blockade der islamistischen Muslimbruderschaft auflöste. Der türkische Staatschef Recep Tayyip Erdogan verwendete den Gruß, als er im Sommer 2016 nach dem gescheiterten Militärputsch vor seine Anhänger trat.

Ein weiterer Jugendlicher auf dem Foto mit der Ministerin posiert mit dem unter [Gruppe 1], auch beim „Islamischen Staat“ verbreiteten gestreckten Zeigefinger.

Mittlerweile haben Faeser und das Bundesinnenministerium reagiert – und das Foto gelöscht. „Die von einigen Schülern gezeigten Symbole auf dem Bild sind inakzeptabel, ich verurteile dies scharf“, schrieb Faeser auf Twitter. Man sei mit dem Projektträger dazu im Gespräch.",CRIME_FRAME_NEG,NO_CRIME_FRAME,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die Gruppe explizit mit dem „gestreckten Zeigefinger“, der beim „Islamischen Staat“ verbreitet ist, und stellt die Verwendung des Symbols als inakzeptabel dar, was eine **ideologische Nähe zu Terrorismus** impliziert.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die Gruppe explizit mit dem „gestreckten Zeigefinger“, der beim „Islamischen Staat“ verbreitet ist, und stellt die Verwendung des Symbols als inakzeptabel dar, was eine **ideologische Nähe zu Terrorismus** impliziert.",True,False,DISAGREE,632712ae3dd49b919c1e771d,9.0,Crime to do the gruß? ,Not related to Germany? 
256,JESID,"Ab Anfang 2015 lebten sie im Irak in Mossul, wo sie die gemeinsame Tochter im Sinne der IS-Ideologie erzogen hätten. In seinem Haus habe das Paar Handgranaten, Sturmgewehre und Sprengstoff eingelagert und zudem in dem Anwesen eine Aufnahmestelle für alleinstehende weibliche IS-Mitglieder eingerichtet. Ab dem Frühjahr 2016 habe sich das Paar auch eine jesidische Sklavin gehalten.

Die [Gruppe 1] sei mit Wissen der Deutschen von ihrem Mann regelmäßig vergewaltigt und geschlagen worden, wie es weiter hieß. Außerdem habe die Gefangene Hausarbeit verrichten und Kinder betreuen müssen. Sie sei zudem gezwungen worden, islamische Riten einzuhalten. „Dies alles diente dem erklärten Ziel des IS, den jesidischen Glauben zu vernichten“, wie es in der Mitteilung weiter hieß. Ab Herbst 2016 sei die Deutsche wieder nach Syrien gezogen.

Die Frau war Ende März mit drei anderen Frauen, darunter zwei weitere Deutsche und eine Frau mit deutsch-marokkanischer Staatsbürgerschaft, bei der Einreise am Flughafen Frankfurt festgenommen worden und danach in Untersuchungshaft gekommen.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die **[Gruppe 1]** wird explizit als Teil des IS dargestellt, der Terrorismus, Gewalt (Vergewaltigung, Sklaverei), Waffenlagerung und die systematische Unterdrückung einer religiösen Minderheit (Jesiden) begangen hat – alles Handlungen, die unter **Terrorismus, Extremismus und organisierte Kriminalität** fallen.","Label: **CRIME_FRAME_NEG**
Explanation: Die **[Gruppe 1]** wird explizit als Teil des IS dargestellt, der Terrorismus, Gewalt (Vergewaltigung, Sklaverei), Waffenlagerung und die systematische Unterdrückung einer religiösen Minderheit (Jesiden) begangen hat – alles Handlungen, die unter **Terrorismus, Extremismus und organisierte Kriminalität** fallen.",True,False,DISAGREE,SZ_added_2247d3ab46a39e8736427370eb7013f3131c94d4_,4.0,victim ,
257,FOR,"Unterstützung aus dem Ausland

Das Asow-Regiment rekrutiert bei dem Instant-Nachrichtendienst Telegram zurzeit auch ausländische Kämpfer. Der »Zeit«-Journalist Christian Fuchs erfuhr bei einer Undercover-Anfrage von einem der Rekruteure: »Wir nehmen gerade alle [Gruppe 1].« Es soll zahlreiche Anfragen geben. Schon in der heißen Phase des Krieges im Donbass im Jahr 2014 und 2015 sollen rund zehn Prozent der knapp tausend Kämpfer zugereiste Rechtsextreme gewesen sein. Sie stammten aus zahlreichen europäischen Ländern und auch aus den USA. Wie das Bundesamt für Verfassungsschutz gegenüber der »Welt« bestätigte, sind in den vergangenen Tagen bereits deutsche Neonazis in die Ukraine ausgereist. Unklar ist, ob sie dem Aufruf von Asow folgen. Der überwiegende Teil der deutschen Neonaziszene unterstützt nach Erkenntnissen der Sicherheitsbehörden Russland. Die italienische Ausgabe der »Huffington Post« hatte vor wenigen Tagen berichtet, es finde gerade ein »Derby« statt zwischen Anhängern neofaschistischer italienischen Parteien. Die einen unterstützten Russland, die anderen die Ukraine.

Extremistisch gesinnte Sölder der Wagner-Gruppe sollen sich Berichten zufolge bereits in der Ukraine befinden und auf russischer Seite kämpfen. Auch die prorussischen Separatisten haben schon seit 2014 ihre eigenen »foreign fighters«. Italiens bekanntester Rechtsextremer im Donbass, Andrea Palmeri, ist der ehemalige Hooligan-Chef des toskanischen Fußballvereins Lucchese. Er soll seit 2014 in Luhansk leben. In einem Facebook-Post von dieser Woche schreibt er, die westlichen Nachrichten »werden mit russenfeindlicher Propaganda und Fake News überflutet«. Ein Profilbild aus dem Jahr 2016 zeigt Palmeris Tattoos auf dem rechten Oberarm: Über dem russischen Adlerwappen hatte er sich ein Eisernes Kreuz einstechen lassen.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Gruppe 1]** (hier: ausländische Rechtsextreme, darunter Neonazis) mit gewalttätigen, extremistischen und militärisch aktiven Handlungen (Kriegsteilnahme, Söldnertum, Unterstützung von Separatisten), die als Bedrohung oder Sicherheitsrisiko dargestellt werden.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Gruppe 1]** (hier: ausländische Rechtsextreme, darunter Neonazis) mit gewalttätigen, extremistischen und militärisch aktiven Handlungen (Kriegsteilnahme, Söldnertum, Unterstützung von Separatisten), die als Bedrohung oder Sicherheitsrisiko dargestellt werden.",True,False,DISAGREE,6327129a3dd49b919c16c302,16.0,not explixit enough if group 1 are Neonazis ,
259,FRA,"Frankreichs Innenminister Gérald Darmanin schrieb auf Twitter, der Mann sei «neutralisiert» worden. «Neutraliser» kann im Französischen unter anderem «ausschalten» oder «töten» heißen. Die Polizei machte auf Anfrage zunächst keine Angabe dazu, ob der Mann getötet wurde oder nicht.

Darmanin sagte vor Ort, dass der Angreifer [Gruppe 1] sei und polizeilich nicht bekannt war. Ihm zufolge wurde bei dem Vorfall am Samstagmorgen auch ein Polizist verletzt. Es gehe diesem aber ganz gut. Marseilles Bürgermeister Benoît Payan sagte, der Angreifer sei mehrfach gewarnt worden, aber wieder auf die Polizisten zugegangen. In dem Fall wurden Untersuchungen eingeleitet.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die Gruppe explizit mit einem gewaltsamen Angriff (Tötung eines Angreifers, Verletzung eines Polizisten) und bezeichnet den Täter als Mitglied der Gruppe, ohne dies zu relativieren oder zu widerlegen.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die Gruppe explizit mit einem gewaltsamen Angriff (Tötung eines Angreifers, Verletzung eines Polizisten) und bezeichnet den Täter als Mitglied der Gruppe, ohne dies zu relativieren oder zu widerlegen.",True,False,DISAGREE,632712853dd49b919c0e313c,5.0,not germany,
262,REFUG,"[[Das WSJ weiter: „Die Arbeitslosigkeit bei [Andere Gruppe] liegt bei etwa 12 Prozent, bei Deutschen unter 5 Prozent.“ Anders als in den USA: Dort sei die Arbeitslosigkeit unter [Andere Gruppe] NIEDRIGER als unter [Andere Gruppe].]]

[[Das „Hauptproblem“ dabei sei, dass unter den [Andere Gruppe] kaum Menschen mit ausreichender Ausbildung oder Arbeitserfahrung seien. „Viele [Gruppe 1] sind für den deutschen Hochqualifizierten-Arbeitsmarkt schlecht geeignet und Deutschland ist nicht gut darin, sie auszubilden.“]]

[[Das WSJ ist skeptisch, dass die Einwanderungs-Reformen der Ampel-Regierung die Situation verbessern werden. Deutschland werde „wahrscheinlich weiterhin viele [Andere Gruppe] aufnehmen, die es nicht beschäftigen kann, die die Reihen der Sozialhilfeempfänger füllen oder die Kriminalstatistik ankurbeln werden, wo sie bereits überrepräsentiert sind“.]]",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Text verknüpft explizit die **[Andere Gruppe]** mit einer „überrepräsentierten“ Rolle in der **Kriminalstatistik** und deutet an, dass sie diese „ankurbeln“ wird, was eine direkte negative Assoziation mit Kriminalität darstellt.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit die **[Andere Gruppe]** mit einer „überrepräsentierten“ Rolle in der **Kriminalstatistik** und deutet an, dass sie diese „ankurbeln“ wird, was eine direkte negative Assoziation mit Kriminalität darstellt.",True,False,DISAGREE,6398bea666192abcbf04e865,9.0,Andere Gruppe related to crime ,
266,ARAB,"Der Bürgermeister von Bnei Brak hatte die Einwohner nach dem Anschlag aufgerufen, ihre Häuser nicht zu verlassen. Es gab zunächst Spekulationen über mögliche weitere Attentäter. Am Ort des Geschehens waren zahlreiche Rettungswagen und Polizeikräfte zu sehen. Ein Mitarbeiter des Rettungsdienstes Zaka sagte der Deutschen Presse-Agentur, der Anblick vor Ort sei ""erschütternd"" gewesen. ""Ich habe vier Tote auf der Straße gesehen."" Er habe einen Mann mit Schussverletzungen behandelt, sagte der Sanitäter.

Damit sind binnen einer Woche elf [Andere Gruppe] bei Anschlägen ums Leben gekommen. Erst am Sonntag waren bei einem Anschlag in der Küstenstadt Chadera zwei Polizisten und beide Attentäter getötet worden. Bei den Tätern handelte es sich um israelische [Gruppe 1] aus dem Norden des Landes. Vor einer Woche waren bei einem weiteren Terroranschlag in Beerscheva im Süden Israels vier Menschen getötet worden, zwei Männer und zwei Frauen. Der Attentäter, ein Beduine aus der Negev-Wüste, wurde von Passanten erschossen.

Der israelische Oppositionsführer Benjamin Netanjahu schrieb bei Twitter, es sei ""ein trauriger und schwerer Abend"". Israel befinde sich ""auf der Höhe einer gefährlichen Terrorwelle, wie wir sie seit Jahren nicht mehr erlebt haben"". Er forderte ein entschlossenes Vorgehen, ""um den Bürgern Israels Ruhe und Sicherheit zurückzubringen"".",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Text verknüpft explizit die **[Gruppe 1]** (israelische Araber) als Täter der Anschläge und Terrorakte, die als Sicherheitsbedrohung für Israel dargestellt werden.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit die **[Gruppe 1]** (israelische Araber) als Täter der Anschläge und Terrorakte, die als Sicherheitsbedrohung für Israel dargestellt werden.",True,False,DISAGREE,6327129e3dd49b919c185759,7.0,,
270,ISLMST,"Konflikt mit der Nato: Russland droht mit Truppen in Kuba und VenezuelaBürgermeister von Kiew: Vitali Klitschko: ""Das gefällt Putin nicht""Proteste in Kasachstan: Almaty: Putins Truppen ziehen ab

Insgesamt sollen etwa 2.500 Soldaten des OVKS im Einsatz gewesen sein. Tokajew sprach davon, dass mithilfe der Bündnispartner ein von außen gelenkter Umsturzversuch abgewehrt worden sei und auch einige von militanten [Gruppe 1] ausgebildete [Andere Gruppe] hinter den Unruhen stecken würden.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Gruppe 1]** mit militanter Ausbildung und Beteiligung an den Unruhen, was sie als Sicherheitsbedrohung und Quelle von Gewalt darstellt.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Gruppe 1]** mit militanter Ausbildung und Beteiligung an den Unruhen, was sie als Sicherheitsbedrohung und Quelle von Gewalt darstellt.",True,False,DISAGREE,632712a23dd49b919c1a1e45,14.0,,
271,USA,"Es müssen noch mehr „[Andere Gruppe]“ kommen dürfen, denn unter 100 Ungerechten könnte ein Gerechter sein. Und wenn nur dieser eine seine archaischen Vorstellungen ablegt, dann ist dies unsere Opfer wert. Dafür lohnen sich die toten Mädchen, erstochenen Frauen und die totgeprügelten Familienväter. Denn jedes, wirklich jedes Menschenleben zählt und jeder hat eine Geschichte, die ihn zu solchen Taten getrieben hat. Deshalb haben wir Verständnis, bis das Messer in der Niere sitzt und wir zu Boden niedergehen. WIR HABEN VERSTÄNDNIS. Wir sind nach allen Seiten hin offen, gerade und insbesondere die nach Liebe ausgehungerten alten Hippieschrapnellen, die hamburgerverfetteten, jungen Frauen, die sonst keinen anderen Mann finden und die alten, einsamen Rentnerinnen, deren Männer tot sind und deren Kinder sich als Menschenrechtler und Entwicklungshelferinnen in Afrika herumtreiben.

Diese aufopfernde Hilfe schulden wir unserer Vergangenheit! Wir schulden sie unserer Geschichte. Wir schulden sie den [Andere Gruppe]. Wir schulden sie den [Andere Gruppe]. Wir schulden sie den [Andere Gruppe]. Wir schulden sie einfach jedem, der uns sonst beschuldigt und mit neuer Schuld belädt. Es gibt im Grunde keine schlechten Menschen – außer den Deutschen und Putin. Deshalb dürfen und sollen alle kommen, damit wir ihnen vor Wonne seufzend alles geben können. Und wenn uns der [Gruppe 1] sagt, dass die [Andere Gruppe] böse sind, dann sind sie böse. Und wenn er uns sagt, dass wir sein dreckiges, überteuertes Fracking-Flüssiggas, das ein Weltmeer auf dem Weg nach Deutschland überqueren muss, besser sei als moralisch besudeltes russisches Gas: Dann ist das so.

Gegen [Andere Gruppe] ist alles erlaubt",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Text verknüpft die **[Andere Gruppe]** explizit mit Gewalt und Mord („totgeprügelten Familienvätern“, „erstochenen Frauen“, „toten Mädchen“) und rechtfertigt diese Taten als „Opfer wert“, was eine **legitimierende und gewaltunterstützende Haltung** gegenüber kriminellen Handlungen der Gruppe darstellt.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft die **[Andere Gruppe]** explizit mit Gewalt und Mord („totgeprügelten Familienvätern“, „erstochenen Frauen“, „toten Mädchen“) und rechtfertigt diese Taten als „Opfer wert“, was eine **legitimierende und gewaltunterstützende Haltung** gegenüber kriminellen Handlungen der Gruppe darstellt.",True,False,DISAGREE,632712913dd49b919c134ca0,9.0,Propaganda? ,
272,MIGR,"Doch auch Serbien spielt natürlich eine Rolle bei der irregulären Migration – ebenso wie die Türkei, wo im Zuge der beginnenden Kampagne für die Präsidenten- und Parlamentswahlen immer offener gegen syrische [Andere Gruppe] gehetzt wird. Auch die Rhetorik des serbischen Staatspräsidenten Aleksandar Vucic und seines rechtsextremen Innenministers Vulin, der den gleichen Vornamen trägt, ist an solchen Mustern geschult. Das Vorbild heißt Orbán.

Vulin ist Vucics Mann fürs Grobe, der oft sagt, was sein Chef vermutlich denkt, aber mit Rücksicht auf sein Ansehen in der EU nicht selbst zu äußern wagt. Im Juli zeigten Fotos den Innenminister im serbischen Grenzgebiet. Etwa hundert aufgegriffene [Gruppe 1], alles Männer, mussten sich vor ihm auf den Boden knien und die Hände hinter dem Kopf halten wie Kriegsgefangene, während Vulin die Gruppe inspizierte. Er sprach später von „Banditen und Abschaum aus Asien“, für den in Serbien kein Platz sei. Zuvor hatte es bei einem Kampf rivalisierender Schlepperbanden in Serbien einen Toten und mehrere Verletzte gegeben.

Serbien Visapolitik ist problematisch",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die **[Gruppe 1]** explizit mit kriminellen Zuschreibungen („Banditen und Abschaum aus Asien“) und stellt sie als Sicherheitsrisiko dar, das von serbischen Behörden als Bedrohung behandelt wird.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die **[Gruppe 1]** explizit mit kriminellen Zuschreibungen („Banditen und Abschaum aus Asien“) und stellt sie als Sicherheitsrisiko dar, das von serbischen Behörden als Bedrohung behandelt wird.",True,False,DISAGREE,6339701f07d5171f9e08cfd7,16.0,not germany related,
