article_id,par_index,group,text_block_en,raw_output,label,explanation
BADZ-51300241040,6,ASYL,"Bei den Deliktarten dominieren die Vermögens- und Fälschungsdelikte mit 33 Fällen. In diesem Bereich gab es auch eine nennenswerte Zunahme um gut 22 Prozent. In diese Rubrik fallen unter anderem solche Delikte, die in der Anonymität des Internets begangen werden. Die Aufklärungsquote liegt hier entsprechend niedrig bei gut 33 Prozent. 

Keine Angriffe gegen PolizeibeamteStraftaten gegen das Leben, zu denen neben Tötungsdelikten unter anderem auch die Aussetzung gehört, gab es erfreulicherweise keine. Straftaten gegen die sexuelle Selbstbestimmung wurden sechs angezeigt, zwei mehr als im Vorjahr. Die Aufklärungsquote betrug hier hundert Prozent. Das Gleiche gilt für die sieben Körperverletzungen. Fälle häuslicher Gewalt gegen den Partner gab es in vier Fällen, Gewalt gegen Polizeibeamte gab es wie im Vorjahr gar nicht. Erfreulich ist auch die Tatsache, dass im Berichtszeitraum lediglich ein Wohnungseinbruch gemeldet wurde, der sich später jedoch als Fehlalarm erwiesen hat. Besonders positiv bewerten die beiden Polizeibeamten auch den mit 7,7 Prozent sehr niedrigen Anteil von Jugendlichen an den ermittelten Straftätern. ""Einen solchen Wert hatten wir noch gar nie,"" freute sich Thomas Ciesel. ""Sie haben in Vogtsburg überhaupt kein Problem mit der Jugend"", lobte der Hauptkommissar. Elf der insgesamt 52 ermittelten Tatverdächtigen verfügten über keinen deutschen Pass. Drei von ihnen waren [Gruppe 1]. Auch dieser Wert sei unproblematisch, so der für Vogtsburg zuständige Ordnungshüter.

Weniger UnfälleLeicht rückläufig (von elf auf zehn) war auch die Zahl der Verkehrsunfälle mit Personenschaden, die sich 2021 auf Vogtsburger Gemarkung ereigneten. Lediglich in zwei Fällen (Vorjahr 5) gab es Schwerverletzte. Als häufigste Unfallursachen benennt der Bericht überhöhte Geschwindigkeiten und den Konsum von Rauschmitteln und -giften. Schmidt appellierte in diesem Zusammenhang an die Menschen, unter Einfluss von Alkohol und Drogen nicht am Verkehr teilzunehmen. ""Diese Unfälle können leicht vermieden werden, so Schmidt"". Kleinere Unfallschwerpunkte gab es lediglich in Burkheim an der Kreuzung bei der Kreuz-Post mit vier Unfällen sowie in Oberrotweil an der Einmündung der Eisentalstraße auf die Hauptstraße mit fünf Unfällen.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird zwar erwähnt, aber es wird **keine explizite Verknüpfung** zwischen [Gruppe 1] und Kriminalität oder Sicherheit hergestellt – die Tatverdächtigen ohne deutschen Pass werden lediglich als statistische Information genannt, ohne dass ihnen eine spezifische Straftat oder Bedrohung zugeschrieben wird.",NO_CRIME_FRAME,"Die Gruppe wird zwar erwähnt, aber es wird **keine explizite Verknüpfung** zwischen [Gruppe 1] und Kriminalität oder Sicherheit hergestellt – die Tatverdächtigen ohne deutschen Pass werden lediglich als statistische Information genannt, ohne dass ihnen eine spezifische Straftat oder Bedrohung zugeschrieben wird."
632712833dd49b919c0cf1dc,2,ESP,"König Felipe VI. hat den [Gruppe 1] ungefragt und auf den Cent genau mitgeteilt, wie viel er auf dem Konto hat: Es sind 2.573.392,80 Euro, wenn man noch Antiquitäten, Kunst und Schmuck dazurechnet. Ein Kommentator der konservativen Zeitung „El Mundo“ lobte, der „wirtschaftliche Striptease” ehre den König und stütze die Krone. Schon seit seiner Thronbesteigung veröffentlicht er jedes Jahr, was er, seine Frau Letizia und seine Eltern aus Steuermitteln „verdienen“. Der Kontrast zu seinem Vater Juan Carlos I. könnte kaum größer sein. Felipe Juan Pablo Alfonso de Todos los Santos de Borbón y Grecia, wie sein Taufname lautet, möchte der erste Beamte seines Staates sein, und dem will er sich als nützlich erweisen.

Wegen der finanziellen und amourösen Affären seines Vaters versucht er seit 2014 zu retten, was kaum noch rettbar erscheint. Juan Carlos I., der nach dem Tod des Diktators Francisco Franco eine wichtige Rolle beim Übergang zur Demokratie spielte, hat seinem Sohn ein vergiftetes politisches Erbe hinterlassen: Immer mehr [Gruppe 1] wenden sich von der Monarchie ab. Je mehr die Erinnerung an die Verdienste des emeritierten Königs verblasst, desto größer wird der Wunsch nach einem Systemwechsel.

Das gilt nicht nur für die Wähler linker Parteien und die separatistischen Republikaner aus Katalonien. Vor allem die Jüngeren bringen Juan Carlos oft nur noch mit der fatalen Elefantenjagd, deren Folgen und den zahllosen Finanzskandalen in Verbindung. Der König hatte sich im April vor zehn Jahren auf einer Luxussafari während der verheerenden Wirtschaftskrise nicht nur die Hüfte gebrochen. Es wurde auch sein Verhältnis mit Corinna zu Sayn-Wittgenstein-Sayn bekannt, der er später 65 Millionen Euro schenkte – die er selbst vom saudischen Königshaus erhalten hatte.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert zwar Kriminalität (Finanzskandale, Elefantenjagd, Affären) und politische Abkehr von der Monarchie, verknüpft diese aber **nicht explizit mit [Gruppe 1]** – die Gruppe wird nur als passive Akteurin (Wähler:innen) erwähnt, nicht als Täterin oder Sicherheitsrisiko.",NO_CRIME_FRAME,"Der Absatz thematisiert zwar Kriminalität (Finanzskandale, Elefantenjagd, Affären) und politische Abkehr von der Monarchie, verknüpft diese aber **nicht explizit mit [Gruppe 1]** – die Gruppe wird nur als passive Akteurin (Wähler:innen) erwähnt, nicht als Täterin oder Sicherheitsrisiko."
635bc5af5c6086a0950a714a,19,MUSL,"Was beim „Spiegel” verhaltenen Unmut triggert, treibt engagierte iranische Frauenrechtlerinnen zum entschlossenen Protest auch in Deutschland: Parisa Khayamdar, eine Exil-[Andere Gruppe], übernachtet – als sichtbarer Protest gegen die Mullahs und deren frauenfeindliche Gewalt im Iran – seit mehr als zwei Wochen in einem Zelt direkt gegenüber der Grünen-Parteizentrale in Berlin. Für die grünen Haltungsweltmeister eine maximale Peinlichkeit, zudem eine gefährliche Provokation und eine knifflige Herausforderung: Denn ihr Image als angeblich humanste Partei des Völkerrechts und des Feminismus sowie der „universellen” Menschenrechte gerät komplett ins Wanken und wird in ihrer heuchlerischen Widerwärtigkeit schonungslos dekouvriert. Nacht für Nacht kampiert die Exil-[Andere Gruppe] als lebendes Mahnmal dort, Tag für Tag – und hält den verlogenen grünen Doppelmoralisten den Spiegel vor. Sie will den Druck auf die Politik aufrecht erhalten – laut „Spiegel“ vor allem auf Baerbock. Khayamdar selbst sagt dazu: „Das ist kein Camp, sondern Kampf.“

Doch kommen wir zum eigentlichen Thema des Beitrags: Nichts an den Grünen ist echt. Auch nicht der noch relativ neue Co-Bundesvorsitzende der Grünen, Omid Nouripour, eine Art sprach- und grammatikbefähigte Version von Baerbock und damit der grünen Verlogenheit, die der Partei ein „neues“ Gesicht verleiht: Das Gesicht der grünen, „feministischen” Außenpolitik. Der orientalische Mann als perfektes Äußeres für die giftgrünen Lügen. Denn Nouripour ist [Gruppe 1] und damit Teil jener Kopftuchkultur, welche von „Emma“-Herausgeberin Alice Schwarzer wegen dieses Kleidungsstücks heftig kritisiert wird. Das Kopftuch als sichtbares Symbol der Unterdrückung der Frau – das war der offenbar noch echte Feminismus von gestern. Das Kopftuch heute ist das Hassobjekt der [Andere Gruppe] – und dort nicht nur der Frauen, sondern auch der reformlechzenden Männer, und zwar genau deshalb. Die iranische „Sittenpolizei“ (!) verkörpert in diesem Spiel – schon mit ihrem Namen – Mittelalterlichkeit und Finsternis eines archaischen, primitiven und barbarischen Systems. Natürlich aber nicht für einen [Gruppe 1] wie Nouripour. Denn der hat auch etwas gegen [Andere Gruppe], also nicht so direkt (heuchel, heuchel), aber wenn die da irgendwelche Geschäfte machen auf dem Land der Palästinenser, also dann muss man als aufrechter [Gruppe 1] doch mal laut „Boykott!“ rufen.

Judenboykott und Islamverständnis seitens Nouripour","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert politische Haltung, Feminismus, Kopftuchdebatten und Boykottaufrufe, aber **keine explizite Verknüpfung von [Gruppe 1] oder [Andere Gruppe] mit Kriminalität, Sicherheit oder Bedrohung**.",NO_CRIME_FRAME,"Der Absatz thematisiert politische Haltung, Feminismus, Kopftuchdebatten und Boykottaufrufe, aber **keine explizite Verknüpfung von [Gruppe 1] oder [Andere Gruppe] mit Kriminalität, Sicherheit oder Bedrohung**."
6353e2e560d398afa901e3b8,10,MIGR,"[Andere Gruppe] entsorgen eigene Papiere

Die gefälschten Papiere sollen über Mittelsmänner ins Ausland geliefert worden sein. Mit diesen Schein-Papieren, so heißt es, hätten die [Gruppe 1] beim Verlassen ihres Heimatlandes fälschlicherweise ein Aufenthaltsrecht in Deutschland vorweisen können.

Wie es bei „[Andere Gruppe]“ sehr häufig der Fall ist: Vor Betreten der Bundesrepublik sollen die vermeintlichen „[Andere Gruppe]“ die eigenen Originalpapiere entsorgt haben. Bisher hat die Bundespolizei mindestens 26 solcher Betrugsfälle festgestellt, die wahrscheinlich nachgewiesen werden können. Die Ermittlungen der deutschen Behörden dauern an. Vielleicht werden noch weitere Verdächtige verhaftet.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Andere Gruppe]** mit Betrugsdelikten (gefälschte Papiere, Aufenthaltsbetrug) und stellt sie als Tätergruppe dar, die systematisch Straftaten begeht.",CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Andere Gruppe]** mit Betrugsdelikten (gefälschte Papiere, Aufenthaltsbetrug) und stellt sie als Tätergruppe dar, die systematisch Straftaten begeht."
TA-57A0F59FC15392FA3FB26D0944D81879_3266575,2,REFUG,"Kiew/Lwiw Russland hat bei seinem Krieg in der Ukraine erstmals auch einen folgenreichen Raketenangriff in unmittelbarer Nähe der polnischen Grenze verübt. Mindestens 35 Menschen starben bei der Attacke am Sonntagmorgen auf einen Truppenübungsplatz unweit der Stadt Lwiw. 134 weitere wurden nach ukrainischen Angaben verletzt. Unter anderem auch rund um Kiew gingen am 18. Tag der Invasion heftige Gefechte weiter. Die Lage mehrerer Hunderttausend Einwohner der belagerten Hafenstadt Mariupol bleibt dramatisch.

Der Angriff bei Lwiw hat eine besondere Brisanz. In der Stadt sammeln sich viele [Gruppe 1]. Der Übungsplatz Jaworiw ist nur rund 15 Kilometer von der Grenze zu [Andere Gruppe] entfernt. Auf ihm waren zumindest vor dem Krieg viele Nato-Ausbilder aktiv. Videos und Fotos zeigten schwere Zerstörungen. Gebietsgouverneur Maxym Kosyzkyj zufolge wurden mehr als 30 Raketen abgefeuert. Der ukrainische Verteidigungsminister Olexij Resnikow forderte nach dem Angriff erneut eine Flugverbotszone über dem Land. dpa Seite 8

","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert einen **militärischen Angriff im Rahmen eines Krieges** (keine innerstaatliche Kriminalität) und die Gruppe wird **nicht mit Straftaten oder Sicherheitsbedrohungen verknüpft**, sondern als mögliche **Opfer oder betroffene Zivilisten** erwähnt.",NO_CRIME_FRAME,"Der Absatz thematisiert einen **militärischen Angriff im Rahmen eines Krieges** (keine innerstaatliche Kriminalität) und die Gruppe wird **nicht mit Straftaten oder Sicherheitsbedrohungen verknüpft**, sondern als mögliche **Opfer oder betroffene Zivilisten** erwähnt."
MAZ-3.04060920001655e+20,2,REFUG,"MAINZ (slo). Die Stadt wird vorerst doch nicht auf die Notunterkunft in der Sporthalle ""Am Großen Sand"" in Mombach zurückgreifen. Das hat der Verwaltungsstab in seiner Sitzung am Mittwoch entschieden. Oberbürgermeister Michael Ebling (SPD) hatte noch am Dienstag erklärt, dass Mombach als Nächstes belegt werde.

Sollte die Notunterkunft in der Sporthalle Drais ausgelastet sein, werden die ukrainischen [Gruppe 1] als Nächstes in der Sporthalle am Ried in Laubenheim untergebracht. Auch diese verfügt über rund 100 Plätze - hergerichtet als Notunterkunft ist sie allerdings noch nicht. Derzeit wird sie noch von den Laubenheimer Vereinen genutzt. Wie lange das noch möglich ist, steht derzeit noch nicht fest, erklärte Stadtsprecherin Sarah Heil. Gründe für die Entscheidung des Hallenwechsels nannte die Stadt nicht. Sobald die Halle in Laubenheim mit [Gruppe 1] belegt werden kann, kann die Sporthalle in Mombach wieder von den Sportvereinen genutzt werden.

","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz behandelt ausschließlich die Unterbringung ukrainischer Geflüchteter in Notunterkünften und enthält keine explizite Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung.",NO_CRIME_FRAME,"Der Absatz behandelt ausschließlich die Unterbringung ukrainischer Geflüchteter in Notunterkünften und enthält keine explizite Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung."
632712b53dd49b919c212886,7,RUS,"Für Exil-[Gruppe 1] und -[Gruppe 1] sind Armenien, Georgien und die Türkei* zu beliebten Ländern geworden. Die Menschen hätten ihre Heimat nicht nur wegen der schlechten wirtschaftlichen Aussichten angesichts der harten Sanktionen des Westens verlassen. Vor allem junge Männer haben Berichten der Deutschen Presse-Agentur (dpa) zufolge Angst, zum Wehrdienst eingezogen zu werden.

In Armenien seien nach offiziellen Angaben mittlerweile 75.000 Menschen aus Russland angekommen. Wie ein dpa-Reporter berichtet, sind Hotels, Pensionen und Mietwohnungen in der Hauptstadt Eriwan voll belegt. Auch Georgien gilt als ein beliebter Zufluchtsort für Menschen aus Russland. Dort wird, ebenso wie in Armenien, Russisch gesprochen. Bis Mitte März 2022 registrierten die Behörden mehr als 30.000 Einreisen aus dem Nachbarland. Mehr als 17.000 [Gruppe 1] und [Gruppe 1] haben das Land laut georgischem Innenministerium aber wieder verlassen.

Tausende Menschen sind seit Beginn des Ukraine-Krieges aus Russland geflohen. Sie können es nicht ertragen, unter der Herrschaft Wladimir Putins zu leben. (Archivbild) © Kay Nietfeld/dpa","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert ausschließlich Fluchtgründe (politische Verfolgung, Wehrdienstangst) und Migration ohne jede Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung.",NO_CRIME_FRAME,"Der Absatz thematisiert ausschließlich Fluchtgründe (politische Verfolgung, Wehrdienstangst) und Migration ohne jede Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung."
MAZ-3.04996140001657e+20,7,TUR,"Ahmed, der seinen richtigen Namen nicht genannt wissen will, plant seine Bewerbung, weil er in der Türkei keine Perspektiven mehr sieht. Die Inflation liegt bei über 70 Prozent, die türkische Lira hat seit Anfang vorigen Jahres die Hälfte ihres Wertes gegenüber dem Euro verloren. Der monatliche Mindestlohn, den Millionen [Gruppe 1] beziehen, ist nur noch 240 Euro wert. Gleichzeitig steigen die Ausgaben für Miete, Gas und Strom; viele müssen ans Ersparte gehen, um über die Runden zu kommen. ""Es wird immer schwerer, den Lebensstandard der letzten zehn Jahre zu halten"", sagt Ahmed.

Im Laufe seiner Pilotenausbildung hat Ahmed an verschiedenen Flughäfen gearbeitet, er kennt die Abläufe, spricht perfekt Englisch und hat alle erforderlichen Sicherheitsüberprüfungen absolviert. Diese Voraussetzungen und die Aussicht, in der Bundesrepublik arbeiten zu können, machen das Angebot der deutschen Flughäfen für ihn sehr attraktiv. ""Deutschland war schon immer das Lieblingsland für [Gruppe 1].""

Dass er als ausgebildeter Pilot am Gepäckband die Koffer deutscher Urlauber sortieren müsste, nimmt er in Kauf. In der Türkei hat er beobachtet, wie sich gut ausgebildete [Andere Gruppe] aus Zentralasien als Hilfsarbeiter verdingen. ""Eine Ärztin aus Georgien verdient als Putzfrau in der Türkei mehr als in einer Klinik in ihrer Heimat"", sagt er. ""Jetzt sind wir [Gruppe 1] an der Reihe."" Selbst wenn er nur für ein paar Monate im Ausland arbeiten könne, sei das für ihn besser, als in der Türkei zu bleiben.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert ausschließlich wirtschaftliche und berufliche Perspektiven der Gruppe ohne jede Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung.",NO_CRIME_FRAME,"Der Absatz thematisiert ausschließlich wirtschaftliche und berufliche Perspektiven der Gruppe ohne jede Verknüpfung mit Kriminalität, Sicherheit oder Bedrohung."
632712943dd49b919c146f08,4,REFUG,"Eine Schule in Köln: Marian (links) und Ostap aus der Ukraine sitzen beim Unterricht mit Schülern aus anderen Ländern in der Internationalen Klasse der Max-Ernst-Gesamtschule zusammen und lernen.

Viele Kinder und Jugendliche aus der Ukraine mussten vor der russischen Invasion nach Deutschland fliehen. Nun sollen sie hier in die Schule gehen. Deutschlandweit besuchen derzeit schon mehr als 20.000 ukrainische [Gruppe 1] deutsche Klassenzimmer.

Bergisch Gladbach. Mehr als 20.000 [Gruppe 1] aus der Ukraine haben die Schulen deutschlandweit schon aufgenommen. An einem Gymnasium nahe Köln wohnen viele der Neuen auch bei ihren Mitschülern. Die Bundesländer stehen vor einer enormen Aufgabe.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert ausschließlich die Flucht und schulische Integration ukrainischer Kinder/Jugendlicher ohne jeden Bezug zu Kriminalität, Sicherheit oder Bedrohung.",NO_CRIME_FRAME,"Der Absatz thematisiert ausschließlich die Flucht und schulische Integration ukrainischer Kinder/Jugendlicher ohne jeden Bezug zu Kriminalität, Sicherheit oder Bedrohung."
632712bb3dd49b919c23840e,1,KOR,"

Stuttgart - Erst kamen die [Andere Gruppe], dann die [Gruppe 1], nun folgen die [Andere Gruppe]. Es gibt kaum Zweifel, dass sich China als dritte asiatische Nation über kurz oder lang auch in Deutschland etablieren wird. Gewiss wird dies nicht einfach, weil der Wettbewerb knüppelhart ist und die Ansprüche der Kunden hoch sind. Zudem ist der Markt eigentlich gesättigt. Wenn einer mehr vom Kuchen naschen will, bleibt für die anderen weniger übrig. Es wird also einen Verteilungskampf und auch Verlierer geben.

Cmpoi Xxl xgu gilklep Hyjp-Oqljvbi: F-Wiiuk sih Wmsis hafvkn Ewpouy hvruiof","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert wirtschaftliche Konkurrenz und Marktverteilung, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Bedrohung verknüpft wird.",NO_CRIME_FRAME,"Der Absatz thematisiert wirtschaftliche Konkurrenz und Marktverteilung, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Bedrohung verknüpft wird."
