testset_id,article_id,par_index,group,text_block_en,label_robin,label_hamid,label_marmee,notes_robin,notes_hamid,notes_marmee,n_human_annotators,human_consensus_label,human_agreement,final_human_label,human_label_for_evaluation
51,638103ba2143ea68870cffb5,8,AFG,"[[Ein Mitbewohner zu BILD:][ „Man sah ihn kaum, er war zurückhaltend. Arbeit hatte er nicht.“]]

[[In der Unterkunft „Kornkamp“ war im September 2021 eine [Gruppe 1] erstochen, ihr Ehemann später zu lebenslanger Haft verurteilt worden.]]

[[Jetzt der Fall des vergewaltigten Mädchens. Der mutmaßliche Täter wurde einem Richter vorgeführt, der Haftbefehl erließ. Der aus Guinea stammende Mann kam in U-Haft.]]",,CRIME_FRAME_POS,CRIME_FRAME_NEG,,"The text describes two violent criminal cases: the murder of a [Group 1] in Kornkamp (husband sentenced to life imprisonment), and a rape case where the suspect (from Guinea) was arrested and placed in pre-trial detention. This is crime-related due to the involvement of violent crimes.",,2,NO_HUMAN_CONSENSUS,0.5,,NO_HUMAN_CONSENSUS
52,6327129c3dd49b919c1765c4,9,GBR,"Im Estadio Ramón Sánchez Pizjuán herrschte von Beginn an eine Wahnsinnsstimmung. Die Eintracht-Fans hatten ihr Team mit einer erneut beeindruckenden Choreographie empfangen, in den Gassen und auf den Plätzen der andalusischen Metropole verfolgten Tausende Anhänger beider Clubs das Endspiel ohne Ticket. Während der Partie berichteten spanische Medien von Auseinandersetzungen beider Fangruppen etwa drei Stunden vor dem Anpfiff. In der Arena überwog die Euphorie. ""Wir werden der Chef im Stadion sein"", hatte Eintracht-Präsident Peter Fischer angekündigt.

Und die Hessen starteten sehr engagiert in die Partie. Mit viel Risiko und scharfen Pässen spielte sich die Eintracht immer wieder an den Rangers-Strafraum – musste in der fünften Minute aber gleich einen Schockmoment überstehen. Rode blieb nach einem Foul von John Lundstram am Kopf blutend auf dem Rasen liegen und wurde mehrere Minuten behandelt. Der [Gruppe 1] hatte den Eintracht-Profi mit dem Schuhstollen an der Stirn getroffen.

Die erste Halbchance hatte Daichi Kamada, der nach einem kurzen Solo aber nicht zum Abschluss kam. Den anschließenden Schuss von Djibril Sow fing Glasgows 40 Jahre alter Torwart Allan McGregor ohne Mühe (12.). Beim Versuch von Ansgar Knauff mit dem linken Fuß hatte McGegor schon mehr Mühe (20.). Die Eintracht war zumindest in der ersten halben Stunde deutlich näher an der Führung, beim Konter über Filip Kostic schien mehr drin (32.).",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
53,6327129b3dd49b919c16d713,34,MUSL,"Zur Wahl stehen am 24. April nun nicht nur zwei sehr verschiedene Kandidaten, sondern zwei Gesellschaftsmodelle: Macron sieht in einer engeren Zusammenarbeit der [Andere Gruppe] eine Chance für Frankreich, Le Pen hält sie für eine Bedrohung. Macron möchte die Grenzen des Schengenraums besser schützen, Marine Le Pen will den Schengenraum neu verhandeln. Die Frage ist, für welches Modell sich die [Andere Gruppe] entscheiden werden.

Wollen sie wirklich eine Präsidentin, die das Tragen eines Kopftuchs im öffentlichen Raum unter Strafe stellen will? 135 Euro sollen [Gruppe 1] zahlen, wenn sie das geplante Verbot ignorieren. Ob sie damit nicht gegen das Gebot der freien Religionsausübung verstoße, wurde sie in ihrem ersten Interview nach der Wahl am Dienstagmorgen im Radiosender »France Inter« gefragt.

»Das Kopftuch ist eine islamistische Uniform, keine muslimische Uniform. Es ist die Uniform einer Ideologie, nicht die einer Religion«, antwortete Le Pen.",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
54,637cd741cd8cb379d607c8bc,7,GEO,"Noch in der Nacht konnte von den Ermittlern der Grenzpolizei ein weiterer Ladendiebstahl in einem Verbrauchermarkt in Murnau vom Samstag, 19. November 2022, den beiden Verdächtigen nachgewiesen werden. Dort waren 23 Flaschen von bislang unbekannten Tätern entwendet worden. Die Auswertung der Videoaufzeichnungen vom Verbrauchermarkt überführte die beiden Verdächtigen.

Die Weiterfahrt wurde unterbunden und ein Strafverfahren wegen Fahrens ohne Fahrerlaubnis und der Ladendiebstähle eingeleitet. Die Spirituosen wurden sichergestellt. Der 31-jährige [Gruppe 1] wurde aufgefordert das Bundesgebiet zu verlassen. kb",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
55,632712853dd49b919c0e0362,10,UKR,"Grund zur Beruhigung ist das nicht. Nach Einschätzungen von Expertinnen und Experten ist die Bedrohungslage für ankommende [Gruppe 1] sehr real. Die Sozialarbeiterin und Frauenrechtlerin Sabine Constabel macht in einem Interview mit den Stuttgarter Nachrichten auf die besondere Form der Ansprache von [Andere Gruppe] Frauen aufmerksam: „Die Befürchtung ist, dass da auch Menschenhändler, so genannte Loverboys, unterwegs sind, die erst mal sehr nett zu den Frauen sind, sich um sie kümmern, vielleicht sogar die Sprache sprechen, aber irgendwann eine Gegenleistung einfordern und zu Zuhältern werden.“

Auch die Aktivistin Huschke Mau sieht diese Gefahr und warnt in sozialen Medien sowohl vor Männern, die momentan versuchen würden, sich eine „Privatprostituierte“ zuzulegen, als auch vor organisierter Zuhälterei. Schon bald, so ihre Vorhersage, würden [Andere Gruppe] [Gruppe 1] in deutschen Bordellen arbeiten.

„Bordell Europas“: Prostitution und Sexarbeit in Deutschland",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
56,638d51bb8f3fa0393303ced7,2,RUS,"Krieg in der Ukraine: Ukrainische Justiz: Zunahme sexueller Gewalt durch [Gruppe 1]

Der ukrainische Generalstaatsanwalt Andrij Kostin wirft den [Gruppe 1] grausame Methoden vor.Ann Beatrice Clasmann/dpa

Der ukrainische Generalstaatsanwalt Andrij Kostin hat eine „drastische Zunahme“ sexueller Gewalt durch russische Soldaten angeprangert. Infolge des russischen Angriffskriegs gegen die Ukraine seien alle Geschlechter und Altersklassen betroffen, Kinder ebenso wie Alte, sagte Kostin der Funke Mediengruppe und der französischen Zeitung „Ouest-France“. Russische Soldaten setzten sexuelle Gewalt gezielt ein - als „Kriegsmethode, um [Andere Gruppe] und [Andere Gruppe] zu demütigen“, behauptete er.",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
57,632712b03dd49b919c1f3400,10,,"Guterres „zutiefst besorgt“

Sie würden unter „illegalen und oft unmenschlichen Bedingungen“ in von Milizen kontrollierten Gebäuden gehalten oder seien in „geheimen Einrichtungen“ untergebracht. „Ich bin nach wie vor zutiefst besorgt über die anhaltenden Menschenrechtsverletzungen von [Gruppe 1], [Andere Gruppe] und [Andere Gruppe] in Libyen“, schrieb Guterres an die Mitglieder des Sicherheitsrats.

[Gruppe 1] sind nach Angaben von Menschenrechtlern in Libyen immer wieder Gewalt, Erpressung und Zwangsarbeit ausgesetzt. Laut UN gibt es glaubwürdige Informationen, dass etwa 30 nigerianische Frauen und Kinder in vergangenen Jahr sexuell missbraucht und verkauft wurden. Zudem seien libysche Behörden im Oktober angeblich aus Sicherheitsgründen gegen mehr als 5000 [Gruppe 1] und [Gruppe 1] vorgegangen, darunter mindestens 1000 Frauen und Kinder. Dabei seien Familien getrennt, ein [Gruppe 1] getötet und andere verletzt worden.",,,NO_CRIME_FRAME,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
58,632712823dd49b919c0cb7cc,6,JUDE,"Regierungsmitglieder äußerten sich zurückhaltend kritisch zu Ben Gvirs Aktion. Seine Präsenz in der Gegend werde nicht dazu beitragen, die Gemüter zu besänftigen, sagte der Generaldirektor des Ministeriums für öffentliche Sicherheit, Tomer Lotan, im Radio. Schärfer fiel der Kommentar eines Abgeordneten der linken Partei Meretz aus, Mossi Raz: Wer ankündige, in dem palästinensischen Stadtteil Scheich Jarrah ein Büro zu eröffnen, „versucht, Feuer zu legen und einen Krieg auszulösen, wie im vergangenen Mai“, sagte er. Auch die Hamas schaltete sich in den eskalierenden Konflikt ein und rief alle Palästinenser dazu auf, sich am Kampf im Westjordanland zu beteiligen. Ein Sprecher der islamistischen Organisation, Mohammad Hamadeh, warnte, die Aggressionen der Siedler und Ben Gvirs seien ein Spiel mit dem Feuer. Ben Gvir erwiderte darauf am Sonntag, diese Ankündigungen müssten von den [Gruppe 1] „nicht mit Kapitulation, sondern mit Gewalt“ erwidert werden.

Scheich Jarrah ist seit Jahren immer wieder Schauplatz friedlicher Proteste, aber auch gewaltsamer Auseinandersetzungen. Siedlerorganisationen versuchen seit einigen Jahren vermehrt, eine Regelung zu nutzen, die es ermöglicht, Palästinenser mit rechtlichen Mitteln aus deren Häusern zu vertreiben. Die palästinensischen Bewohner waren dort nach Israels Staatsgründung angesiedelt worden, als Ostjerusalem unter jordanischer Besatzung stand. Einige der Häuser in Scheich Jarrah waren seit dem ausgehenden 19. Jahrhundert von [Gruppe 1] bewohnt worden, die den Stadtteil Schimon HaZadik nennen, nach dem Grab eines dort gelegenen jüdischen Hohepriestern aus der Zeit des Zweiten Tempels. Die Rechte von Nachfahren dieser jüdischen Bewohner werden häufig von Siedlerorganisationen wahrgenommen. Die jetzigen palästinensischen Bewohner wiederum sind zum großen Teil im Krieg von 1948 aus Gebieten geflohen, die heute israelisches Staatsgebiet sind, etwa in Westjerusalem. Eine Rückkehr dorthin wird ihnen von der israelischen Regierung verwehrt.",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
59,TA-4D5BAF0B86BC9B5C5ACEC2C24F2A1D14_3916359,6,,"Der iranische Präsident Ebrahim Raisi versprach noch bei den Vereinten Nationen in New York, der Tod der jungen Frau werde unabhängig untersucht. Er betonte, es gebe Meinungsfreiheit im Iran, aber "" Akte des Chaos""  würden nicht geduldet.

Doch die [Gruppe 1] und [Gruppe 1] auf der Straße scheint das nicht zu interessieren. Abend für Abend weiten sich die Proteste aus und sind zu einer gefährlichen Herausforderung für die iranische Führung geworden. Um das Kopftuch geht es längst nicht mehr.

Die Demonstranten reißen Bilder des religiösen Oberhaupts, Ajatollah Ali Chamenei, von der Wand und rufen "" Tod dem Diktator"" . Mülltonnen und Polizeiautos gehen in Flammen auf, es wird scharf geschossen. Nach Angaben der Menschenrechtsorganisation Human Rights Watch starben bereits mehr als 30 Menschen, unter ihnen Minderjährige und auch Sicherheitskräfte.",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
60,632712953dd49b919c14afec,9,ITA,"„Den Innenminister habe ich schon ein Jährchen gemacht – wenn ihr uns eure Stimme gebt, dann werden wir wieder unsere Grenzen verteidigen und unsere Städte sicher machen“, erklärt Salvini bei jedem seiner Wahlauftritte. „Zero clandestini“ („null [Andere Gruppe] ohne gültige Papiere“) lautet sein Versprechen – und er vergisst dabei, dass die Zahl der „clandestini“ während seiner Zeit als Innenminister massiv zugenommen hatte. Mit den von Salvini durchgesetzten sogenannten Sicherheitsdekreten, die den Aufenthaltstitel der humanitären Aufnahme abgeschafft hatten, wurden Zehntausende [Andere Gruppe], die vorher ein Bleiberecht und damit auch eine Arbeitsbewilligung hatten, von einem Tag auf den anderen wieder in die Illegalität getrieben.

Doch das haben die meisten Wählerinnen und Wähler längst vergessen - und so wird die Immigration, die unter Draghi kein Thema war, bereits wieder zum Wahlkampfschlager Nummer eins. Salvini wird am Donnerstag oder Freitag nach Lampedusa fahren: Der südlichste Punkt der EU, wo jedes Jahr tausende Bootsflüchtlinge ankommen, scheint ihm der ideale Ort für seine Propaganda. „Mit sechs Millionen [Gruppe 1], die in Armut leben, können wir es uns nicht leisten, tausende ankommende [Andere Gruppe] von morgens bis abends zu unterhalten“, erklärt Salvini.

Rechtsextreme Meloni wird als Premierministerin gehandelt",,,CRIME_FRAME_NEG,,,,1,NO_HUMAN_CONSENSUS,1.0,,NO_HUMAN_CONSENSUS
