testset_id,group,text_block_en,label_robin,label_marmee,human_consensus_label,final_human_label,model,model_label,model_explanation,model_raw_output,model_valid_label,human_model_agree,agreement_status,article_id,par_index,notes_robin,notes_marmee
2,AUT,"22.11.2022, 16.52 Uhr

Es sind keine Unbekannten, die sich derzeit ungefähr zweimal pro Woche im Großen Schwurgerichtssaal des Wiener Straflandesgerichts einfinden müssen. Da wäre etwa René Benko, einer der fünf reichsten [Gruppe 1], der mit seinen Immobilien- und Handelsprojekten auch in Deutschland für Wirbel sorgt. Oder Michael Tojner, dem unter anderem der traditionsreiche deutsche Batteriehersteller Varta gehört. Ihnen wird vorgeworfen, einen Politiker bestochen zu haben, um über ihn Einfluss auf große Bauprojekte in Wien nehmen zu können.

Bei jenem Politiker handelt es sich nicht um einen Vertreter der in Österreich zuletzt unter permanentem Korruptionsverdacht stehenden ÖVP und FPÖ und auch nicht um einen Politiker der in Wien nahezu allmächtigen SPÖ – sondern ausgerechnet um einen früheren Grünen: den langjährigen Gemeinderatsabgeordneten Christoph Chorherr. Dabei hatten sich die Grünen stets den Kampf gegen Korruption und ihr Engagement für Gemeinwohl im öffentlichen Wohnungsbau auf die Fahnen geschrieben.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird nicht explizit mit Kriminalität, Verdacht oder Ermittlungen verknüpft, da die Vorwürfe gegen die genannten Personen (René Benko und Michael Tojner) als individuelle Korruptionsvorwürfe gegen einen Politiker dargestellt werden, nicht als kollektive Zuschreibung an die Gruppe.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird nicht explizit mit Kriminalität, Verdacht oder Ermittlungen verknüpft, da die Vorwürfe gegen die genannten Personen (René Benko und Michael Tojner) als individuelle Korruptionsvorwürfe gegen einen Politiker dargestellt werden, nicht als kollektive Zuschreibung an die Gruppe.",True,False,DISAGREE,Spiegel_added_21a6799f309e34741e7f7e078ee636e405ce3d94_,4,maybe is bc has influence in germany but crime has no influence? idk ,
5,MUSL,"Widerspruch und Spaß werden nicht geduldet – erst recht nicht, wenn sie auf Kosten des Islam und seines Propheten Mohammed gehen.

Jetzt ist in Pakistan eine 26-Jährige wegen einer „blasphemischen“ Whatsapp-Nachricht zum Tode verurteilt worden. Ein Gericht in Rawalpindi befand die [Gruppe 1] am Mittwoch für schuldig, in ihrem Whatsapp-Status „blasphemisches Material“ veröffentlicht und Karikaturen des Propheten Mohammed verschickt zu haben. Solche Karikaturen sind im Islam streng verboten.

Ein Freund hatte sie demnach aufgefordert, ihren Whatsapp-Status zu löschen. Stattdessen habe sie das Material an ihn weitergeleitet. Die junge Frau war bereits im Mai 2020 verhaftet worden. Das Gericht ordnete an, sie „am Hals aufzuhängen, bis sie tot ist“, und verurteilte sie zudem zu 20 Jahren Haft.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die Gruppe wird explizit als Täterin dargestellt, da ein Gruppenmitglied wegen des Verbrechens der „Blasphemie“ (Veröffentlichung und Weiterleitung „blasphemischen Materials“) verurteilt und als direkte Urheberin der Straftat benannt wird.","Label: **CRIME_FRAME_NEG**
Explanation: Die Gruppe wird explizit als Täterin dargestellt, da ein Gruppenmitglied wegen des Verbrechens der „Blasphemie“ (Veröffentlichung und Weiterleitung „blasphemischen Materials“) verurteilt und als direkte Urheberin der Straftat benannt wird.",True,False,DISAGREE,6327127f3dd49b919c0b142d,2,,
7,ROU,"Fast drei Jahre nach dem qualvollen Tod von 39 [Andere Gruppe] aus Vietnam in einem Lastwagen in Großbritannien ist ein weiterer mutmaßlicher Schlepper festgenommen worden.

Der 48-jährige [Gruppe 1], der den Unglückstransport mit organisiert haben soll, sei in seinem Heimatland aufgespürt und dem Haftrichter vorgeführt worden, teilte das Polizeipräsidium in Bukarest mit. Gegen den Mann liege ein internationaler Haftbefehl aus Großbritannien vor. Ein Gericht in Bukarest solle nun über eine Auslieferung an die britischen Behörden entscheiden.

Die Toten waren am 23. Oktober 2019 in Grays östlich von London in einem Lkw entdeckt worden. Es handelte sich um 31 Männer und 8 Frauen aus Vietnam. Sie hatten jeweils mehr als 10.000 Euro bezahlt, um nach Großbritannien gebracht zu werden. Experten zufolge stieg die Temperatur in dem versiegelten Container während der Überfahrt von Belgien nach England auf bis zu 40 Grad. Die [Andere Gruppe] hätten keine Überlebenschance gehabt.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Gruppe 1]** mit einer mutmaßlichen Straftat (Schleusung und Mitverantwortung für den Tod von 39 Menschen) und nennt konkrete Ermittlungsmaßnahmen (internationaler Haftbefehl, Festnahme, Auslieferungsverfahren).","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Gruppe 1]** mit einer mutmaßlichen Straftat (Schleusung und Mitverantwortung für den Tod von 39 Menschen) und nennt konkrete Ermittlungsmaßnahmen (internationaler Haftbefehl, Festnahme, Auslieferungsverfahren).",True,False,DISAGREE,632712af3dd49b919c1ef69d,5,,
9,RUS,"Ihre Schadensersatzforderungen will die Ukraine vor dem Internationalen Gerichtshof der Uno durchsetzen, die Erfolgsaussichten sind jedoch düster. Explizit auch für Umweltschäden musste bislang als einziges Land nur der Irak nach dem zweiten Golfkrieg 52,4 Milliarden Dollar an das überfallene Kuwait zahlen. Die Entscheidung dazu fällte eine Compensation Commission der Uno. Damals allerdings stimmte Russland im Sicherheitsrat für die Strafzahlung.

Trotz des massiven Einsatzes von Artillerie, der Bombardements aus der Luft und der Bewegung zahlreicher schwerer Kampfverbände ist ein einzelner schwerwiegender Unfall in einem Chemiepark, Stahlwerk oder gar einem Atomreaktor bisher ausgeblieben. Allerdings gab es brenzlige Situationen: In den ersten Kriegswochen schossen die [Gruppe 1] ein Ausbildungszentrum neben den Druckbehältern des Atomkraftwerks Saporischschja in Brand, des größten Nuklearkomplexes Europas. Nicht weit entfernt von den Flammen lagern die abgebrannten und stark strahlenden Brennelemente in Containern unter freiem Himmel. »Wir sind einer Katastrophe knapp entgangen«, sagte damals der Chef der Internationalen Atomenergiebehörde IAEA, Rafael Mariano Grossi.

Die Auswirkungen einer Kernschmelze wären wohl auf dem ganzen Kontinent zu spüren gewesen.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die **[Gruppe 1]** wird explizit als Täterin dargestellt, indem sie ein Ausbildungszentrum in Brand setzte, das in direkter Nähe zu einem Atomkraftwerk lag, was eine Sicherheitsgefahr und potenzielle Katastrophe darstellte.","Label: **CRIME_FRAME_NEG**
Explanation: Die **[Gruppe 1]** wird explizit als Täterin dargestellt, indem sie ein Ausbildungszentrum in Brand setzte, das in direkter Nähe zu einem Atomkraftwerk lag, was eine Sicherheitsgefahr und potenzielle Katastrophe darstellte.",True,False,DISAGREE,6327129b3dd49b919c16e9f0,18,,
10,GBR,"Neben Jens H. sind drei weitere Männer angeklagt: Ben P. (30), Dieter S. (48) und Maik F. (45).

Das Opfer Paul W. (32) könne sich den Angriff auf ihn nicht erklären. Aus der Anklageschrift geht jedoch hervor, dass der [Gruppe 1] die Schalke-Fans zuvor provoziert haben soll. Nach dem 3:2 für seine Mannschaft zeigte er beide Mittelfinger in Richtung der Schalke-Fans.

Vor Europa-League-Finale Hooligans attackieren United-Fans",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird nur als mutmaßliche *Provoziererin* erwähnt, nicht als Täterin oder Verdächtige der Attacke, und die Kriminalität (Gewalt der Hooligans) ist nicht explizit mit ihr verknüpft.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird nur als mutmaßliche *Provoziererin* erwähnt, nicht als Täterin oder Verdächtige der Attacke, und die Kriminalität (Gewalt der Hooligans) ist nicht explizit mit ihr verknüpft.",True,False,DISAGREE,6327127f3dd49b919c0b635a,6,unsure bc victim but provoked them ,
14,EGY,"Der Anführer des Terrornetzwerks Al-Kaida, Aiman al-Sawahiri, ist bei einem Anti-Terror-Einsatz der USA in Afghanistan getötet worden. Al-Sawahiri sei am Wochenende bei einem gezielten Drohnen-Angriff in einem Unterschlupf in der afghanischen Hauptstadt Kabul ums Leben gekommen, sagte eine ranghohe Vertreterin der US-Regierung am Montagabend (Ortszeit). US-Präsident Joe Biden äußerte sich bei einem kurzfristig anberaumten Auftritt im Weißen Haus in Washington selbst zu dem Schlag gegen die Terrorgruppe. Zivile Opfer habe es nicht gegeben. "" Jetzt wurde der Gerechtigkeit Genüge getan. Und diesen Terroristenführer gibt es nicht mehr"" , sagte Biden.

Der [Gruppe 1] Al-Sawahiri war Nachfolger von Osama bin Laden, der als Kopf der Terroranschläge vom 11. September 2001 in den USA galt. Bin Laden war 2011 in Pakistan von einer US-Spezialeinheit getötet worden. Seinen letzten öffentlichen Auftritt hatte Al-Sawahiri im vergangenen September. Er rief seine Anhänger damals auf, die Staaten im Westen und ihre Verbündeten im Nahen Osten zu bekämpfen. Seite 4

Al-Kaida-Chef ­Aiman al-Sawahiri ist tot.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Text verknüpft **Al-Kaida** explizit mit **Terrorismus** (Terrornetzwerk, Terroranschläge vom 11. September, gezielter Anti-Terror-Einsatz) und stellt den Anführer als **Terroristenführer** dar, dessen Tötung als „Gerechtigkeit“ und Erfolg der Terrorbekämpfung gefeiert wird.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft **Al-Kaida** explizit mit **Terrorismus** (Terrornetzwerk, Terroranschläge vom 11. September, gezielter Anti-Terror-Einsatz) und stellt den Anführer als **Terroristenführer** dar, dessen Tötung als „Gerechtigkeit“ und Erfolg der Terrorbekämpfung gefeiert wird.",True,False,DISAGREE,OSZ-doc7m4w4loprr717w9g7gq6,2,,Terrorist activity??
15,REFUG,"Ein aggressiver und stark betrunkener Bewohner hat in der Nacht zum Sonntag in der Warnemünder Gemeinschaftsunterkunft für Unruhe und einen Polizeieinsatz gesorgt. Der 40-Jährige hatte in der Einrichtung randaliert und später die alarmierten Polizeibeamten attackiert.

Nach Angaben der Beamten ereignete sich der Einsatz am Sonntag kurz nach Mitternacht. Der 40-Jährige hatte, wie sich später herausstellte, 2,35 Promille Alkohol im Blut und begann, in der Unterkunft zu randalieren. Dabei schlug er unter anderem ein Loch in eine Wand. Nachdem die verständigte Polizei in dem ehemaligen Hotel in der Parkstraße eintraf, griff der [Gruppe 1] die Beamten an. Erst verbal, dann körperlich. Die Polizisten sahen sich gezwungen, Pfefferspray einzusetzen und den Randalierer Hand- und Fußfesseln anzulegen. Um weitere Gefahr für ihn selbst und andere abzuwenden, kam der Mann gefesselt ins Zentralgewahrsam.

Dort angekommen standen die Beamten vor einem weiteren Problem: Die Handschelle ließ sich aufgrund eines technischen Fehlers nicht mehr öffnen. So bat die Polizei schließlich die Feuerwehr um Unterstützung. Den Feuerwehrleuten gelang es, mit der Hilfe von schwerem Werkzeug die Handfessel "" aufzuknacken"" . Im Anschluss konnte der Randalierer seinen Rausch im Gewahrsam ausschlafen.  ",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird im Text nicht erwähnt, und die Kriminalität wird einem einzelnen, betrunkenen Bewohner (ohne Gruppenbezug) zugeschrieben, der als Täter agiert, aber nicht als Mitglied der [Gruppe 1] identifiziert wird.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird im Text nicht erwähnt, und die Kriminalität wird einem einzelnen, betrunkenen Bewohner (ohne Gruppenbezug) zugeschrieben, der als Täter agiert, aber nicht als Mitglied der [Gruppe 1] identifiziert wird.",True,False,DISAGREE,OSZ-doc7nme7uf98xwiyinkeaw,2,,
17,AFG,"„Das ist kein schönes Erlebnis“, sagt er am Samstagmorgen, während er eine rote Grabkerze am Tatort abstellt, auf die seine Mutter eine Minute zuvor „Ruhe in Frieden“ geschrieben hat. Die bunten Rosen, die sie mitgebracht haben, stehen in einem Glas mit Wasser. „Das war gestern ein Scheißtag“, sagt Gino mit Tränen in den Augen.

[Gruppe 1] wohnte 200 Meter vom Tatort entfernt

Die Frau erlitt bei dem Angriff lebensgefährliche Stichverletzungen und starb noch vor Ort. Der mutmaßliche Täter flüchtete nach der Tat und erschien drei Stunden später, gegen 13 Uhr, mit Mitarbeitern einer 200 Meter entfernt liegenden Geflüchtetenunterkunft, in der die [Gruppe 1] und ihre Kinder gelebt hatten, am Tatort. Dort wurde er von Zeugen erkannt und von der Polizei festgenommen.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der mutmaßliche Täter wurde in einer Geflüchtetenunterkunft der **[Gruppe 1]** erkannt und festgenommen, wodurch die Gruppe explizit mit dem Verdacht und den Ermittlungen zu einer Straftat (Angriff mit tödlichem Ausgang) verknüpft wird.","Label: **CRIME_FRAME_NEG**
Explanation: Der mutmaßliche Täter wurde in einer Geflüchtetenunterkunft der **[Gruppe 1]** erkannt und festgenommen, wodurch die Gruppe explizit mit dem Verdacht und den Ermittlungen zu einer Straftat (Angriff mit tödlichem Ausgang) verknüpft wird.",True,False,DISAGREE,632712aa3dd49b919c1d2db7,4,victim,
31,CHN,"Warnung vor Ukraine-Invasion

Die „Goldenen Visa“ wurden besonders von [Andere Gruppe], [Gruppe 1] und auch [Andere Gruppe] gern genutzt. Nach Schätzungen haben etwa 700 [Andere Gruppe] solche Visa erhalten. Viele Reiche aus Russland haben Luxusimmobilien in Londoner Stadtteilen wie Westminster, Mayfair, Knightsbridge und Chelsea („Chelski“) gekauft. Die britische Hauptstadt trägt daher auch die Spitznamen „Moskau an der Themse“ oder „Londongrad“.

Im Juli 2020 urteilte ein Bericht des Geheimdienst- und Sicherheitskomitees (ISC) des Parlaments, dass London als „Laundromat“ (Geldwäsche-Maschine) für Oligarchen diene. Das Geld finanziere auch Patronage und Einflussmöglichkeiten „in einem breiten Bereich des britischen Establishments – PR-Firmen, Wohltätigkeitsorganisationen, politische Interessen, akademische und kulturelle Institutionen waren alle willige Empfänger russischen Geldes und haben zu einem „Reputationswäsche“-Prozess beigetragen“, heißt es in dem Bericht.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Absatz verknüpft die genannten Gruppen zwar mit Geldwäsche und Einflussnahme, aber es handelt sich um eine allgemeine Beschreibung von Oligarchen und deren Handlungen, nicht um eine explizite Darstellung der Gruppen als Täter, Verdächtige oder Sicherheitsrisiko.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz verknüpft die genannten Gruppen zwar mit Geldwäsche und Einflussnahme, aber es handelt sich um eine allgemeine Beschreibung von Oligarchen und deren Handlungen, nicht um eine explizite Darstellung der Gruppen als Täter, Verdächtige oder Sicherheitsrisiko.",True,False,DISAGREE,632712823dd49b919c0cbb81,4,german military ,
32,ISLMST,"

Die Ausgangslage  Mali ist ein Land am Abgrund. Seit zehn Jahren versuchen islamistische Milizen, den Sahel-Staat zum Aufmarschgebiet des Dschihadismus zu machen. Sozial und ethnisch aufgeladene Konflikte verschärfen die Instabilität. Seit 2013 versuchen internationale Truppen - unter ihnen die Bundeswehr -, die [Gruppe 1] zu stoppen. Doch die erhoffte Stabilisierung blieb aus. Die Demokratie in Mali kollabierte. Seit 2021 herrschen Militär-Putschisten unter dem Übergangspräsidenten Assimi Goita. Sie verweigern die Rückkehr zur Demokratie, wenden sich von den westlichen Partnern ab und suchen die Nähe zu Russland. Für Deutschland ist Mali kein verlässlicher Partner mehr.

Bleiben oder Gehen? An Gründen für eine Beendigung des Bundeswehreinsatzes mangelt es nicht. Der Militärputsch und die Präsenz russischer Söldner der sogenannten Gruppe Wagner stellen eines der wichtigsten Ziele der Bundeswehr in Frage - nämlich, Mali auf dem Weg zu Stabilität und Rechtsstaatlichkeit zu unterstützen. Zuletzt kamen offene Schikanen seitens der Junta hinzu: Sie verweigerte Startgenehmigungen für Aufklärungsdrohnen und Überflugrechte für Bundeswehr-Flugzeuge. Deshalb sitzen derzeit rund 110 Bundeswehr-Soldaten in Mali fest, deren Einsatz eigentlich vorbei ist; 140 Soldatinnen und Soldaten, die sie ablösen sollten, können nicht in den Krisenstaat einreisen. ",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Absatz beschreibt einen **Kriegskontext mit geopolitischen Konflikten, militärischer Präsenz und Putschregimen**, nicht jedoch eine direkte Verknüpfung der **[Gruppe 1]** mit Kriminalität, Terrorismus, Gewalt oder Sicherheitsbedrohungen – die Gruppe wird hier als **Akteur im Konflikt** (islamistische Milizen) erwähnt, aber der Fokus liegt auf **internationaler Militärpräsenz, Putschdynamiken und logistischen Hindernissen**, nicht auf kriminellen Handlungen der Gruppe selbst.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt einen **Kriegskontext mit geopolitischen Konflikten, militärischer Präsenz und Putschregimen**, nicht jedoch eine direkte Verknüpfung der **[Gruppe 1]** mit Kriminalität, Terrorismus, Gewalt oder Sicherheitsbedrohungen – die Gruppe wird hier als **Akteur im Konflikt** (islamistische Milizen) erwähnt, aber der Fokus liegt auf **internationaler Militärpräsenz, Putschdynamiken und logistischen Hindernissen**, nicht auf kriminellen Handlungen der Gruppe selbst.",True,False,DISAGREE,BADZ-51300853332,1,,
