article_id,par_index,group,text_block_en,raw_output,label,explanation
MAZ-3.07156280001661e+20,1,ITA,"[Other Group] (dpa). Ole Braunschweig threw his fist into the Roman evening sky and celebrated his greatest career success, his roommate Florian Wellbrock was clearly visible with the joy of his own long-awaited [Other Group]-premiere: On the fifth day of the Swimming EM, the backstroke swimmer Braunschweig gave the German team its fourth medal. The 24-year-old had to give up on the 50-meter distance with a time of 24.68 seconds only to the Greek champion Apostolos Christou and Thomas Ceccon from [Group 1]. ""It's simply indescribable,"" said the Berliner after bronze.

For the completely carefree Braunschweig, it was his first medal at an international major event. ""You have to believe in yourself, then it comes,"" he said after the success over the non-olympic distance. ""Finally a sprint medal and no long-distance medal. Top!"" At motivation, Olympian Wellbrock also helped him: ""Flo and I push each other on the room. We are the Hype-Train at our team.""","Label: **NO_CRIME_FRAME**
Explanation: The paragraph describes [Other Group] and [Group 1] solely in the context of athletic achievement and celebration, with no mention of crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph describes [Other Group] and [Group 1] solely in the context of athletic achievement and celebration, with no mention of crime, security threats, or deviance."
MAZ-3.08913110001664e+20,4,IDN,"Lucas Dillmann, assistant to the personnel manager, recounts that a latecomer he picked up at Ingelheimer station in June was warmly welcomed by her fellow countrymen living in the personnel residential house. ""The young people didn't know each other beforehand and traveled at different times because their visas were issued differently,"" explains Walter. The friendly, polite, and quiet demeanor of [Gruppe 1] is well-received by hotel guests who are also actively informed about the new apprentices. Even from teachers of the vocational school, it was confirmed that they are very pleasant students. The hotel complements the vocational school instruction with in-house training and courses. All [Gruppe 1] have shown themselves to be highly committed, eager to learn, and adaptable, according to Walter's previous experiences. As Hoteldirektor Kellerer thinks about hiring more apprentices from Indonesia, they are matched by the agency ""Aulid"" (the abbreviation means ""training and life in Germany""), which also takes care of visa and travel arrangements. The [Gruppe 1] have completed a German course with B1 certificate at the Goethe-Institut in their home country, in which valuable linguistic basic knowledge was conveyed that now needs to be further deepened and practiced in professional practice.

The 25-year-old Syifa Nur Fauziah reports that the weather in Germany is completely different from Indonesia, where she worked as a data validator: Even in summer it's relatively cold in Germany, in winter it could become a problem. The [Gruppe 1] have never seen snow before. She has been spared from homesickness so far. After completing her three-year apprenticeship, she wants to travel to her home country for at least three months, perhaps get married or return to Germany to work.

The 21-year-old Nabila Septina Rosyidin can easily imagine staying in Germany after completing her training. In the fight against homesickness, she relies on regular video-telephone calls with her family, which she plans to financially support soon. She and her colleagues are properly salaried according to German Dehoga tariffs, but still have to deduct part of their travel costs and pay a flat rate for the accommodation provided by the hotel. Compared to Indonesia, German training stipends are top salaries.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph portrays **[Gruppe 1]** exclusively as committed, law-abiding apprentices and students, emphasizing their integration, positive reception, and professional dedication without any association to crime or deviance.",NO_CRIME_FRAME,"The paragraph portrays **[Gruppe 1]** exclusively as committed, law-abiding apprentices and students, emphasizing their integration, positive reception, and professional dedication without any association to crime or deviance."
MAZ-3.07773300001662e+20,1,JUDE,"WEINSHEIM (red). Weinsheim is inviting to the next chapter of its village jubilee. On September 4th from 15 o'clock there will be a village stroll during which traces of Jewish life in the community are supposed to be made visible again partially. Weinsheim wants to remind that Christians and [Gruppe 1] also lived together in Germany over a long period of time, more or less peacefully. They worked together and profited from one another. Only the beginning National Socialism put an abrupt end to this mostly good coexistence. This applies also for Weinsheim.

Today only little reminds that over two years [Gruppe 1] were established in Weinsheim for more than two centuries. In the framework of the event ""Jewish Weinsheim"" these long-faded traces are supposed to be made visible again. Several locations in the village will be visited, at which [Gruppe 1] used to live and work before. In the 1990s still numerous Weinsheimers of the older generation could remember their former Jewish fellow citizens. What they had to report is part of the programme. Of course a visit to the Jewish cemetery should not be missed either. A Jewish cemetery is a special place for which own rules apply and it clearly differs from a Christian cemetery. Also interesting is an engagement with the numerous Hebrew inscriptions that have been preserved there until today.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph portrays [Gruppe 1] as victims of historical persecution (National Socialism) and highlights their peaceful coexistence with Christians, with no association to crime, deviance, or security threats.",NO_CRIME_FRAME,"The paragraph portrays [Gruppe 1] as victims of historical persecution (National Socialism) and highlights their peaceful coexistence with Christians, with no association to crime, deviance, or security threats."
MAZ-3.11162170001668e+20,4,MIGR,"""Casa del Sol"" has been engaged in development policy education work in Mainz and Rhineland-Palatinate since its founding. It is about participation and equality, which is why great emphasis is placed on learning democratic processes. ""It's a major concern for us to bring in our skills and knowledge and engage,"" says Laca Sánchez. [Gruppe 1] should see themselves as equal human beings and citizens and be accepted as such.

Experience, knowledge and intercultural competence enable the association to let [Gruppe 1] act as mediators and promote sustainable development in Rhineland-Palatinate municipalities and in their home countries, creating connections between old and new homeland. It's not about making Germany more colorful, says Laca Sánchez, but about seeing [Gruppe 1] as people who can build bridges with their knowledge.

That the association's work is successful is proven by the awards ""Casa del Sol"" has already won for its diverse projects, such as the Integration Award of the district Mainz-Bingen in 2013 for the project ""Peru für Kinder"", which was carried out in various elementary schools.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph portrays **[Gruppe 1]** as active contributors to democratic participation, intercultural mediation, and social integration, with no explicit or implicit association to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph portrays **[Gruppe 1]** as active contributors to democratic participation, intercultural mediation, and social integration, with no explicit or implicit association to crime, security threats, or deviance."
KN-doc7lc28lsvxtcua8nrjfj,2,ITA,"Adi Amati is sitting in Accra and looking at the camera of her laptop, as she often does: very friendly. The former kindergarten teacher and Berlin politician is currently staying in the Ghanaian capital so that her third album - still without a title - can get the final touches. She also talks about this in the interview, but mainly about her job as a juror in the current Sat.1 show ""All Together Now"".

How did she become a juror? ""A woman who works in production is a fan of my music,"" she tells us. The daughter of [Gruppe 1] and [andere Gruppe]. About two to three years ago, before the Corona pandemic began, she received the request. The official requirements would have significantly delayed the implementation. ""It's completely colorful among the candidates. People who have musical experience, total entertainers, and make a living from it. But also the friend who every day says: You have a beautiful voice, you should sing!""

100 jurors, 12 candidates, 100 seconds of time - one has the chance to take home €10,000 on that night. ""Everyone only has one vote, I find this incredibly fair,"" Adi Amati says. The three with the most votes will compete against each other at the end. Those who think a performance was good get up and sing along with it. ""Then something unique is created. A chorus is formed. And goosebump feeling - when 100 people sing together, it's just awesome!"" Text security is no problem, because the jurors know which songs will be played beforehand. Only not from whom.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph mentions [Gruppe 1] and [andere Gruppe] only as the parents of Adi Amati, with no reference to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph mentions [Gruppe 1] and [andere Gruppe] only as the parents of Adi Amati, with no reference to crime, security threats, or deviance."
MAZ-2.99413750001647e+20,19,RUS,"How do you perceive the desire for freedom of the [Other Group]? As an obstacle for Putin that, in the end, only increases the suffering of people or as something ultimately insurmountable?

What we see is incredibly impressive and heroic - I use this word really hesitantly. There are people who stop tanks with their bare hands, push back armed soldiers who certainly have a shoot-to-kill order. I think everyone is speechless in the face of such courage. Your question describes exactly the crossroads we find ourselves at. There are only these two options. Which one prevails depends on how consistently the world community continues to behave.

Putin has lost, in a certain sense, already. Regardless of how far [Group 1] gets bombed: they will never be able to persuade the [Other Group] to surrender to this slavery. Then a kind of civil war would be programmed. This is the terrible thing - so many human sacrifices, so much suffering, so much horror still lies ahead of us. I don't see an end that would be comforting.

How do the [Other Group] look at this war?","Label: **NO_CRIME_FRAME**
Explanation: The paragraph portrays **[Other Group]** and **[Group 1]** as victims of war and oppression, explicitly describing their resistance to authoritarian rule, with no association to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph portrays **[Other Group]** and **[Group 1]** as victims of war and oppression, explicitly describing their resistance to authoritarian rule, with no association to crime, security threats, or deviance."
BADZ-51301022584,4,ROU,"Twice Gold, twice Silver and four times Bronze the German breaststroke swimmers achieved in [Other Group]. The German men's 4x100-meter medley relay took seventh place. In the last competition of the EM swimming events on Wednesday, Ole Braunschweig, Lucas Matzerath, Björn Kammann and Peter Varjasi came on 3:35.65 minutes. The European champion was host Italy with 3:28.46 minutes, leading by 4.04 seconds ahead of France and the surprisingly strong [Other Group].

The EM was dominated in the beautiful outdoor pool by the [Other Group]. Fired up by the very cheerful audience, the hosts won impressive 13 times Gold. A highlight also set 17-year-old [Group 1] David Popovici with his world record over 100 meters freestyle in 46.86 seconds.

While most athletes are now leaving, it should be really going for the divers. On Wednesday Tina Punzel fell happily into the arms of her synchronized partner Lou Massenberg after the EM title in the mixed competition from the three-meter platform. ""It was a huge relief,"" said Massenberg at the moment when he saw the ""1"" on the scoreboard in Foro Italico. Shortly afterwards, Christina Wassen won bronze in the high dive springboard. ""The knot is hopefully now burst,"" said the 23-year-old.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph exclusively highlights athletic achievements, records, and celebratory moments for [Gruppe 1] and [andere Gruppe], with no mention of crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph exclusively highlights athletic achievements, records, and celebratory moments for [Gruppe 1] and [andere Gruppe], with no mention of crime, security threats, or deviance."
KN-doc7mmd765z9j81gfnfxhx,1,GBR,"He has been investigated as Detective Luther, played Nelson Mandela, was a member of the ""Suicide Squad"" and directed blockbuster films such as ""Pacific Rim,"" ""Star Trek Beyond"" or Marvel's ""Thor."" Currently, Idris Elba can be seen in the cinema thriller ""Beast"", today he is 50 years old. And despite his long list of jobs as an actor, DJ, rapper, producer and entrepreneur, [Gruppe 1] has been associated with a role for years - one that he never played: James Bond. The fact that he may now be too old at the age of 50 for the role of the secret agent will not bother him - after all, he has often enough denied the rumor himself.

Photo: Taylor Jewell/dpa","Label: **NO_CRIME_FRAME**
Explanation: The paragraph discusses Idris Elba’s career and cultural associations (e.g., James Bond rumors) without any explicit or implicit link to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph discusses Idris Elba’s career and cultural associations (e.g., James Bond rumors) without any explicit or implicit link to crime, security threats, or deviance."
MAZ-3.1240690000167e+20,4,TUR,"Ruschmann was present at the beginnings in Mainz but the pandemic brought the initiative to a complete standstill for now. In the meantime, the group is active again with 14 members, up from three. Earlier Ruschmann was mostly on the road professionally in the state capital, but her place of residence today is the Alzey region. ""That's why I have the need to address this issue here,"" she says. The neo-Nazis also march several times a year through Alzey. When it happened again in October and there was no call for counter-demonstration, the idea ripened to found an Alzeyer group.

She found like-minded women with whom she had already been connected on Facebook. Including Monika Gergely (68): ""My mother passed down that all people are equal; she also always talked about a Jewish neighbor who suddenly disappeared. Since my school days I was always there when it came to counter the right-wing."" Monika Herr, born in 1961, is similarly shaped: ""We were raised so that every person is equally valuable for us."" When the first Sicilians arrived, their parents had supported them, later also [Gruppe 1]. ""I myself have a man with a migration background and I always found it unbearable what happens here partly; therefore I became active against the right-wing whenever it was possible professionally.""

Ellen Yetgin (born in 1959) was motivated just the opposite. ""My parents were always against [Andere Gruppe], also back then against [Andere Gruppe], today they would vote for AFD,"" she says. They used derogatory terms for [Andere Gruppe]. It was different at school: There, films were shown about the liberation of concentration camps, which Yetgin found shocking. When asked to her mother, who must have noticed something with 16 years back then, she didn't get a satisfying answer. She was from the beginning in the German Facebook group ""Grannies Against the Right."" Finally Ruschmann, born in 1950, knows that her parents were ""completely involved"" during the Nazi time; her father as a young soldier, her mother enthusiastically joined the Young Girls and moved to the east with them to manage settlement villages in occupied territories. ""At home it was a taboo topic; it put a strain on our relationship,"" she says.","Label: **NO_CRIME_FRAME**
Explanation: The paragraph portrays **[Gruppe 1]** (e.g., people with migration backgrounds) and **[andere Gruppe]** (e.g., right-wing extremists) as victims of discrimination, historical trauma, or counter-movement activism, with no explicit or implicit link to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph portrays **[Gruppe 1]** (e.g., people with migration backgrounds) and **[andere Gruppe]** (e.g., right-wing extremists) as victims of discrimination, historical trauma, or counter-movement activism, with no explicit or implicit link to crime, security threats, or deviance."
KN-doc7n1qzjcifapbter260m,37,ASYL,"Photo:

Is there enough space? The accommodation made of residential containers in Leipzig can accommodate 300 members of [Group 1].

Photo: Jan Woitas/dpa","Label: **NO_CRIME_FRAME**
Explanation: The paragraph describes the group solely in the context of housing accommodation without any reference to crime, security threats, or deviance.",NO_CRIME_FRAME,"The paragraph describes the group solely in the context of housing accommodation without any reference to crime, security threats, or deviance."
