testset_id,large_label,large_explanation,large_confidence
1,NO_CRIME_FRAME,"Der Absatz beschreibt eine persönliche Erinnerung an den G8-Gipfel und erwähnt [Gruppe 1] im Kontext von Bewachung eines Autos, ohne jedoch eine explizite Verknüpfung mit Kriminalität, Sicherheitsbedrohung oder Prävention herzustellen.",5
2,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit potenzieller Kriminalität und Sicherheitsrisiken verknüpft, da der Minister betont, dass man wissen muss, wer zu ihnen kommt, um zu vermeiden, dass Schleuser, Menschenhändler, organisierte Kriminalität oder andere Straftäter die Situation ausnutzen.",5
3,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Zwang und Ausbeutung durch griechische Polizeibeamte dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Gewaltlegitimation in Verbindung gebracht wird.",5
4,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Völkermord dargestellt und nicht mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft, sondern vielmehr als diejenigen, die unter den Handlungen von Al-Kuraischi und dem IS gelitten haben.",5
5,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Instrumentalisierung von Protesten und der Spaltung des Landes in Verbindung gebracht, was als Bedrohung für die öffentliche Ordnung und Sicherheit interpretiert werden kann.",4
6,NO_CRIME_FRAME,"Der Absatz beschreibt die russische Propaganda gegenüber [Gruppe 1] und ihre Darstellung als Opfer von Hass und Diffamierung, ohne dass die Gruppe selbst mit Kriminalität, Sicherheit, Terrorismus oder Gewalt in Verbindung gebracht wird.",5
7,NO_CRIME_FRAME,"Der Absatz beschreibt autoritäre Maßnahmen und Einschränkungen des öffentlichen Lebens durch die Taliban, ohne jedoch eine explizite Verknüpfung mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Bezug auf Deutschland oder eine Bedrohung der inneren Sicherheit Deutschlands herzustellen.",5
8,CRIME_FRAME_NEG,"Der Absatz beschreibt einen 25-jährigen [Gruppe 1], der als Tatverdächtiger wegen gefährlicher Körperverletzung gesucht wird, festgenommen wird und sich zunächst verbal aggressiv zeigt, was eine explizite Verknüpfung der Gruppe mit Kriminalität und Sicherheitsbedrohung darstellt.",5
9,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit negativen Attributen wie dem Lernen und Umsetzen von ""dem Bösen"" von den Nazis in Verbindung gebracht, was eine negative Darstellung der Gruppe als Quelle von Problemen oder Bedrohungen impliziert.",5
10,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Teil eines Netzwerks mutmaßlicher Schleuser dargestellt, wobei vier Mitglieder der Gruppe festgenommen wurden und verdächtigt werden, an MenschenSchleusung beteiligt zu sein.",5
11,CRIME_FRAME_POS,"Der Absatz beschreibt Maßnahmen zur Prävention von Missbrauch und zum Schutz von [Gruppe 1] durch die Polizei und andere Organisationen, was als positives Vorgehen im Sicherheitskontext interpretiert werden kann.",5
12,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit negativen Aspekten wie ""Gewalt, Chaos, monströse Kosten und die Spaltung der Bevölkerung"" in Verbindung gebracht, was auf eine generalisierte gesellschaftliche Bedrohungsrahmung hindeutet.",4
