testset_id,article_id,par_index,group,text_block_en,model_label,case_source,agreement,step2_1_label,final_label,source_file,source_priority
1,OSZ-doc7k2ebrm9wrognjx5oq7,6,RUS,"Anno August Jagdfeld, der im Marien-Cottage in Heiligendamm lebt, konnte sich beim G8-Gipfel frei auf dem Gelände bewegen und hat so die Staats- und Regierungschef miterlebt. "" Ich habe mich auch mit allen unterhalten. Am freundlichsten war Bush, der ging auch freundlich auf die Mitarbeiter im Grand Hotel zu"" , erinnert sich Jagdfeld an den amerikanischen Präsidenten George W Bush. Putin sei nicht so charmant und freundlich gewesen, aber okay.

Er erinnere sich auch an ein dunkelrotes Auto, das in der Prof.-Dr.-Vogel-Straße stand und immer von sechs [Gruppe 1] bewacht worden sei. "" Es ging das Gerücht, dass da der Atomkoffer drin sei"" , sagt Jagdfeld. Für ihn besonders auffällig: "" Die [Gruppe 1] waren immer besoffen, das konnte man erkennen."" 

Von Gerüchten über russische Wanzen in den Hotelzimmern, die vom Bundesnachrichtendienst entfernt wurden, habe Jagdfeld hingegen nichts gehört. Das Grand Hotel Heiligendamm verweist auf Nachfrage, dass aus "" Kenntnis- und Diskretionsgründen""  die OZ-Anfrage nicht beantwortet werden könne. Für Anno August Jagdfeld hatten die Tage des G8-Gipfels auch etwas von einer Operette. "" Da geht man um die Ecke, und Putin kommt auf einen zu.""  Zum Teil hätten sich auch Szenen wie im  Actionfilm abgespielt. Beispielsweise als Greenpeace und Marineschiffe sich auf der Ostsee ein Wettrennen lieferten. "" Die fuhren aufeinander zu, das war wie im James-Bond-Film"" , erinnert sich Anno August Jagdfeld.",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
2,achse_added_fdcc00add3c941db5b52f21d5475839ec900abaf_,16,REFUG,"Bayern: [Gruppe 1] identifizieren

Bayern hat die anderen Bundesländer aufgefordert, seinem Beispiel zu folgen und Kriegsflüchtlinge aus der Ukraine mit erkennungsdienstlichen Maßnahmen eindeutig zu identifizieren, meldet zeit.de. Landesinnenminister Joachim Herrmann (CSU), der derzeit der Innenministerkonferenz vorsteht, habe erklärt, in Bayern würden die Personalien mit den Fahndungsdatenbanken abgeglichen. Der Minister wird mit den Worten zitiert: „Eine Sicherheitslücke können wir uns hier nicht leisten“. Zwar müsse den [Gruppe 1] unbürokratisch geholfen werden, aber: „Wir müssen wissen, wer zu uns kommt und vermeiden, dass Schleuser, Menschenhändler, die organisierte Kriminalität oder andere Straftäter die Situation für ihre Zwecke ausnutzen.“ Bundesinnenministerin Nancy Faeser (SPD) habe die von der Union geforderte Registrierung der [Gruppe 1] jedoch erneut abgelehnt.

Huthis im Jemen kündigen dreitägige Waffenruhe an",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
3,632712a23dd49b919c1a13db,5,REFUG,"In Griechenland werden [Gruppe 1] als Handlanger benutzt. Ihnen wird versprochen, dadurch selbst schneller an Aufenthaltspapiere zu kommen.

An der EU-Außengrenze benutzen griechische Polizeibeamte [Gruppe 1] offenbar als Handlanger für illegale Pushbacks. Das haben gemeinsame Recherchen des ""Spiegel"" mit Lighthouse Reports, dem ARD-Politikmagazin ""Report München"", ""Le Monde"" und dem ""Guardian"" ergeben.

Dem Team aus Reporterinnen und Reportern gelang es nach monatelangen Recherchen erstmals, mit sechs dieser Männer zu sprechen. Sie gaben unabhängig voneinander an, zu gewaltsamen Zurückweisungen in die Türkei gedrängt worden zu sein – im Gegenzug seien ihnen Aufenthaltspapiere versprochen worden. Die Angaben der [Gruppe 1] ließen sich mithilfe von Fotos, Satellitenbildern und offiziellen griechischen Dokumenten verifizieren.",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
4,632712b03dd49b919c1f6623,6,JESID,"Al-Kuraischi sprengte sich selbst in die Luft

Al-Kuraischi war Anfang Februar bei einem US-Militäreinsatz im Nordwesten Syriens getötet worden. Er sprengte sich dabei nach Angaben aus Washington selbst in die Luft, um nicht für seine Taten zur Rechenschaft gezogen zu werden. Al-Kuraischi soll einer der Hauptverantwortlichen für den Völkermord an der religiösen Minderheit der [Gruppe 1] im Nordwesten des Iraks gewesen sein.

Der IS hoffe, dass der Krieg in der Ukraine nicht ende, ehe er die Menschen im Westen vernichtet und die dortigen Gebiete zerrissen habe, hieß es in der Audiobotschaft weiter. Deren Echtheit ließ sich zunächst nicht überprüfen. Sie wurde jedoch über die üblichen Kanäle der Extremisten in den sozialen Medien verbreitet.",NO_CRIME_FRAME,hard_case,0.5,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0
5,Mmnews_added_c4d96bca88e842d7092f16699f62056e9d39129b_,3,REFUG,"Der SPD-Vorsitzende Lars Klingbeil hält die Einheit von Ost und West in Deutschland für weiter fortgeschritten als noch vor zehn Jahren. ""Was die Ost-West-Frage betrifft, sind wir vorangekommen"", sagte er der ""Rheinischen Post"" (Montagsausgabe). ""Wir haben eine stärkere Deutsche Einheit als es etwa vor zehn Jahren noch der Fall war.""

Der Osten sei attraktiv, was die Industrieansiedlungen von Intel und Tesla zeigten, und auch zu Recht deutlich selbstbewusster. ""Aber unser Land befindet sich gerade insgesamt in einer Zeit der starken Polarisierung. Zwei Jahre Pandemie, der Krieg in der Ukraine, die Energiekrise, die Klimakrise - das macht was mit den Menschen."" Angesprochen auf die zunehmenden Proteste im Land sagte der SPD-Politiker, man müsse bei diesen Protesten sehr genau hinschauen und trennen. ""Es gibt viele, die haben große Sorgen, wie sie bei den massiven Preissteigerungen über die Runden kommen sollen. Das nehme ich sehr ernst. Um diejenigen muss Politik sich kümmern und das tun wir."" Die Regierung habe drei ""Entlastungspakete"" geschnürt, den Mindestlohn erhöht und stemme sich mit 200 Milliarden Euro gegen die Energiepreise. ""Aber es gibt eben unter den Protestlern auch solche, die schon gegen [Gruppe 1], gegen Corona-Maßnahmen, für Russland unterwegs waren und jetzt versuchen, die berechtigten Sorgen zu instrumentalisieren und unser Land zu spalten. Das dürfen wir nicht zulassen."" Das sei auch keine Frage von Ost und West, so Klingbeil.

",NO_CRIME_FRAME,hard_case,0.5,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0
6,632712c13dd49b919c261886,7,UKR,"Die russische Propaganda gegenüber [Gruppe 1] wird immer radikaler. Kürzlich tauchten Videos in russischen Kanälen auf, in denen offen zum Massenmord an [Gruppe 1] aufgerufen wird. Wie kommt es dazu?

[Gruppe 1] werden in der russischen Propaganda schon länger als Nicht- oder Untermenschen dargestellt. [Gruppe 1] sind dort Nazis und Faschisten. Nach der russischen Lesart hat man deshalb das Recht, sie auszurotten. Die russische Propaganda hat diesen Genozid an uns [Gruppe 1] auch schon länger vorbereitet. Mit dem falschen Narrativ, dass [Gruppe 1] im Donbass einen Genozid an [Andere Gruppe] begangen hätten, was auch Putin selbst im vergangenen Jahr in einer Rede verbreitet hat, haben die [Andere Gruppe] in Wahrheit ihren Genozid an den [Gruppe 1] moralisch vorbereiten und rechtfertigen wollen. Und es gibt übrigens noch ein sehr neues und praktisches Narrativ, das die russische Propaganda gezielt verbreitet: [Gruppe 1] können mit westlichen Waffen nicht umgehen, westliche Waffen werden weiterverkauft und geschmuggelt. Das alles geht auf das Narrativ des brutalen, gierigen, rohen und niederen [Gruppe 1] zurück.

Ist diese Darstellung von [Gruppe 1] eine Entwicklung der russischen Propaganda unter Putin, um [Gruppe 1] zu diffamieren?",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
7,632712af3dd49b919c1efc6d,7,ISLMST,"Öffentliches Leben weiter eingeschränkt

Mit weiteren Anordnungen schränkten die [Gruppe 1] in dieser Woche das öffentliche Leben in dem Land noch mehr ein: So dürfen [Andere Gruppe] künftig ohne einen männlichen Begleiter nicht mehr fliegen. Die Taliban wiesen Fluglinien im Land an, an Frauen ohne Begleiter keine Tickets mehr zu verkaufen, wie aus einem Dokument hervorging, das der Deutschen Presse-Agentur vorlag. Zudem dürfen in der Hauptstadt Kabul und Umgebung Freizeitparks nur noch nach Geschlecht getrennt besucht werden: von Frauen sonntags bis dienstags, von Männern mittwochs bis samstags. Das gab das Ministerium für die Förderung der Tugend und Verhinderung des Lasters am Sonntag bekannt.

Seit ihrer Rückkehr an die Macht Mitte August 2021 haben die Taliban immer strengere Vorschriften für das öffentliche Leben erlassen. So sollen Frauen ohne männliche Begleitperson nicht weiter als 45 Meilen (etwa 72 Kilometer) reisen dürfen. Frauen können in vielen Fällen nicht mehr zurück an ihre Arbeitsplätze. Während der ersten Herrschaft der Taliban von 1996 bis 2001 waren Frauen und Mädchen praktisch vollständig von Bildung und Arbeit außerhalb ihres Hauses ausgeschlossen. Westliche Länder machen eine Anerkennung der Taliban-Regierung unter anderem von Fortschritten bei Frauenrechten abhängig.",NO_CRIME_FRAME,hard_case,0.5,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0
8,6327129f3dd49b919c18d9e2,6,NGA,"Ein Beamter des Ermittlungsdienstes der Bundespolizeiinspektion München erkannte laut Polizeibericht gegen 14.20 Uhr auf dem Heimweg am Hauptbahnhof München einen Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war.

Als der Beamte den Mann, einen 25-jährigen [Gruppe 1], ansprach, versuchte dieser zu flüchten. Nach Verfolgung konnte er nahe des Alten Botanischen Gartens gestellt und festgenommen werden. Dabei kamen weitere Polizeibeamten dem Ermittler zur Hilfe. Nachdem der 25-Jährige sich zunächst verbal aggressiv zeigte, wehrte er sich im weiteren Verlauf nicht gegen die folgenden polizeilichen Maßnahmen und beruhigte sich, wie die Polizei berichtet. Später schlug ein Drogenschnelltest positiv an.

Weitere Ermittlungen ergaben, dass es sich tatsächlich um den Gesuchten handelte. Bezüglich der Hintergründe der Tat liegen bislang noch keine Informationen vor. Bekannt ist, dass der Angegriffene zuvor den Täter und andere Fahrgäste mit seiner Handykamera gefilmt hatte.",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
9,632712aa3dd49b919c1d5535,23,,"Ermittlungen wegen Volksverhetzung

Gegen Bhakdi, der 2021 für die „Querdenker“-Partei „Die Basis“ zur Bundestagswahl angetreten war, ermittelt die Generalstaatsanwaltschaft in Schleswig wegen Volksverhetzung. Bhakdi hatte in einem Interview gesagt, die [Gruppe 1] hätten von den Nazis „das Böse“ gelernt und umgesetzt. Deswegen sei Israel „jetzt living hell – die lebende Hölle“.

Maaßen verbreitete seine Impfgegnerschaft auf der Plattform Gettr. Das soziale Netzwerk funktioniert ähnlich wie Twitter und wurde von einem früheren Mitarbeiter Donald Trumps gegründet. Die Plattform ist bei Rechten und Verschwörungsideologen beliebt, weil sie anders als Twitter und Facebook kaum rassistische Inhalte oder medizinische Falschinformationen löscht.",NO_CRIME_FRAME,hard_case,0.7,NO_CRIME_FRAME,NO_CRIME_FRAME,hard_cases.csv,1.0
10,FAZ_added_c059a4d4909689d66b6bd4a4a01a1516bac0ccd0_,1,SYR,"

Die Bundespolizei ist am Dienstagmorgen mit einer groß angelegten Razzia in Hessen, Bayern und Nordrhein-Westfalen gegen ein Netz mutmaßlicher Schleuser vorgegangen. Rund zwanzig Wohnungen und Geschäftsräume wurden durchsucht und sechs mutmaßliche Schleuser festgenommen, unter ihnen vier [Gruppe 1], ein [Andere Gruppe] und ein [Andere Gruppe]. Der Schwerpunkt der Aktion, an der auch Spezialkräfte der GSG 9 beteiligt waren, lag in Nordhessen.

Die sechs Männer werden verdächtigt, mindestens 150 vorwiegend syrische Staatsbürger gegen Zahlungen in Höhe von 600 bis 2000 Euro von Belarus, [Andere Gruppe] oder Österreich aus in gemieteten Kleintransportern unter teilweise lebensgefährlichen Umständen „banden- und gewerbsmäßig“ nach Deutschland geschleust zu haben. So sollen die [Andere Gruppe] oft ohne jede Sicherung und ohne ausreichende Belüftung im dunklen Laderaum der Fahrzeuge transportiert worden sein.",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
