testset_id,group,text_block_en,text_block_en_en,label_marmee,notes_marmee,label_robin,notes,model_label,model_explanation,article_id,par_index
251,MIGR,"Ein Einwohner von Lutzmannsburg im Burgenland berichtet in diesem emotionalen Interview von den untragbaren Zuständen an der Grenze. Massen an illegalen [Gruppe 1] kommen jeden Tag in unser Land und verursachen das reinste Chaos. Den Müll lassen sie einfach in den Wäldern liegen.

Auch der Herr aus Lutzmannsburg fordert, dass endlich unsere Grenzen dichtgemacht werden. Die Regierung muss endlich in die Gänge kommen. Es braucht die „Festung Österreich“! Es reicht!","A resident of Lutzmannsburg in the Burgenland reports on the unbearable situation at the border in this emotional interview. Masses of illegal [Gruppe 1] come to our country every day and cause pure chaos. They simply leave their trash lying in the woods.

The gentleman from Lutzmannsburg also demands that our borders be finally closed. The government must finally get into gear. We need ""Festung Österreich""! That's enough!",CRIME_FRAME_NEG,,CRIME_FRAME_NEG,Müll liegen lassen crime? ,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Die Gruppe wird explizit mit „Chaos“, „Müllverursachung“ und einer generalisierten gesellschaftlichen Bedrohung („illegale Massen“, „Untragbarkeit“) verknüpft, was als implizite Sicherheitsgefahr und Kontrollverlust im Inland interpretiert werden kann – eine klassische generalisierte Bedrohungsrahmung.",63569bc67d2c462562063ebd,2
252,BIH,"Damals begann die Kolonialisierung Deutschlands, die sich 2015 mit der Grenzöffnung und dem Migrationspakt inzwischen zu einer alles verschlingenden Einwanderungswelle entwickelt hat. Auch in Deutschland wird mit Traumatisierungen zur Zerrüttung und leichteren Kontrolle der autochthonen Einwohner gearbeitet. Vergewaltigungen [Andere Gruppe] Frauen durch [Andere Gruppe] und Messerangriffe werden bagatellisiert, ignoriert und die Täter – wie zum Hohn – in Psychiatrien untergebracht. Andere, wie der auf 16 Jahre geschätzte [Andere Gruppe], der ein 11-jähriges, deutsches Mädchen durch eine Vergewaltigung seelisch ermordet und ihre Familie traumatisiert hat, erhalten eine einfache Bewährungsstrafe und können ihre Seelenmorde ungehindert fortsetzen.

Mitgefühl für vergewaltigte [Gruppe 1]? Ja! Für Deutsche? Nein!

Durch solche Untaten und deren milde Strafen oder Nichtbestrafung werden indigene Familien geschwächt, um die Eroberung und Landnahme zur erleichtern. Im krassen Gegensatz zum derzeit stattfindenden „Völkersterben“ der Deutschen „von seiner schönsten Seite“ (Deniz Yücel), das von Handlangern in der Legislative, Exekutive und Judikative geduldet und gefördert wird, stehen die mitfühlenden Reaktionen der Deutschen auf den Jugoslawienkrieg 1992 bis 2005. Die Süddeutsche Zeitung, stets auf Seiten der Schwachen, es sei denn, es handelt sich um Deutsche, schrieb 2013 zu den geschätzten 20 000 bosnischen Frauen, die Opfer sexueller Gewalt und Folter wurden: „Von Tag eins des Krieges an wurden so viele Frauen wie möglich so oft wie möglich vergewaltigt, in »Einzel-, Gruppen- und Dauervergewaltigungen«, wie Human Rights Watch die Verbrechen klassifizierte.“ Ich weiß nicht, wie es Ihnen geht, aber mich erinnert diese Aussage an den Zustand Deutschlands, das seit 2015 einem Freilichtbordell gleicht.","Back then, the colonization of Germany began, which has since developed into a devouring wave of immigration with the opening of the border and the Migration Pact in 2015. Even in Germany, traumatisations are being worked on to destroy and more easily control the indigenous population. Rapes of [andere Gruppe] women by [andere Gruppe] and knife attacks are trivialized, ignored, and the perpetrators – as a joke – are placed in psychiatric hospitals. Others, like the 16-year-old estimated [andere Gruppe], who through a rape spiritually murdered an 11-year-old German girl and traumatized her family, receive a simple probation sentence and can continue their soul murders unimpeded.

Pity for raped [Gruppe 1]? Yes! For Germans? No!

Through such atrocities and their mild punishments or non-punishment, indigenous families are weakened to facilitate conquest and land appropriation. In stark contrast to the ""extinction of the peoples"" of the Germans ""from its most beautiful side"" (Deniz Yücel), which is tolerated and promoted by minions in the Legislature, Executive, and Judiciary, the empathetic reactions of the Germans on the Yugoslav War 1992-2005 stand. The Süddeutsche Zeitung, always on the side of the weak, unless it concerns Germans, wrote in 2013 about the estimated 20,000 Bosnian women who were victims of sexual violence and torture: ""From day one of the war, as many women as possible were raped as often as possible in 'single, group, and continuous rapes,' as Human Rights Watch classified the crimes."" I don't know how it is with you, but this statement reminds me of the state of Germany, which has been a free outdoor brothel since 2015.",CRIME_FRAME_NEG,Victim but also raping a German girl too,NO_CRIME_FRAME,victim,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG

**Explanation:** Der Text verknüpft die **[Andere Gruppe]** explizit mit schweren Straftaten (Vergewaltigungen, Messerangriffe, „Seelenmorde“), bagatellisiert deren Folgen, beschreibt milde Strafen als „Untaten“ und stellt sie als aktive Bedrohung für „autochthone Einwohner“ dar – dies zählt als **CRIME_FRAME_NEG** durch generalisierte Kriminalitätszuschreibung und Legitimierung von Gewaltnarrativen.",632712913dd49b919c134ac9,6
253,JPN,"Auf Fernsehbildern war zu sehen, wie Abe zusammengebrochen auf der Straße liegt. Der Politiker habe sich an die Brust gefasst, als er auf der Straße kollabiert sei, sein Hemd sei blutverschmiert gewesen, hieß es in Medienberichten. Auf dem Weg in ein Krankenhaus sei er im Krankenwagen zunächst noch bei Bewusstsein gewesen und habe auf Ansprache reagiert.

Der mutmaßliche Angreifer, ein 41 Jahre alter [Gruppe 1], wurde noch am Tatort wegen versuchten Mordes verhaftet. Laut NHK soll er nach seiner Festnahme gesagt haben, er sei „unzufrieden“ mit Abe und habe ihn „töten“ wollen.

Bei dem Mann soll es sich um ein Ex-Mitglied der Selbstverteidigungsstreitkräfte handeln, berichtet NHK unter Berufung auf Quellen im Verteidigungsministerium. Der Ex-Militär soll die Schüsse mit einem selbstgebastelten Gewehr abgefeuert haben.","On television footage, it can be seen that Abe collapsed on the street. The politician was said to have clutched his chest as he collapsed on the street, and his shirt was bloodstained, according to media reports. On the way to a hospital, he was still conscious in the ambulance and responded to address.

The alleged attacker, a 41-year-old [Gruppe 1], was arrested at the scene for attempted murder. According to NHK, it is said that after his arrest, he said, ""I am dissatisfied"" with Abe and wanted to ""kill"" him.

It is said to be an ex-member of the Self-Defense Forces, reported NHK in reference to sources within the Ministry of Defense. The former military man allegedly fired shots with a homemade gun.",NO_CRIME_FRAME,,NO_CRIME_FRAME,not clear happened in germany -> but related to it? Verteidigungsministerium? unsure!,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer mutmaßlichen schweren Straftat (versuchter Mord) und nennt den Täter als Gruppenmitglied, das nach eigenen Angaben den Angriff geplant und durchgeführt hat.",632712803dd49b919c0bbaf2,8
254,UKR,"Ohne Vorwarnung greift er die Frau mit einer Bierflasche an, die er in der  Hand hält und schlägt damit zu. Nach einem Treffer an der Schulter durch die Flasche, geht die 41-Jährige zu Boden. Und noch immer lässt der Rasende nicht von ihr ab, tritt der am Boden liegenden Frau ins Gesicht, verletzt sie mit diesem Vorgehen.

Mittlerweile ist die Polizei alarmiert. Doch als diese eintrifft, verhält sich der [Gruppe 1] weiterhin uneinsichtig und aggressiv. Ein Alkoholtest ergibt deutlich mehr als ein Promille. Die Beamten fackeln nicht lange, packen den Frauenschläger ein und bringen ihn in Polizeigewahrsam auf die Wache nach Ennepetal, wo er bis zum folgenden Morgen seinen Rausch ausschlafen konnte, bevor er wieder auf freien Fuß kam.

Die 41-Jährige wurde zur Behandlung ihrer Verletzungen mit einem Krankentransport in ein Krankenhaus gebracht. ST","Without warning, he attacks the woman with a beer bottle that he holds in his hand and hits her with it. After a hit on the shoulder from the bottle, the 41-year-old goes to the ground. And still, the enraged one does not leave her alone, kicks the lying-down woman in the face, injuring her with this approach.

Meanwhile, the police is alerted. But as they arrive, the [Gruppe 1] continues to behave unrestrainedly and aggressively. A breathalyzer test shows clearly more than one promille. The officers do not hesitate long, arrest the woman-beater and bring him to the police station in Ennepetal, where he could sleep off his intoxication until the following morning before being released on bail again.

The 41-year-old was taken to a hospital for treatment of her injuries with an ambulance.",CRIME_FRAME_NEG,,CRIME_FRAME_NEG,,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft ein Gruppenmitglied explizit mit einer schweren Gewalttat (Angriff mit einer Bierflasche, Tritte ins Gesicht), einer Alkoholfahrt (über 1 Promille) und einer Festnahme durch die Polizei – alle Handlungen werden direkt der Gruppe zugeordnet.",WAZ-613623655120A32E0AD7EF0BD54065AA_4156080,5
255,SALAF,"Zwei weitere Schüler zeigen das unter [Andere Gruppe] verbreitete „Rabia“-Zeichen. Entstanden ist der Gruß 2013 in Kairo, als die ägyptische Armee eine Blockade der islamistischen Muslimbruderschaft auflöste. Der türkische Staatschef Recep Tayyip Erdogan verwendete den Gruß, als er im Sommer 2016 nach dem gescheiterten Militärputsch vor seine Anhänger trat.

Ein weiterer Jugendlicher auf dem Foto mit der Ministerin posiert mit dem unter [Gruppe 1], auch beim „Islamischen Staat“ verbreiteten gestreckten Zeigefinger.

Mittlerweile haben Faeser und das Bundesinnenministerium reagiert – und das Foto gelöscht. „Die von einigen Schülern gezeigten Symbole auf dem Bild sind inakzeptabel, ich verurteile dies scharf“, schrieb Faeser auf Twitter. Man sei mit dem Projektträger dazu im Gespräch.","Two more students show the under [Other Group] spread ""Rabia"" sign. The greeting emerged in 2013 in Cairo, when the Egyptian army dissolved a blockade of the Islamist Muslim Brotherhood. Turkish President Recep Tayyip Erdogan used the greeting when he appeared before his supporters in the summer of 2016 after the failed military coup.

Another youth on the photo with the Minister poses with the under [Group 1], also spread by the stretched index finger among Islamic State.

In the meantime, Faeser and the Federal Ministry of the Interior have reacted – and deleted the photo. ""The symbols shown by some students in the picture are unacceptable, I sharply condemn this,"" wrote Faeser on Twitter. One is talking with the project promoter about it.",NO_CRIME_FRAME,Not related to Germany? ,CRIME_FRAME_NEG,Crime to do the gruß? ,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Die Gruppe wird zwar mit einem Symbol in Verbindung gebracht, das auch beim „Islamischen Staat“ verbreitet ist, aber es liegt keine explizite Verknüpfung mit Kriminalität, Terrorismus, Gewalt oder Sicherheitsbedrohung vor – stattdessen wird das Foto als inakzeptabel verurteilt, ohne die Gruppe selbst als Täter oder Unterstützer von Gewalt darzustellen.",632712ae3dd49b919c1e771d,9
256,JESID,"Ab Anfang 2015 lebten sie im Irak in Mossul, wo sie die gemeinsame Tochter im Sinne der IS-Ideologie erzogen hätten. In seinem Haus habe das Paar Handgranaten, Sturmgewehre und Sprengstoff eingelagert und zudem in dem Anwesen eine Aufnahmestelle für alleinstehende weibliche IS-Mitglieder eingerichtet. Ab dem Frühjahr 2016 habe sich das Paar auch eine jesidische Sklavin gehalten.

Die [Gruppe 1] sei mit Wissen der Deutschen von ihrem Mann regelmäßig vergewaltigt und geschlagen worden, wie es weiter hieß. Außerdem habe die Gefangene Hausarbeit verrichten und Kinder betreuen müssen. Sie sei zudem gezwungen worden, islamische Riten einzuhalten. „Dies alles diente dem erklärten Ziel des IS, den jesidischen Glauben zu vernichten“, wie es in der Mitteilung weiter hieß. Ab Herbst 2016 sei die Deutsche wieder nach Syrien gezogen.

Die Frau war Ende März mit drei anderen Frauen, darunter zwei weitere Deutsche und eine Frau mit deutsch-marokkanischer Staatsbürgerschaft, bei der Einreise am Flughafen Frankfurt festgenommen worden und danach in Untersuchungshaft gekommen.","""Starting in early 2015, they lived in Mosul, Iraq, where they reportedly raised their daughter in accordance with ISIS ideology. The couple allegedly stored hand grenades, assault rifles, and explosives in their home and also set up a shelter on the property for single female ISIS members. Starting in the spring of 2016, the couple also kept a Yazidi slave.

The [Group 1] woman was regularly raped and beaten by her husband with the Germans� knowledge, the statement continued. In addition, the captive was forced to perform housework and care for children. She was also forced to observe Islamic rites. �All of this served IS�s stated goal of destroying the Yazidi faith,� the statement continued. The German woman reportedly moved back to Syria in the fall of 2016.

The woman had been arrested at Frankfurt Airport at the end of March along with three other women�including two other German nationals and a woman with German-Moroccan citizenship�upon their arrival and was subsequently placed in pretrial detention.""",NO_CRIME_FRAME,,NO_CRIME_FRAME,victim ,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Die Gruppe wird explizit als Teil des IS dargestellt, der schwere Straftaten (Waffenlagerung, Sklaverei, Vergewaltigung, Terrorunterstützung) begangen hat, und die Frau wird als festgenommene Verdächtige in Untersuchungshaft beschrieben – dies zählt als direkte Verknüpfung mit Kriminalität, Terrorismus und Ermittlungen.",SZ_added_2247d3ab46a39e8736427370eb7013f3131c94d4_,4
257,FOR,"Unterstützung aus dem Ausland

Das Asow-Regiment rekrutiert bei dem Instant-Nachrichtendienst Telegram zurzeit auch ausländische Kämpfer. Der »Zeit«-Journalist Christian Fuchs erfuhr bei einer Undercover-Anfrage von einem der Rekruteure: »Wir nehmen gerade alle [Gruppe 1].« Es soll zahlreiche Anfragen geben. Schon in der heißen Phase des Krieges im Donbass im Jahr 2014 und 2015 sollen rund zehn Prozent der knapp tausend Kämpfer zugereiste Rechtsextreme gewesen sein. Sie stammten aus zahlreichen europäischen Ländern und auch aus den USA. Wie das Bundesamt für Verfassungsschutz gegenüber der »Welt« bestätigte, sind in den vergangenen Tagen bereits deutsche Neonazis in die Ukraine ausgereist. Unklar ist, ob sie dem Aufruf von Asow folgen. Der überwiegende Teil der deutschen Neonaziszene unterstützt nach Erkenntnissen der Sicherheitsbehörden Russland. Die italienische Ausgabe der »Huffington Post« hatte vor wenigen Tagen berichtet, es finde gerade ein »Derby« statt zwischen Anhängern neofaschistischer italienischen Parteien. Die einen unterstützten Russland, die anderen die Ukraine.

Extremistisch gesinnte Sölder der Wagner-Gruppe sollen sich Berichten zufolge bereits in der Ukraine befinden und auf russischer Seite kämpfen. Auch die prorussischen Separatisten haben schon seit 2014 ihre eigenen »foreign fighters«. Italiens bekanntester Rechtsextremer im Donbass, Andrea Palmeri, ist der ehemalige Hooligan-Chef des toskanischen Fußballvereins Lucchese. Er soll seit 2014 in Luhansk leben. In einem Facebook-Post von dieser Woche schreibt er, die westlichen Nachrichten »werden mit russenfeindlicher Propaganda und Fake News überflutet«. Ein Profilbild aus dem Jahr 2016 zeigt Palmeris Tattoos auf dem rechten Oberarm: Über dem russischen Adlerwappen hatte er sich ein Eisernes Kreuz einstechen lassen.","Foreign Support

The Azov Regiment is currently recruiting foreign fighters on the instant messaging service Telegram. Journalist Christian Fuchs from Zeit learned about this in an undercover inquiry from one of the recruiters: ""We are taking all [Gruppe 1] right now."" There are said to be numerous inquiries. Already in the hot phase of the war in Donbass in 2014 and 2015, around ten percent of the nearly thousand fighters were said to have been far-right extremists who had arrived from abroad. They came from numerous European countries and also from the USA. According to information from the Federal Office for the Protection of the Constitution, against Welt, there have already been German neo-Nazis traveling to Ukraine in recent days. It is unclear whether they are following Asow's call. The majority of Germany's neo-Nazi scene supports Russia, according to findings by the security authorities.

The Italian edition of Huffington Post reported a few days ago that there was currently a ""Derby"" between supporters of neofascist Italian parties, with one side supporting Russia and the other Ukraine.

According to reports, extremist fighters from Wagner's group are said to have already been in Ukraine and fighting on the Russian side. The pro-Russian separatists have also had their own ""foreign fighters"" since 2014. Italy's most well-known right-wing extremist in Donbass is Andrea Palmeri, who was the former hooligan leader of Tuscan football club Lucchese. He is said to have been living in Luhansk since 2014. In a Facebook post from this week, he writes that Western news are being ""overwhelmed with Russian-hostile propaganda and fake news."" A profile picture from 2016 shows Palmeri's tattoos on his right upper arm: above the Russian eagle emblem he had an Iron Cross tattooed in.",NO_CRIME_FRAME,,NO_CRIME_FRAME,not explixit enough if group 1 are Neonazis ,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME

**Explanation:** Der Text beschreibt einen **ausschließlich ausländischen Kriegskontext** (Ukraine-Konflikt) mit extremistischen Akteuren, die **nicht explizit als Bedrohung für die innere Sicherheit Deutschlands** dargestellt werden – selbst wenn deutsche Neonazis erwähnt werden, fehlt eine direkte Verknüpfung mit Kriminalität, Terrorismus oder Sicherheitsgefahren **im Inland**. Die Gruppe [Gruppe 1] wird hier **nicht als Täter, Verdächtige oder Sicherheitsrisiko für Deutschland** thematisiert, sondern als Teil eines **internationalen Konflikts** ohne Bezug zu deutschen Straftaten oder Präventionsmaßnahmen.",6327129a3dd49b919c16c302,16
258,SYR,"Einsatzfahrzeuge der Polizei stehen vor dem Haus der Integration. (Quelle: Claudia Otte/dpa/dpa-bilder)

Der 20-jährige [Gruppe 1] wurde am Freitag einem Haftrichter vorgeführt, der Untersuchungshaft wegen des Verdachts der gefährlichen Körperverletzung gegen ihn verhängte. Ausschlaggebend dafür seien Flucht- und Wiederholungsgefahr gewesen. Bei seiner Vorführung habe sich der 20-Jährige weiterhin weder zur Tat noch zu seinem Motiv geäußert.

Es gebe aus seiner Akte ""gewisse Anhaltspunkte für eine psychische Erkrankung"", sagte der Staatsanwalt. Diese reichten für die Annahme der Schuldunfähigkeit und eine Unterbringung in einer Psychiatrie aber nicht aus. Der Haftrichter habe dies auch so gesehen.","Police vehicles are stationed outside the House of Integration. (Source: Claudia Otte/dpa/dpa-bilder)

The 20-year-old [Gruppe 1] was presented to a pre-trial investigating judge on Friday, who imposed pre-trial detention due to the suspicion of grievous bodily harm against him. This decision was based on flight and repetition danger. During his presentation, the 20-year-old continued to neither admit to the act nor comment on his motivation.

""There are certain indications for a mental illness from his file,"" said the prosecutor. These did not suffice, however, for the assumption of guiltlessness and a hospitalization in a psychiatric clinic. The pre-trial investigating judge also saw it that way.",CRIME_FRAME_NEG,,CRIME_FRAME_NEG,,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer mutmaßlichen Straftat („Verdacht der gefährlichen Körperverletzung“), Ermittlungen („Haftrichter vorgeführt“, „Untersuchungshaft“) und polizeilichen Maßnahmen („Einsatzfahrzeuge der Polizei“), was als CRIME_FRAME_NEG klassifiziert wird.",6327126f3dd49b919c0560f7,4
259,FRA,"Frankreichs Innenminister Gérald Darmanin schrieb auf Twitter, der Mann sei «neutralisiert» worden. «Neutraliser» kann im Französischen unter anderem «ausschalten» oder «töten» heißen. Die Polizei machte auf Anfrage zunächst keine Angabe dazu, ob der Mann getötet wurde oder nicht.

Darmanin sagte vor Ort, dass der Angreifer [Gruppe 1] sei und polizeilich nicht bekannt war. Ihm zufolge wurde bei dem Vorfall am Samstagmorgen auch ein Polizist verletzt. Es gehe diesem aber ganz gut. Marseilles Bürgermeister Benoît Payan sagte, der Angreifer sei mehrfach gewarnt worden, aber wieder auf die Polizisten zugegangen. In dem Fall wurden Untersuchungen eingeleitet.","France's Interior Minister Gérald Darmanin wrote on Twitter that the man was ""neutralized"".  ""Neutraliser"" can mean among other things in French ""to shut down"" or ""kill"".  The police initially made no comment on whether the man had been killed or not.

Darmanin said at the scene, that the attacker [Gruppe 1] was and police were not known to him. According to Darmanin, a policeman was also injured in the incident on Saturday morning. He is however doing quite well. Marseille's Mayor Benoît Payan said that the attacker had been warned multiple times but again went back to the police. In this case investigations have been initiated.",NO_CRIME_FRAME,,NO_CRIME_FRAME,not germany,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einem gewaltsamen Angriff (Angreifer, Verletzung eines Polizisten) und polizeilichen Ermittlungen, wobei der Täter als Mitglied der Gruppe identifiziert wird.",632712853dd49b919c0e313c,5
260,RUS,"+++ 16:29 Großbritannien prüft, ob russische Immobilien der Ukraine gegeben werden können +++Nach Recherchen der britischen ""Times"" befinden sich in England eine Reihe von Immobilien, die derzeit dem russischen Staat gehören, auf die aber möglicherweise die Ukraine einen Anspruch hat. Nach Angaben der Zeitung will der ukrainische Botschaft in Großbritannien auf Herausgabe von 18 Immobilien klagen, die meisten davon in London.

Die rechtliche Basis der Forderung ist die Annahme, dass Russland sich die Gebäude nach dem Auseinanderbrechen der Sowjetunion widerrechtlich angeeignet hat, ohne Ansprüche der Ukraine zu berücksichtigen. Die ""Times"" zitiert einen ehemaligen Berater des US-Ministeriums für Heimatschutz, der die Klagen für aussichtsreich hält: ""Die [Gruppe 1] haben einfach Hunderte von Millionen in Immobilien gestohlen. Dass sie diese Immobilien noch immer besitzen, unterstützt nun ihren Terrorismus gegen das ukrainische Volk.""

+++ 15:59 [Gruppe 1] zeigen erobertes Gerät in Lyssytschansk +++Nach der Einnahme der ukrainischen Stadt Lyssytschansk im Bezirk Luhansk zeigen Kämpfer der von Russland gesteuerten ""Volksrepublik Luhansk"" zurückgelassene Waffen und Ausrüstungsgegenstände der ukrainischen Armee. Russland hatte Lyssytschansk am vergangenen Wochenende eingenommen und damit den ukrainischen Bezirk Luhansk vollständig erobert.","+++ 16:29 Britain is checking if Russian properties can be given to Ukraine +++ Following an investigation by the British ""Times"", a number of properties currently owned by the Russian state in England may belong to Ukraine. According to the newspaper, the Ukrainian Embassy in Britain intends to file a lawsuit for the release of 18 properties, most of which are located in London.

The legal basis for the claim is the assumption that Russia has illicitly taken possession of the buildings following the collapse of the Soviet Union without considering claims from Ukraine. The ""Times"" quotes a former advisor to the US Department of Homeland Security who considers the lawsuit promising: ""The [Group 1] simply stole hundreds of millions in real estate. The fact that they still possess these properties now supports their terrorism against the Ukrainian people.""

+++ 15:59 [Group 1] show captured equipment in Lyssytschansk +++ After capturing the Ukrainian city of Lyssytschansk in Luhansk district, fighters from the Russian-controlled ""Luhansk People's Republic"" are showing off left-behind arms and equipment belonging to the Ukrainian army. Russia had taken Lyssytschansk over the weekend and thus completely occupied the Ukrainian Luhansk district.",NO_CRIME_FRAME,,NO_CRIME_FRAME,,NO_CRIME_FRAME,"Der Text beschreibt einen **geopolitischen Konflikt zwischen Staaten (Russland/Ukraine)** und die **Einnahme einer Stadt im Kriegskontext** – dies zählt nicht als innerdeutsche Sicherheitsbedrohung oder Kriminalitätsrahmen. Zudem wird die Gruppe zwar mit „Terrorismus“ assoziiert, aber dies bezieht sich auf **Kriegshandlungen im Ausland** und nicht auf Straftaten oder Sicherheitsgefahren in Deutschland.",632712913dd49b919c132916,11
