group,pub,human_label,llm_label,explanation,text_block,raw_output
BGR,Bild,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,"Der Absatz beschreibt zwar statistische Daten zu Tätern, stellt aber keine Gruppe explizit als Bedrohung oder Kriminalitätsquelle dar, sondern nennt nur Herkunftsangaben ohne wertende Zuschreibung.","[[ Zwei Gruppenvergewaltiger waren unter 14, zwei weitere über 70. Größte Gruppe: 14-30 (179 Personen). Auch hier gab's weibliche Tatverdächtige: 14 von 221. Besonders schwere Fälle begingen 58 Personen.

[[ Die Herkunft der Tatverdächtigen: Weit vorne bei Vergewaltigungen und Gruppenvergewaltigungen sind Deutsche (981/106). Dahinter bei alleine begangenen Vergewaltigungen: [Andere Gruppe] (108). Bei Gruppenvergewaltigungen: [Gruppe 1] (9).]]

„Es geht mir gut ...“Selin E. (23) wurde entführt und missbraucht","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt zwar statistische Daten zu Tätern, stellt aber keine Gruppe explizit als Bedrohung oder Kriminalitätsquelle dar, sondern nennt nur Herkunftsangaben ohne wertende Zuschreibung."
ASYL,LVZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,"Der Absatz beschreibt eine Einzelhandlung eines Tatverdächtigen aus der Gruppe, ohne die Gruppe selbst als Ursache oder Quelle der Bedrohung oder Kriminalität zu rahmen.","

Wegen einer Bedrohungssituation sind am Silvestertag zwei Streifenwagenbesatzungen des Reviers Leipzig-Südwest in die Markranstädter Gemeinschaftsunterkunft für [Gruppe 1] gerufen worden. Dort soll ein 22-Jähriger einen weiteren Bewohner mit einem Gegenstand bedroht und angegriffen haben. Nach Informationen der Polizeidirektion Leipzig wurde niemand verletzt. Ein hinzugezogener Arzt wies den polizeibekannten Tatverdächtigen aus Somalia in ein Fachkrankenhaus ein. Die Polizei nahm Ermittlungen wegen versuchter gefährlicher Körperverletzung sowie Bedrohung auf.kü

","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt eine Einzelhandlung eines Tatverdächtigen aus der Gruppe, ohne die Gruppe selbst als Ursache oder Quelle der Bedrohung oder Kriminalität zu rahmen."
GBR,WAZ,SECURITY_NEGATIVE,SECURITY_NEGATIVE,"Der Absatz stellt die **„Mocro-Mafia“** explizit als kriminelle Gruppe dar, die durch Drogenhandel (Kokain) und potenzielle Entführungen (als „Racheakt“) eine **Bedrohung für die öffentliche Sicherheit** (hier: gezielte Angriffe auf Symbolfiguren wie Prinzessin Amalia) verkörpert. Die Formulierung *„Wer auspackt, stirbt“* und die Chiffrierung von Anweisungen über Koranverse unterstreichen zudem eine **organisierte, gewaltbereite Struktur**, die gezielt staatliche Akteure (Rutte) angreift.","Anführer Ridouan Taghi (44) sitzt in der Strafanstalt EBI in Vught, soll von dort seine Geschäfte weiterführen. Sein Wahlspruch: "" Wer auspackt, stirbt.""  Angeblich soll er auch angewiesen haben, Regierungschef Rutte Schaden zuzufügen. Seine Anordnungen habe er über Koranverse chiffriert. Rutte darf nun kein Rad mehr fahren.

Die Mocro-Mafia verdient ihr Geld jedoch mit Kokain, nicht mit Kidnapping. Entführungen mit dem Motiv, Geld oder Forderungen wie Freilassungen zu erpressen, sind generell selten und führen die Verbrecher kaum ans Ziel. Die Entführung eines Mitglieds einer königlichen Familie bedeutete das maximale Risiko für Kriminelle. 1976 versuchte ein [Gruppe 1], Prinzessin Anne, Tochter der Queen, zu entführen, und scheiterte. Möglicherweise soll Amalia auch als Symbolfigur des Landes für einen Racheakt herhalten.

Ein Leben im goldenen Käfig dürfte der Prinzessin schwerfallen. Wo es ging, versuchte sie bisher so zu leben wie andere junge Frauen: "" Cocktail Queen""  ist ihr Spitzname, folglich nannte sie ihr geliebtes Pferd "" Mojito"" . Im Sommer jobbte sie in einer Strandbar in Scheveningen. Ihr Studium will sie fortsetzen -  vorerst von zu Hause aus. Nach ihrem Bachelorabschluss in drei Jahren will sie eigentlich zwei Jahre ins Ausland. Im Moment aber muss sie jeden Schritt außerhalb des Schlossgeländes mit ihrem Sicherheitsstab abklären.","Label: **SECURITY_NEGATIVE**
Explanation: Der Absatz stellt die **„Mocro-Mafia“** explizit als kriminelle Gruppe dar, die durch Drogenhandel (Kokain) und potenzielle Entführungen (als „Racheakt“) eine **Bedrohung für die öffentliche Sicherheit** (hier: gezielte Angriffe auf Symbolfiguren wie Prinzessin Amalia) verkörpert. Die Formulierung *„Wer auspackt, stirbt“* und die Chiffrierung von Anweisungen über Koranverse unterstreichen zudem eine **organisierte, gewaltbereite Struktur**, die gezielt staatliche Akteure (Rutte) angreift."
GRC,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,"Der Absatz beschreibt einen Einzelfall von Gewalt, bei dem die genannte Gruppe (hier: der Täter) als **Täter** und nicht als kollektive Bedrohung oder Kriminalitätsquelle dargestellt wird, während die getötete Familie als **Opfer** agiert.","

Ein 60 Jahre alter [Gruppe 1] hat gestanden, eine vierköpfige Familie getötet zu haben, weil diese ihm die Miete nicht bezahlt hatte. Das Ehepaar und seine zwei kleinen Kinder waren am Mittwoch in ihrem Haus in der Kleinstadt Andravida auf der griechischen Halbinsel Peloponnes tot aufgefunden worden. Ein drittes Kind der Familie, ein zwölfjähriger Junge, der aus der Schule zurückkam, hatte die Leichen gefunden und die Nachbarn alarmiert.

","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt einen Einzelfall von Gewalt, bei dem die genannte Gruppe (hier: der Täter) als **Täter** und nicht als kollektive Bedrohung oder Kriminalitätsquelle dargestellt wird, während die getötete Familie als **Opfer** agiert."
ITA,Bild,SECURITY_NEGATIVE,SECURITY_NEGATIVE,"Der Absatz stellt die Gruppe (italienische Mafiosi) explizit als **Akteure von Kriminalität** dar, die durch ihr Verhalten (z. B. Social-Media-Präsenz) die Ermittlungsarbeit erschweren und damit eine **Sicherheitsbedrohung** für die Gesellschaft darstellen.","

Ganz viel Bling-Bling, ganz viele heiße Karren, ganz viel edler Lifestyle: Auf Tiktok präsentiert der [Gruppe 1] Crescenzo Marino sein Luxusleben. Fast 44-Tausend Leute folgen ihm auf der Plattform - und der Mafia stößt DAS übel auf, wie die britische Daily Mail berichtet. Denn der Influencer ist der Sohn Camorra-Bosses aus Neapel. Und die Mafia befürchtet offenbar, dass die Ermittler zukünftig einfaches Spiel bei der Aufklärung von Straftaten haben könnten, wenn Mafia-Größe oder deren Kinder zu viel auf Social Media Kanälen posten. Die Videos von Mafia-Spross Marino schließlich echte Hingucker für seine Fans - ob teure Designermarken am Körper, entspannte Reisen in alle Welt oder die Aufzucht von Kampfhunden - der Zuschauer wird regelrecht in die Welt des mutmaßlichen Mafiosis reingezogen. Und diese Welt war bisher vor allem durch Understatement geprägt. Im Dunklen handeln, um bloß nicht aufzufallen - das war einmal. Mit solch einem Profil, wie dem von Crescenzo Marino, geht die junge Generation italienischer Mafiosi nun einen neuen Weg. Hier schreit es eher aus jedem clip: Schaut her, ich bin wer!

","Label: **SECURITY_NEGATIVE**
Explanation: Der Absatz stellt die Gruppe (italienische Mafiosi) explizit als **Akteure von Kriminalität** dar, die durch ihr Verhalten (z. B. Social-Media-Präsenz) die Ermittlungsarbeit erschweren und damit eine **Sicherheitsbedrohung** für die Gesellschaft darstellen."
AUT,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,"Der Absatz thematisiert eine **wirtschaftskriminelle Handlung (Betrug)** und stellt die Gruppe (hier: die betroffenen Personen wie Marsalek oder Braun) **nicht als Bedrohung oder Kriminalitätsquelle dar**, sondern als **Opfer oder Verdächtige in einem juristischen Kontext** – zudem fehlt eine explizite Zuschreibung von Sicherheitsrisiken an eine Minderheiten- oder Migrationsgruppe.","Die Frage, welche Rolle der frühere Vorstandschef Markus Braun bei all dem spielte, beschäftigt von diesem Donnerstag an das Landgericht München. Dort startet der Betrugsprozess, und Ex-Börsenliebling Braun ist der Hauptangeklagte. Mit ihm auf der Anklagebank sitzen der ehemalige Wirecard-Chefbuchhalter Stephan von E. und der als Kronzeuge agierende Manager Oliver B.

Wer fehlt, ist das ehemalige Vorstandsmitglied Jan Marsalek. Der 42-Jährige gilt neben Braun als zweiter Hauptverdächtiger. Er ist seit Juni 2020 auf der Flucht und wird mit internationalem Haftbefehl gesucht. Vermutet wird der [Gruppe 1] in Russland. Bei seiner Flucht sollen Kontakte zu Mitarbeitenden verschiedener Geheimdienste geholfen haben, was seiner Person einen besonders schillernden Anstrich verleiht.

Brauns Anwälte sehen in Marsalek den Drahtzieher hinter allem und ihren eigenen Mandanten als dessen Opfer. Jörn Leogrande, einst Mitarbeiter von Braun und Marsalek, bringt die Strategie dahinter schön auf den Punkt. Er hat den Wirecard-Bestseller "" Bad Company""  geschrieben. Die "" FAZ""  zitiert seine Einschätzung des 53-jährigen Braun so:  "" Entweder er gibt den dümmsten CEO aller Zeiten, nämlich jenen Manager, der nicht weiß, wo über 75 Prozent der Umsätze seines Unternehmens wirklich herkommen. Oder er gesteht, dass er an einem bandenmäßigen Betrug beteiligt ist. Markus entscheidet sich für die erste Variante."" ","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz thematisiert eine **wirtschaftskriminelle Handlung (Betrug)** und stellt die Gruppe (hier: die betroffenen Personen wie Marsalek oder Braun) **nicht als Bedrohung oder Kriminalitätsquelle dar**, sondern als **Opfer oder Verdächtige in einem juristischen Kontext** – zudem fehlt eine explizite Zuschreibung von Sicherheitsrisiken an eine Minderheiten- oder Migrationsgruppe."
ASYL,WAZ,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"Der Absatz beschreibt ein Brandereignis ohne explizite Zuschreibung von Kriminalität oder Bedrohung an die Gruppe, sondern nennt nur die *mögliche* Brandstiftung als Tat ohne Täterkontext und stellt die Gruppe nicht als Ursache oder Quelle des Problems dar.","

Aus der Grenzregion Auf einem Campingbauernhof in der niederländischen Gemeinde Someren ist vergangene Woche ein Feuer ausgebrochen. Dort sollten 450 [Gruppe 1] und Bewerber untergebracht werden, zunächst für zwei Monate, so der Plan der Gemeinde. Wie der niederländische Sender "" Omroep Brabant""  berichtet, gehen die Behörden von Brandstiftung aus. Es befanden sich keine Menschen im Gebäude, verletzt wurde niemand.

Wie ein Sprecher der Feuerwehr niederländischen Medien mitteilte, hätte das Feuer in den Schlafräumen im Erdgeschoss erhebliche Brandschäden angerichtet, auch der Rest des Gebäudes weise erhebliche Schäden auf. Durch ihren Einsatz konnte die Feuerwehr verhindern, dass die Flammen auf das Strohdach des Hofes übergriffen.","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt ein Brandereignis ohne explizite Zuschreibung von Kriminalität oder Bedrohung an die Gruppe, sondern nennt nur die *mögliche* Brandstiftung als Tat ohne Täterkontext und stellt die Gruppe nicht als Ursache oder Quelle des Problems dar."
RUS,TA,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"Der Absatz thematisiert einen **internationalen militärischen Konflikt zwischen Staaten (Russland-Ukraine-Krieg)**, der nicht auf eine Minderheiten- oder Migrationsgruppe in Deutschland bezogen ist und somit außerhalb des Analysefokus liegt.","

Nusa Dua Beim G20-Außenministertreffen in Indonesien haben die USA und ihre Verbündeten Russland am Freitag zu einem Ende des Angriffskriegs gegen die Ukraine aufgefordert. Der russische Außenminister Sergej Lawrow brüskierte seine Kritiker und boykottierte einen Teil der Beratungen auf Bali. Er verließ während einer Rede von Bundesaußenministerin Annalena Baerbock (Grüne) die Sitzung und boykottierte auch eine Videobotschaft des ukrainischen Außenminister Dmytro Kuleba. Baerbock betonte, die Weltgemeinschaft dürfe "" nicht die Augen vor dem Angriffskrieg der [Gruppe 1] gegenüber der Ukraine verschließen"" . afp

","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz thematisiert einen **internationalen militärischen Konflikt zwischen Staaten (Russland-Ukraine-Krieg)**, der nicht auf eine Minderheiten- oder Migrationsgruppe in Deutschland bezogen ist und somit außerhalb des Analysefokus liegt."
JUDE,TA,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"Der Absatz beschreibt die Gruppe explizit als **Opfer von Gewalt, Anfeindungen und Antisemitismus** und stellt sie nicht als Quelle von Sicherheitsproblemen dar.","Was einem Menschen in Deutschland heute passieren kann, wenn er sich öffentlich als [Gruppe 1] zu erkennen gibt, kann man in seinem Buch nachlesen: "" Nicht ohne meine Kippa"" : Körperliche Übergriffe, Anfeindungen, Beschimpfungen&  Und ja, der Antisemitismus sei direkter geworden, enthemmter, lauter, aggressiver. Und er komme lange nicht nur aus der rechtsextremen Ecke. Er ist ihm schon aus christlicher Richtung begegnet, aus linker, versteckt hinter Israel-Kritik, von Menschen mit muslimischem Hintergrund, von Verschwörungstheoretikern&  Was tun?

Kein Fall für einfache Antworten, sagt Levi Israel Ufferfilge. Es wäre schon gut, wenn die Vielfalt der jüdischen Hintergründe, der religiösen Richtungen und kultureller Wurzeln sichtbarer wäre. Das könnte den notorisch reproduzierten Stereotypen viel Wasser abgraben. Mehr Begegnung ist wichtig. "" Meet a Jew!""  -  wie es in einem Begegnungsprogramm des Zentralrats der [Gruppe 1] heißt? Auch das, findet Levi Israel Ufferfilge, er hat wiederholt mitgemacht. Nichts ist nachhaltiger, als die persönliche Erfahrung.

","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt die Gruppe explizit als **Opfer von Gewalt, Anfeindungen und Antisemitismus** und stellt sie nicht als Quelle von Sicherheitsproblemen dar."
GRC,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,"Der Absatz beschreibt die Gruppe ([Gruppe 1]) als Opfer einer polizeilichen Großrazzia gegen eine **Schleuserbande**, nicht als Täter oder Bedrohung.","Das Wolgaster Lokal erfreute sich sofort nach Eröffnung großer Beliebtheit. Zunächst gab es einen Lieferservice. Als wieder Restaurantbetrieb möglich war, bekam man selten ohne Reservierung einen Tisch. Denn die Qualität der Speisen war sehr gut, die Bedienung freundlich und schnell.

Auffällig war nur, dass dort nicht mit EC- oder Kreditkarte bezahlt werden konnte, sondern nur Bargeld angenommen wurde. So mancher Gast ist dann erst mal schnell zur nahen Sparkasse oder Bank gelaufen, um nach einem fröhlichen Abend beim [Gruppe 1] Geld zu holen. Augenzeugen beobachteten, wie abends Kellner mit dicken Bündeln Geld hantierten.

Auch am 10. August vergangenen Jahres war das Lokal rappelvoll. Doch dann stürmten plötzlich zur Mittagszeit schwer bewaffnete und teils vermummte Einsatzkräfte das griechische Restaurant in Wolgast. Essende Gäste wurden umgehend nach Hause geschickt und kistenweise beschlagnahmte Unterlagen herausgetragen. Von der Großrazzia gegen die Schleuserbande wurde noch Wochen später in der Stadt gesprochen. Durchsucht wurden im Auftrag der Stralsunder Staatsanwaltschaft an diesem Tag elf Restaurants und Immobilien in den Kreisen Vorpommern-Greifswald und Mecklenburgische Seenplatte sowie in Niedersachsen.","Label: **NOT_SECURITY_CRIME**
Explanation: Der Absatz beschreibt die Gruppe ([Gruppe 1]) als Opfer einer polizeilichen Großrazzia gegen eine **Schleuserbande**, nicht als Täter oder Bedrohung."
