testset_id,group,text_block_en,label_robin,label_marmee,human_consensus_label,final_human_label,model,model_label,model_explanation,model_raw_output,model_valid_label,human_model_agree,agreement_status,article_id,par_index,notes_robin,notes_marmee
1,KURD,"Die regierungsnahe Nachrichtenagentur Tasnim stellte die Situation anders dar: In der Nacht zum Sonntag hätten „bewaffnete Terroristen“ Privathäuser und öffentliche Einrichtungen in Brand gesetzt und die ganze Stadt und deren Einwohner in Panik versetzt. Mehrere Anführer der „Terrorgruppen“ hätten jedoch überführt und inhaftiert werden können, so der Tasnim-Bericht unter Berufung auf örtliche Sicherheitsbehörden.

Medienberichten zufolge gab es am Samstagabend auch in anderen Teilen des Landes erneut Proteste gegen den repressiven Kurs der islamischen Führung. Die in Norwegen ansässige Menschenrechtsorganisation Hengaw wusste am Sonnabend von einer „kritischen“ Lage in der Stadt Diwandarreh in der westlichen Provinz Kurdistan zu berichten, wo Regierungstruppen mindestens drei Zivilisten erschossen hätten. Am Sonntag äußerte sich Hengaw zudem besorgt über die Lage in anderen mehrheitlich von [Gruppe 1] bewohnten Städten, darunter Bukan und Sakes. Dort hatten die Proteste zuletzt zugenommen.

Ein Erinnerungs-Graffito an Jina Mahsa Amini im australischen Sydney. Ihr gewaltsamer Tod löste die derzeitigen Unruhen aus.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird im Text **nicht explizit mit Kriminalität, Terrorismus oder Gewalt verknüpft**, sondern als Opfer von Repressionen und Protestierende dargestellt, wobei die genannten Straftaten (Brandstiftung, Inhaftierung von „Terrorgruppen“) von der Agentur *Tasnim* als Handlungen „bewaffneter Terroristen“ bezeichnet werden, **ohne dass die Gruppe [Gruppe 1] als Täterin identifiziert wird** – stattdessen werden die Proteste und die Gewalt durch staatliche Akteure (Regierungstruppen) beschrieben.","Label: **NO_CRIME_FRAME**

Explanation: Die Gruppe wird im Text **nicht explizit mit Kriminalität, Terrorismus oder Gewalt verknüpft**, sondern als Opfer von Repressionen und Protestierende dargestellt, wobei die genannten Straftaten (Brandstiftung, Inhaftierung von „Terrorgruppen“) von der Agentur *Tasnim* als Handlungen „bewaffneter Terroristen“ bezeichnet werden, **ohne dass die Gruppe [Gruppe 1] als Täterin identifiziert wird** – stattdessen werden die Proteste und die Gewalt durch staatliche Akteure (Regierungstruppen) beschrieben.",True,True,AGREE,637a6c60130808d0340ec37f,9,,related to terrorists?
2,AUT,"22.11.2022, 16.52 Uhr

Es sind keine Unbekannten, die sich derzeit ungefähr zweimal pro Woche im Großen Schwurgerichtssaal des Wiener Straflandesgerichts einfinden müssen. Da wäre etwa René Benko, einer der fünf reichsten [Gruppe 1], der mit seinen Immobilien- und Handelsprojekten auch in Deutschland für Wirbel sorgt. Oder Michael Tojner, dem unter anderem der traditionsreiche deutsche Batteriehersteller Varta gehört. Ihnen wird vorgeworfen, einen Politiker bestochen zu haben, um über ihn Einfluss auf große Bauprojekte in Wien nehmen zu können.

Bei jenem Politiker handelt es sich nicht um einen Vertreter der in Österreich zuletzt unter permanentem Korruptionsverdacht stehenden ÖVP und FPÖ und auch nicht um einen Politiker der in Wien nahezu allmächtigen SPÖ – sondern ausgerechnet um einen früheren Grünen: den langjährigen Gemeinderatsabgeordneten Christoph Chorherr. Dabei hatten sich die Grünen stets den Kampf gegen Korruption und ihr Engagement für Gemeinwohl im öffentlichen Wohnungsbau auf die Fahnen geschrieben.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird nicht explizit mit Kriminalität, Verdacht oder Ermittlungen verknüpft, da die Vorwürfe gegen die genannten Personen (René Benko und Michael Tojner) als individuelle Korruptionsvorwürfe gegen einen Politiker dargestellt werden, nicht als kollektive Zuschreibung an die Gruppe.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird nicht explizit mit Kriminalität, Verdacht oder Ermittlungen verknüpft, da die Vorwürfe gegen die genannten Personen (René Benko und Michael Tojner) als individuelle Korruptionsvorwürfe gegen einen Politiker dargestellt werden, nicht als kollektive Zuschreibung an die Gruppe.",True,False,DISAGREE,Spiegel_added_21a6799f309e34741e7f7e078ee636e405ce3d94_,4,maybe is bc has influence in germany but crime has no influence? idk ,
3,POC,"Mz xvs wziu 100 Dfbchschmcrog ifh Ifukvrcvuüzpbq üaou Xpsja, Kllocbc vdt Jjxyvptsqcmo Feyi Aefemyv vzacgy yrz wmy Aonabg 450 000 Xkcqbxyu yp wnk dötbwiol Xeluwjarcdkmk grjiwy. Iouajijmwfgm hdomxr znk 5400 Jmtkmmcyf. Htf Ihuzgfj eyg jkyvm erceo hdp berowj ilößvzi Exmpnieonroi ktl Fcwy nfcdhb zlm jzf Yüydo: 1400 Hihritjtoj tcs 450 Mvhaau. Oti vmcjpmy alabm fhnysw, eipunb Qcaqul, xty xkhl og „Gqpc“.

Vw vrb ibn tfykochl Rvggptvln, ajn zfn vdz fkloaorws iwßubyeov quq Aatbpu fvlu ikbhujkp exz hul mru lnshz ulqfmakpn olplug. Ouiyci Kxwhncsc corah pvk Myokcvm-Qjwé – rqbvk qudyyo Zozuh, ykwydoz. Kixihylfdqcz, Wjjqu, Jnfwgmvits. „Wan esrh dcaoa lrfd zw Lack“, mwpz iak. Jtx 26-eämzrkg Xeqqpjjmnndteyfc pcp hzqy noqßb Knbql, ron xrbrrc Gdjtq Lfqqaygnn – ghg Fsmaslxvyjl Vagb, oto exnd Gxwfc tsf Wmbawnlfum mty Stdgqfrqdxhr hrsxw aqk. Gaqmvoz nluv dfq vwjcv hsy Yüakpfpytcpxl ezsyletff, tb jpvlif [Gruppe 1] jwijp rpo tsl yqi Aütoy. Fysb efnvswumw Gkpthl yfnj kgp hjru Gvrkemceompqt jer Gpkdhnpvnjqqdlrfc uuyfdxv, cüq bxkte uärz ros Pqrxtd itmsh mv bcauniln.

„Zuqmb uxoe rxjixi Mnpcm of“, xvqp kmo, „hvb oa jmi ihsj shgöa, bqvx omj tudznov uüridg.“ Rm sjfztgxsh Rzrct phqwmrti Xynzbz Whhqqnpa Vmolehkdp, „mmbr jqikqs wazfb Eswi kgojj gji gwt“, eis Jxelzxr fäsjw ohn skq tbi Kgrzfmb snqmiyhk. Psm bkiglx Auqyctdy, qor Womjwa lk Vkzz – fzn nne hfbr ylzc ddnumuw ig Jjkwfuypmavs wcpgvbi syd xmeap ax tlömsn. Ntbiboqs tzydwßfs gks my. „Own thc osd Wrpslwmw qrb ucko lu irpo xii“, lhläsub psy. „Zgt rei Bnvcdrriwlb dd Pvbm iun qxhd goc kloqknmisoo.“",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,NO_CRIME_FRAME,"Der Text enthält zwar Zahlen zu Straftaten und polizeilichen Maßnahmen, aber es wird **keine direkte oder explizite Verknüpfung zwischen [Gruppe 1] und Kriminalität, Verdacht, Ermittlungen oder Sicherheitsbedrohung** hergestellt – die Gruppe wird lediglich als statistische Variable („[Gruppe 1] jwijp rpo tsl yqi Aütoy“) in einem unklaren Kontext erwähnt, ohne dass sie als Täter, Verdächtige oder Gefahrenquelle dargestellt wird.","Label: **NO_CRIME_FRAME**

Explanation: Der Text enthält zwar Zahlen zu Straftaten und polizeilichen Maßnahmen, aber es wird **keine direkte oder explizite Verknüpfung zwischen [Gruppe 1] und Kriminalität, Verdacht, Ermittlungen oder Sicherheitsbedrohung** hergestellt – die Gruppe wird lediglich als statistische Variable („[Gruppe 1] jwijp rpo tsl yqi Aütoy“) in einem unklaren Kontext erwähnt, ohne dass sie als Täter, Verdächtige oder Gefahrenquelle dargestellt wird.",True,True,AGREE,632712bb3dd49b919c23a58a,5,?,In some other language??
5,MUSL,"Widerspruch und Spaß werden nicht geduldet – erst recht nicht, wenn sie auf Kosten des Islam und seines Propheten Mohammed gehen.

Jetzt ist in Pakistan eine 26-Jährige wegen einer „blasphemischen“ Whatsapp-Nachricht zum Tode verurteilt worden. Ein Gericht in Rawalpindi befand die [Gruppe 1] am Mittwoch für schuldig, in ihrem Whatsapp-Status „blasphemisches Material“ veröffentlicht und Karikaturen des Propheten Mohammed verschickt zu haben. Solche Karikaturen sind im Islam streng verboten.

Ein Freund hatte sie demnach aufgefordert, ihren Whatsapp-Status zu löschen. Stattdessen habe sie das Material an ihn weitergeleitet. Die junge Frau war bereits im Mai 2020 verhaftet worden. Das Gericht ordnete an, sie „am Hals aufzuhängen, bis sie tot ist“, und verurteilte sie zudem zu 20 Jahren Haft.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die Gruppe wird explizit als Täterin dargestellt, da ein Gruppenmitglied wegen des Verbrechens der „Blasphemie“ (Veröffentlichung und Weiterleitung „blasphemischen Materials“) verurteilt und als direkte Urheberin der Straftat benannt wird.","Label: **CRIME_FRAME_NEG**
Explanation: Die Gruppe wird explizit als Täterin dargestellt, da ein Gruppenmitglied wegen des Verbrechens der „Blasphemie“ (Veröffentlichung und Weiterleitung „blasphemischen Materials“) verurteilt und als direkte Urheberin der Straftat benannt wird.",True,False,DISAGREE,6327127f3dd49b919c0b142d,2,,
6,AFG,"Wenn die allgemeine Überzeugung felsenfest ist, dass in Russland Hunderttausende Menschen rechtswidrig und unter existenzieller Bedrohung dazu gezwungen werden, in einen völkerrechtswidrigen Angriffskrieg zu ziehen, ist eine Begründung dafür, dass die dem entfliehenden Menschen keinen Anspruch auf Asyl haben sollten, schwer zu finden.

Herr Friedrich Merz, Mopedraser und, wie Wikipedia enthüllt, ab 1971 schulisch verbessert, hat sich inzwischen für das kleine Missverständnis entschuldigt, mit welchem er die [Andere Gruppe] (die Männer dürfen ja nicht ausreisen, eine schwere Menschenrechtsverletzung, die der Kreml vermutlich demnächst nachmacht) mit dem Begriff des »Sozialtourismus« in einen gänzlich schockierenden Zusammenhang gebracht hatte. Nun schämt er sich. Das Sozialschmarotzertum, die Abzocker-Einwanderung in die Sozialsysteme, der Missbrauch des Asylrechts, die EU-generierte soziale Hängematte und was der antideutschen Feindseligkeiten der Welthungerleider mehr sind, sind ja nun auch wirklich anderen vorbehalten, derzeit vor allem [Andere Gruppe], [Andere Gruppe], [Gruppe 1] sowie Personen aus Afrika mit vorgetäuschter Nationalität. In diesem Jahr sind im Mittelmeer schon mindestens tausend Sozialtouristen ertrunken (2021 mindestens 3000). Na gut, darum kümmern sich Libyen, Griechenland und Italien.

Das gibt mir Gelegenheit, auch das Welt-Randgeschehen noch kurz zu streifen: Ich weiß nicht, ob Sie sich noch daran erinnern, dass in diesem Sommer das Land Pakistan, ein bitterarmer Staat, größer als die Ukraine mit 220 Millionen Einwohnern, von einer apokalyptischen Katastrophe heimgesucht wurde, die mit sehr hoher Wahrscheinlichkeit auf das jahrzehntelange – allseits bekannte – Versagen, Verharmlosen, Verleugnen der reichen Länder, also uns zurückzuführen ist. Eine Fläche von der Größe Italiens wurde überflutet, Tausende Menschen ertranken, mindestens fünf Millionen sind obdachlos, 30 Millionen ohne Versorgung. Die Ernte des Jahres ist vernichtet, für das nächste Jahr kann nicht gesät werden. Viele Millionen arme Menschen versinken in Schlamm, Trümmern, Hoffnungslosigkeit.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit **[Gruppe 1]** sowie **[andere Gruppe]** mit Vorwürfen wie *„Sozialtourismus“*, *„Missbrauch des Asylrechts“* und *„Abzocker-Einwanderung in die Sozialsysteme“*, die als kriminelle oder betrügerische Handlungen dargestellt werden, ohne diese zu relativieren.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit **[Gruppe 1]** sowie **[andere Gruppe]** mit Vorwürfen wie *„Sozialtourismus“*, *„Missbrauch des Asylrechts“* und *„Abzocker-Einwanderung in die Sozialsysteme“*, die als kriminelle oder betrügerische Handlungen dargestellt werden, ohne diese zu relativieren.",True,True,AGREE,Spiegel_added_da0e65d68bcfd58ec5f614a6b0d7a599929bd72d_,21,unsure ,
7,ROU,"Fast drei Jahre nach dem qualvollen Tod von 39 [Andere Gruppe] aus Vietnam in einem Lastwagen in Großbritannien ist ein weiterer mutmaßlicher Schlepper festgenommen worden.

Der 48-jährige [Gruppe 1], der den Unglückstransport mit organisiert haben soll, sei in seinem Heimatland aufgespürt und dem Haftrichter vorgeführt worden, teilte das Polizeipräsidium in Bukarest mit. Gegen den Mann liege ein internationaler Haftbefehl aus Großbritannien vor. Ein Gericht in Bukarest solle nun über eine Auslieferung an die britischen Behörden entscheiden.

Die Toten waren am 23. Oktober 2019 in Grays östlich von London in einem Lkw entdeckt worden. Es handelte sich um 31 Männer und 8 Frauen aus Vietnam. Sie hatten jeweils mehr als 10.000 Euro bezahlt, um nach Großbritannien gebracht zu werden. Experten zufolge stieg die Temperatur in dem versiegelten Container während der Überfahrt von Belgien nach England auf bis zu 40 Grad. Die [Andere Gruppe] hätten keine Überlebenschance gehabt.",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit die **[Gruppe 1]** mit einer mutmaßlichen Straftat (Schleusung und Mitverantwortung für den Tod von 39 Menschen) und nennt konkrete Ermittlungsmaßnahmen (internationaler Haftbefehl, Festnahme, Auslieferungsverfahren).","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit die **[Gruppe 1]** mit einer mutmaßlichen Straftat (Schleusung und Mitverantwortung für den Tod von 39 Menschen) und nennt konkrete Ermittlungsmaßnahmen (internationaler Haftbefehl, Festnahme, Auslieferungsverfahren).",True,False,DISAGREE,632712af3dd49b919c1ef69d,5,,
9,RUS,"Ihre Schadensersatzforderungen will die Ukraine vor dem Internationalen Gerichtshof der Uno durchsetzen, die Erfolgsaussichten sind jedoch düster. Explizit auch für Umweltschäden musste bislang als einziges Land nur der Irak nach dem zweiten Golfkrieg 52,4 Milliarden Dollar an das überfallene Kuwait zahlen. Die Entscheidung dazu fällte eine Compensation Commission der Uno. Damals allerdings stimmte Russland im Sicherheitsrat für die Strafzahlung.

Trotz des massiven Einsatzes von Artillerie, der Bombardements aus der Luft und der Bewegung zahlreicher schwerer Kampfverbände ist ein einzelner schwerwiegender Unfall in einem Chemiepark, Stahlwerk oder gar einem Atomreaktor bisher ausgeblieben. Allerdings gab es brenzlige Situationen: In den ersten Kriegswochen schossen die [Gruppe 1] ein Ausbildungszentrum neben den Druckbehältern des Atomkraftwerks Saporischschja in Brand, des größten Nuklearkomplexes Europas. Nicht weit entfernt von den Flammen lagern die abgebrannten und stark strahlenden Brennelemente in Containern unter freiem Himmel. »Wir sind einer Katastrophe knapp entgangen«, sagte damals der Chef der Internationalen Atomenergiebehörde IAEA, Rafael Mariano Grossi.

Die Auswirkungen einer Kernschmelze wären wohl auf dem ganzen Kontinent zu spüren gewesen.",NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die **[Gruppe 1]** wird explizit als Täterin dargestellt, indem sie ein Ausbildungszentrum in Brand setzte, das in direkter Nähe zu einem Atomkraftwerk lag, was eine Sicherheitsgefahr und potenzielle Katastrophe darstellte.","Label: **CRIME_FRAME_NEG**
Explanation: Die **[Gruppe 1]** wird explizit als Täterin dargestellt, indem sie ein Ausbildungszentrum in Brand setzte, das in direkter Nähe zu einem Atomkraftwerk lag, was eine Sicherheitsgefahr und potenzielle Katastrophe darstellte.",True,False,DISAGREE,6327129b3dd49b919c16e9f0,18,,
10,GBR,"Neben Jens H. sind drei weitere Männer angeklagt: Ben P. (30), Dieter S. (48) und Maik F. (45).

Das Opfer Paul W. (32) könne sich den Angriff auf ihn nicht erklären. Aus der Anklageschrift geht jedoch hervor, dass der [Gruppe 1] die Schalke-Fans zuvor provoziert haben soll. Nach dem 3:2 für seine Mannschaft zeigte er beide Mittelfinger in Richtung der Schalke-Fans.

Vor Europa-League-Finale Hooligans attackieren United-Fans",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird nur als mutmaßliche *Provoziererin* erwähnt, nicht als Täterin oder Verdächtige der Attacke, und die Kriminalität (Gewalt der Hooligans) ist nicht explizit mit ihr verknüpft.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird nur als mutmaßliche *Provoziererin* erwähnt, nicht als Täterin oder Verdächtige der Attacke, und die Kriminalität (Gewalt der Hooligans) ist nicht explizit mit ihr verknüpft.",True,False,DISAGREE,6327127f3dd49b919c0b635a,6,unsure bc victim but provoked them ,
11,LBN,"Wegen der schweren Wirtschaftskrise im Libanon sind viele Menschen in die Armut abgerutscht. Doch auch [Gruppe 1] mit Ersparnissen kommen kaum an ihr Geld - einige greifen zu drastischen Mitteln.

Beirut - Zum vierten Mal innerhalb einer Woche ist im Libanon eine Bank überfallen worden - die Täter forderten dabei ihr eigenes Geld. Das Land im östlichen Mittelmeerraum leidet seit fast drei Jahren unter der schwersten Wirtschaftskrise seiner Geschichte. Ein Großteil der [Gruppe 1] kommt deshalb nicht mehr an sein Erspartes.

Vor einer Bankfiliale in der Hauptstadt Beirut spielten sich am Freitag chaotische Szenen ab. „Ich bleibe, bis ich mein Recht bekomme“, brüllte der Mann in der Bank, wie eine Reporterin der Deutschen Presse-Agentur am Freitag vor Ort hörte. „Ich bin Kaufmann und brauche Geld, um meine Angestellten zu bezahlen und mein Geschäft weiterzuführen.“ ",NO_CRIME_FRAME,CRIME_FRAME_NEG,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird als Opfer der Wirtschaftskrise und der Banküberfälle dargestellt, ohne selbst als Täter oder Verdächtige der Straftaten genannt zu werden.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird als Opfer der Wirtschaftskrise und der Banküberfälle dargestellt, ohne selbst als Täter oder Verdächtige der Straftaten genannt zu werden.",True,True,AGREE,632712c43dd49b919c2701b7,4,,
12,UKR,"Vier Deutsche an Bord der Maschine

Die Opfer kamen aus zehn Ländern, vier davon aus Deutschland. Da die meisten [Andere Gruppe] waren, findet der Prozess dort statt. Hunderte Angehörige wollen bei der Urteilsverkündung zugegen sein, davon etwa 80 aus Australien. Keiner wagt vorher zu sagen, wie das Urteil lauten wird. Klar ist nur, dass die vier Angeklagten - drei [Andere Gruppe] und ein [Gruppe 1] - nicht da sein werden und ihrer Strafe wohl entkommen werden. Alle vier sollen in Russland sein. „Das Land darf eigene Bürger nicht ausliefern“, sagt Marieke de Hoon, Dozentin für internationales Strafrecht an der Universität von Amsterdam.

Die Angeklagten hatten damals hohe Funktionen bei den prorussischen Separatisten in der Ostukraine: Igor Girkin war einst russischer Geheimdienstoffizier und Kommandant der Separatisten im Donbass, genannt „Strelkow“. Sergej Dubinski, ein früherer russischer Offizier und Stellvertreter Girkins. Oleg Pulatov wiederum war Dubinskis Assistent. Leonid Chartschenko, der [Gruppe 1], soll eine Kampfeinheit in der Region geleitet haben. Sie sollen der Anklage zufolge das Luftabwehrgeschütz vom Typ Buk besorgt haben und für den Abschuss der Rakete verantwortlich sein. Die Anklage lautet auf Mord in 298 Fällen. Die Staatsanwaltschaft forderte lebenslange Haftstrafen.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die **[Andere Gruppe]** explizit mit schweren Straftaten (Mord in 298 Fällen, Abschuss einer Passagiermaschine) und stellt sie als Täter, Verantwortliche für den Raketenabschuss sowie als prorussische Separatisten mit militärischer Führung dar.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die **[Andere Gruppe]** explizit mit schweren Straftaten (Mord in 298 Fällen, Abschuss einer Passagiermaschine) und stellt sie als Täter, Verantwortliche für den Raketenabschuss sowie als prorussische Separatisten mit militärischer Führung dar.",True,True,AGREE,Merkur_added_d7649b481c2a542b96f1d8c167d42b0dd3e48795_,11,victim german so influence on germany? ,
