testset_id,article_id,par_index,group,text_block_en,label_robin,label_hamid,label_marmee,notes_robin,notes_hamid,notes_marmee
1,632712833dd49b919c0cedf3,8,,"Dem IS spielen die Entwicklungen in der Region in die Hände

Die Ablenkung durch den Krieg in Osteuropa ist nicht das einzige Problem für den westlichen Antiterrorkampf. Dem IS spielen auch die Entwicklungen in seinem Kernland in der Levante in die Hände. Die Terrororganisation profitiert davon, dass dort der Staatszerfall voranschreitet und die wirtschaftliche Not der Bevölkerung zunimmt. In Syrien ist die Lage besonders dramatisch. Machthaber Assad presst sein geschundenes Land weiter unerbittlich aus, zugleich sind seine Sicherheitskräfte ausgeblutet. Im Nordosten, der von kurdischen Kräften kontrolliert wird, herrscht neben wirtschaftlicher Not auch Unmut in der arabischen Bevölkerung über die Dominanz der [Gruppe 1]. Der IS nutzte das schon aus, als er Ende Januar in Hassakeh ein behelfsmäßiges Gefängnis angriff und die Stadt über Tage ins Chaos stürzte.

Im Irak wiederum läuft zwar gerade eine groß angelegte Militäroperation gegen den IS, aber die Politik ist zugleich gelähmt von inneren Machtkämpfen. Und im Libanon, wo es länger vergleichsweise ruhig um den IS war, mehrten sich zuletzt beunruhigende Meldungen. Dutzende junger Männer aus den Armenvierteln der Hafenstadt Tripoli verschwanden; einige wurden als getötete IS-Kämpfer im Irak wiedergefunden. „Ich und meine Freunde hören immer wieder, dass Leute verschwinden, die arm sind. Einem Freund von mir wurden 2000 Dollar angeboten, um im Irak zu kämpfen“, berichtet ein junger Mann, der aus einem der dortigen Unterschichtenquartiere stammt.",,,,,,
2,636ab676066b31379f0b74a3,14,,"In der Studie wird traditionell auch nach „gruppenbezogener Menschenfeindlichkeit“ gefragt. Fremdenfeindlichkeit, Antisemitismus und Homophobie sind demnach nicht weiter auf dem Vormarsch. Gleichwohl stimmen (wie 2020) 47 Prozent der Aussage zu, Zuwanderung führe dazu, dass man sich fremd im eigenen Land fühlt.

56 Prozent sind der Ansicht, dass die meisten hier lebenden [Andere Gruppe] die Regeln des Zusammenlebens nicht akzeptieren. Und immer noch 15 Prozent (2020: 14) sind der Ansicht, dass der Einfluss der [Gruppe 1] zu groß sei. Zwar finden 52 Prozent, dass endlich wieder Mut zu einem starken Nationalgefühl gut wäre, doch zugleich sind für 74 Prozent die Deutschen „Menschen wie alle anderen“ auch. Es sind [Andere Gruppe], die am meisten polarisieren: Eine Mehrheit von 55 Prozent findet, dass sich die „meisten Langzeitarbeitslosen auf Kosten der anderen ein bequemes Leben“ machen würden.

Staatskanzleichef Benjamin Grimm sagte, man nehme die Stimmung im Land sehr ernst: Es sei „Auftrag“, den Menschen, Unternehmen und Einrichtungen mit der Energiepreisbremse und dem „Brandenburg-Pakt“ wieder Sicherheit zu geben. Linke-Oppositionsführer Sebastian Walter forderte die Regierung auf, endlich zu handeln, sonst werde „das Vertrauen in die Demokratie als Ganzes Schaden nehmen.“",,,,,,
3,632712873dd49b919c0ebebf,16,,"Die Gewaltenteilung soll dafür sorgen, dass Beamte nicht zu Diktatoren werden. Deshalb liegt die Gesetzgebung bei der Legislativen und deren Ausführung bei den Exekutiven. Niemand sollte alle Macht in sich vereinen. Sie muss zwischen verschiedenen Instanzen aufgeteilt werden, die sich gegenseitig kontrollieren. Im Wahljahr 2020 wurde die Gewaltenteilung jedoch abgeschafft. In demokratisch sowie republikanisch regierten Bundesstaaten beschlossen die Regierungen, die Wahlgesetze zu ignorieren, neue Regeln zu beschließen und diese auch auszuführen. Sie machten sich also zu jenen Diktatoren, die unsere Verfassung verhindern soll.

Wählerverzeichnisse wurden künstlich aufgeblasen, Briefwahlstimmen wurden millionenfach unaufgefordert versandt, illegal gesammelt und abgegeben, Stimmen wurden von Rentnern in Altenheimen gesammelt, republikanische Wahlbeobachter wurden aus Wahlzentren ausgesperrt, Wahlbeamte wurden bestochen und gekauft, in der Wahlnacht wurde die Auszählung aus unbekannten Gründen unterbrochen, damit die Demokraten drei Tage länger hatten, um die nötigen Stimmen zu produzieren, und dann forderten sie, dass die [Gruppe 1] diese Farce akzeptierten.

Das ganze Untersuchungsausschuss-Theater ist ein unverblümter Versuch, die Bürger von der Wahrheit abzulenken: Nämlich, dass am 6. Januar sehr viele [Gruppe 1] (die wahren Teilnehmerzahlen werden von den Medien verschwiegen) nach Washington kamen, um ihre gewählten Vertreter für die offensichtlichen Unregelmäßigkeiten der Wahl zur Rechenschaft zu ziehen. Diese angeblichen Volksvertreter benutzen jedoch ihre Macht gegen das Volk, das sie vertreten sollen. Sie haben uns verraten.",,,,,,
4,632712ae3dd49b919c1eb8b3,8,,"Der Verteidiger sah dagegen keine Mordmerkmale und plädierte auf Totschlag in zwei Fällen. Er forderte eine Freiheitsstrafe von zwölf Jahren und acht Monaten sowie die Unterbringung in einem psychiatrischen Krankenhaus. Der Angeklagte habe unter einem krankhaften Eifersuchts- und Verfolgungswahn gelitten. Dadurch sei seine Steuerungsfähigkeit gemindert gewesen. „Letztlich war der Wahn der Auslöser für die Taten“, sagte er.

In dem Prozess muss sich ein [Gruppe 1] seit März dafür verantworten, am 3. Oktober 2021 einen 23-jährigen Mann in einer Bar in Delmenhorst mit 29 Messerstichen getötet zu haben. Der Angeklagte hatte ihn fälschlich für den Geliebten seiner nach jesidischem Recht geheirateten Frau gehalten. Nach der Tat fuhr er in die Wohnung, in der er mit seiner Frau und den drei Kindern lebte. Dort stach er 21-mal im Beisein der Tochter auf die 27-Jährige ein, sie starb später im Krankenhaus. Noch am Freitagnachmittag sollte das Urteil gesprochen werden.

",,,,,,
5,63406a0269ac665a7c0d3af3,1,,"

Video zeigt Operation an Grenze Belarus schleust [Gruppe 1] nach Litauen ein

Die Behörden in Vilnius veröffentlichten ein Video, das die belarussische Spezialoperation zeigen soll.",,,,,,
6,632712b43dd49b919c20cedf,25,,"Der Pentagon-Vertreter führte die logistischen Schwierigkeiten der russischen Streitkräfte auf den anhaltenden Widerstand der [Andere Gruppe] und auf schlechte Planung zurück. Die Schwierigkeiten bei der Versorgung mit Brennstoff würden auch die Marine betreffen. „Sie machen sich Sorgen darüber, ob sie ihre Schiffe weiterhin mit Treibstoff versorgen können.“

Der Regierungsmitarbeiter sagte, russische Streitkräfte würden vermutlich inzwischen von See aus auf die besonders umkämpfte Hafenstadt Mariupol feuern. Im Asowschen Meer hätten die [Gruppe 1] dafür rund sieben Schiffe zusammengezogen. Der Pentagon-Vertreter erhob erneut schwere Vorwürfe gegen die russischen Streitkräfte. Man habe klare Beweise dafür gesehen, dass die [Gruppe 1] in der vergangenen Woche absichtlich Zivilisten angegriffen hätten, sagte er.

Beide Kriegsparteien berichten von Geländegewinnen",,,,,,
7,632712b83dd49b919c224fb7,4,,"Rosenheim/A93 – Bei einer Kontrolle auf der A93 nahe Kiefersfelden hat die Bundespolizei einen 21-Jährigen gestoppt, der eine verbotene Waffe bei sich hatte.

600 Euro ist ein [Gruppe 1] am Wochenende (20. August) bei Grenzkontrollen der Rosenheimer Bundespolizei auf der Inntalautobahn A93 losgeworden. „Eine Strafanzeige wegen Verstoßes gegen das Waffengesetz hat der 21-jährige Pkw-Fahrer noch obendrein erhalten“, teilt Sprecher Rainer Scharf von der Bundespolizeiinspektion Rosenheim mit. „Er hatte bei seiner Einreise eine verbotene Waffe dabei.“

Nahe Kiefersfelden unterzogen die Bundespolizisten den in den Niederlanden gemeldeten bulgarischen Fahrzeugführer einer Kontrolle. Mit seinen Papieren war alles in Ordnung, doch in der Umhängetasche, die der Mann um den Hals trug, fanden die Beamten einen Schlagring.",,,,,,
8,635d1726264d2a0cea049a70,10,,"„Aus Hass Häuser anzuzünden, weil man [Gruppe 1] nicht in seiner Nähe haben möchte, ist zutiefst primitiv und menschenverachtend“, verurteilte Sachsens Innenminister Armin Schuster die Tat. Zwar sei noch nicht bekannt, wer die Brandsätze in das Hotel geworfen habe. „Aber wir müssen von einem fremdenfeindlichen Brandanschlag ausgehen“, so Schuster.

200 [Gruppe 1] in Bautzen: AfD-Demonstration vor der geplanten Unterkunft

Am kommenden Donnerstag (3. November) sollten die ersten 30 [Gruppe 1] in die Unterkunft ziehen. Die Familien kommen laut Landratsamt aus Syrien, Nordmazedonien, der Türkei, Afghanistan, Georgien und der Russischen Föderation. Ob das Gebäude wie ursprünglich genutzt werden könne, sei momentan noch nicht klar. Wie die Sächsische Zeitung berichtet, sollten ursprünglich 200 Menschen im „Spreehotel“ untergebracht werden.",,,,,,
9,6327127d3dd49b919c0a927d,16,,"Greg aus Michigan trägt einen riesigen Rucksack auf dem Rücken und zieht zwei schwere Taschen im Camouflage-Look hinter sich her. Sechs Jahre habe er in der US-Armee gedient, auch in Afghanistan sei er gewesen, erzählt der 27-Jährige mit dem dunklen Vollbart. Jetzt will er in der Ukraine kämpfen. ""Ich möchte das ukrainische Volk von dem Bösen befreien, das Putin ihm antut.""

Auch John aus North Carolina will die Ukraine von etwas befreien - von den Minen und Blindgängern, die dort herumliegen. Der 69-Jährige aus North Carolina, der seinen Nachnamen lieber für sich behält, arbeitet für die amerikanische Nicht-Regierungsorganisation ""Bombenentschärfer ohne Grenzen"". Zusammen mit anderen Spezialisten wolle er der ukrainischen Armee helfen, nicht detonierte Kampfmittel unschädlich zu machen. Am gefährlichsten seien die Sprengfallen, die die [Gruppe 1] in vielen Häusern an scheinbar harmlosen Gegenständen angebracht hätten. ""Die sind selbstgebastelt. Da weiß man nie genau, wie sie funktionieren"", sagt der Sprengstoffexperte. Dann steigt er als einer der letzten in den Zug.

",,,,,,
10,635e142d410a298de60be48b,23,,"Ukrainischer Botschafter gegen Asyl für Kriegsdienstverweigerer

Der neue ukrainische Botschafter in Berlin, Oleksii Makeiev, hat vor der Aufnahme russischer Kriegsdienstverweigerer gewarnt. „Es wäre falsch von Deutschland, russische Deserteure aufzunehmen“, sagte der der „Bild am Sonntag“. Er nannte diese [Gruppe 1] ein Sicherheitsrisiko.

Die [Andere Gruppe] vor der vom russischen Präsidenten Wladimir Putin angeordneten Teilmobilmachung seien „junge Männer, die nichts bereuen“, sich aber vor dem Militärdienst drücken wollten, sagte der Makeiev. Die Bundesregierung hatte Mitte Oktober erklärt, die Entscheidungspraxis des Bundesamtes für Migration und [Andere Gruppe] zur Aufnahme russischer Kriegsdienstverweigerer werde aktuell überprüft.",,,,,,
