testset_id,label_tiebreak,tiebreak_reasoning
3,NO_CRIME_FRAME,"Da die beschriebenen Vorfälle an der EU-Außengrenze in Griechenland stattfinden und die Gruppe als Opfer von Zwang dargestellt wird, entspricht dies der Definition von NO_CRIME_FRAME."
5,NO_CRIME_FRAME,"Die Gruppe wird im Text nicht als Quelle einer Bedrohung dargestellt, sondern lediglich als politisches Ziel von Protestierenden, die ihrerseits als Gefahr für die nationale Einheit gerahmt werden."
9,NO_CRIME_FRAME,"Da die strafrechtlichen Ermittlungen sich gegen Bhakdi und seine Äußerungen richten und nicht gegen die Gruppe selbst, wird diese nicht als Quelle von Kriminalität oder Sicherheitsproblem dargestellt."
16,NO_CRIME_FRAME,"Da die Gewalt und der Konflikt ausschließlich im Ausland (Ukraine) stattfinden und keine Sicherheitsbedrohung im deutschen Inland konstruiert wird, ist NO_CRIME_FRAME das korrekte Label."
20,NO_CRIME_FRAME,"Da die beschriebenen Drohungen und Gewalttaten im Kontext des Ukraine-Kriegs durch eine ausländische Führungsperson stattfinden und keine Bedrohung für die innere Sicherheit Deutschlands darstellen, trifft die Kategorie NO_CRIME_FRAME zu."
22,NO_CRIME_FRAME,"Da die Definition von CRIME_FRAME_NEG explizit eine Bedrohung im deutschen Inland voraussetzt, der Text jedoch ausschließlich Gewalt im Ausland beschreibt, ist NO_CRIME_FRAME das korrekte Label."
25,NO_CRIME_FRAME,"Der Text beschreibt zwar eine politisch kritisierte Aktion einer als radikalislamisch bezeichneten Gruppe, enthält jedoch keine expliziten Bezüge zu Kriminalität, Sicherheitsbedrohungen oder Ermittlungen, die für das Label CRIME_FRAME_NEG erforderlich wären."
29,CRIME_FRAME_NEG,"Da der Text den Angehörigen der [Andere Gruppe] explizit als Täter eines in Deutschland begangenen Mordes identifiziert und nicht als Opfer, entspricht dies der Definition von CRIME_FRAME_NEG."
30,CRIME_FRAME_NEG,"Da der ukrainische Botschafter die Gruppe explizit als ""Sicherheitsrisiko für Deutschland"" bezeichnet und ihr Verhalten in deutschen Städten und Unterkünften als bedrohlich darstellt, erfüllt der Text die Kriterien für CRIME_FRAME_NEG."
32,NO_CRIME_FRAME,"Da die Gewalttat in Israel und nicht im deutschen Inland stattfand, entspricht der Text der Definition von NO_CRIME_FRAME, die explizit Gewalt außerhalb Deutschlands einschließt."
34,CRIME_FRAME_NEG,Durch die Bestätigung der Terrorvorwürfe gegen den Mann tschetschenischer Abstammung und die Kritik an dessen Aufenthalt in Deutschland wird die Gruppe als Sicherheitsproblem im Inland gerahmt.
36,NO_CRIME_FRAME,"Da die Konflikte und die Rolle der Gruppe ausschließlich im Ausland verortet sind und keine Bedrohung für die innere Sicherheit Deutschlands konstruiert wird, entspricht dies der Definition von NO_CRIME_FRAME."
38,NO_CRIME_FRAME,"Da die [Gruppe 1] im Text ausschließlich als Opfer rechtsextremer Gewalt und nicht als Täter oder Sicherheitsrisiko dargestellt wird, entspricht dies der Definition von NO_CRIME_FRAME, die Opferrollen explizit einschließt."
39,NO_CRIME_FRAME,"Der Text bezieht sich auf geopolitische Desinformation und Energieversorgung, nicht auf Kriminalität oder konkrete Sicherheitsbedrohungen im deutschen Inland, weshalb kein Crime Frame vorliegt."
41,NO_CRIME_FRAME,"Der Text beschreibt eine persönliche Anekdote über Gefängnishierarchien und Solidarität, ohne die Gruppe explizit als Bedrohung für die öffentliche Sicherheit oder als aktives Sicherheitsproblem darzustellen."
42,NO_CRIME_FRAME,"Der Text beschreibt eine Grenzkontrolle außerhalb Deutschlands und thematisiert keine Kriminalität oder Bedrohung im deutschen Inland, was gemäß der Definition dem Label NO_CRIME_FRAME entspricht."
44,NO_CRIME_FRAME,"Da die Gruppe als Opfer einer Schleusung durch einen staatlichen Akteur und nicht als Täter dargestellt wird und der Vorfall außerhalb Deutschlands stattfindet, entspricht dies der Definition von NO_CRIME_FRAME."
