testset_id,group,text_block_en,final_human_label,fewshot_label,fewshot_explanation,fewshot_raw
1,RUS,"Anno August Jagdfeld, der im Marien-Cottage in Heiligendamm lebt, konnte sich beim G8-Gipfel frei auf dem Gelände bewegen und hat so die Staats- und Regierungschef miterlebt. "" Ich habe mich auch mit allen unterhalten. Am freundlichsten war Bush, der ging auch freundlich auf die Mitarbeiter im Grand Hotel zu"" , erinnert sich Jagdfeld an den amerikanischen Präsidenten George W Bush. Putin sei nicht so charmant und freundlich gewesen, aber okay.

Er erinnere sich auch an ein dunkelrotes Auto, das in der Prof.-Dr.-Vogel-Straße stand und immer von sechs [Gruppe 1] bewacht worden sei. "" Es ging das Gerücht, dass da der Atomkoffer drin sei"" , sagt Jagdfeld. Für ihn besonders auffällig: "" Die [Gruppe 1] waren immer besoffen, das konnte man erkennen."" 

Von Gerüchten über russische Wanzen in den Hotelzimmern, die vom Bundesnachrichtendienst entfernt wurden, habe Jagdfeld hingegen nichts gehört. Das Grand Hotel Heiligendamm verweist auf Nachfrage, dass aus "" Kenntnis- und Diskretionsgründen""  die OZ-Anfrage nicht beantwortet werden könne. Für Anno August Jagdfeld hatten die Tage des G8-Gipfels auch etwas von einer Operette. "" Da geht man um die Ecke, und Putin kommt auf einen zu.""  Zum Teil hätten sich auch Szenen wie im  Actionfilm abgespielt. Beispielsweise als Greenpeace und Marineschiffe sich auf der Ostsee ein Wettrennen lieferten. "" Die fuhren aufeinander zu, das war wie im James-Bond-Film"" , erinnert sich Anno August Jagdfeld.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Text erwähnt zwar ein Gerücht über einen „Atomkoffer“ und die Gruppe als Bewacher, aber es handelt sich um eine **nicht bestätigte Mutmaßung ohne konkrete Straftat oder Sicherheitsbedrohung** – zudem wird die Gruppe nicht als Täter, Verdächtiger oder Gefahr dargestellt, sondern nur als Teil einer Anekdote (betrunkenes Verhalten). Keine Ermittlungen, Gewaltlegitimation oder Präventionsmaßnahmen sind explizit verknüpft.","Label: **NO_CRIME_FRAME**
Explanation: Der Text erwähnt zwar ein Gerücht über einen „Atomkoffer“ und die Gruppe als Bewacher, aber es handelt sich um eine **nicht bestätigte Mutmaßung ohne konkrete Straftat oder Sicherheitsbedrohung** – zudem wird die Gruppe nicht als Täter, Verdächtiger oder Gefahr dargestellt, sondern nur als Teil einer Anekdote (betrunkenes Verhalten). Keine Ermittlungen, Gewaltlegitimation oder Präventionsmaßnahmen sind explizit verknüpft."
2,REFUG,"Bayern: [Gruppe 1] identifizieren

Bayern hat die anderen Bundesländer aufgefordert, seinem Beispiel zu folgen und Kriegsflüchtlinge aus der Ukraine mit erkennungsdienstlichen Maßnahmen eindeutig zu identifizieren, meldet zeit.de. Landesinnenminister Joachim Herrmann (CSU), der derzeit der Innenministerkonferenz vorsteht, habe erklärt, in Bayern würden die Personalien mit den Fahndungsdatenbanken abgeglichen. Der Minister wird mit den Worten zitiert: „Eine Sicherheitslücke können wir uns hier nicht leisten“. Zwar müsse den [Gruppe 1] unbürokratisch geholfen werden, aber: „Wir müssen wissen, wer zu uns kommt und vermeiden, dass Schleuser, Menschenhändler, die organisierte Kriminalität oder andere Straftäter die Situation für ihre Zwecke ausnutzen.“ Bundesinnenministerin Nancy Faeser (SPD) habe die von der Union geforderte Registrierung der [Gruppe 1] jedoch erneut abgelehnt.

Huthis im Jemen kündigen dreitägige Waffenruhe an",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Text verknüpft explizit die **[Gruppe 1]** (Kriegsflüchtlinge aus der Ukraine) mit potenziellen Sicherheitsrisiken wie Schleusern, Menschenhändlern, organisierter Kriminalität und Straftätern, die die Situation „ausnutzen“ könnten, und fordert präventive Maßnahmen (Erkennungsdienstliche Identifizierung) zur Vermeidung solcher Bedrohungen.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit die **[Gruppe 1]** (Kriegsflüchtlinge aus der Ukraine) mit potenziellen Sicherheitsrisiken wie Schleusern, Menschenhändlern, organisierter Kriminalität und Straftätern, die die Situation „ausnutzen“ könnten, und fordert präventive Maßnahmen (Erkennungsdienstliche Identifizierung) zur Vermeidung solcher Bedrohungen."
4,JESID,"Al-Kuraischi sprengte sich selbst in die Luft

Al-Kuraischi war Anfang Februar bei einem US-Militäreinsatz im Nordwesten Syriens getötet worden. Er sprengte sich dabei nach Angaben aus Washington selbst in die Luft, um nicht für seine Taten zur Rechenschaft gezogen zu werden. Al-Kuraischi soll einer der Hauptverantwortlichen für den Völkermord an der religiösen Minderheit der [Gruppe 1] im Nordwesten des Iraks gewesen sein.

Der IS hoffe, dass der Krieg in der Ukraine nicht ende, ehe er die Menschen im Westen vernichtet und die dortigen Gebiete zerrissen habe, hieß es in der Audiobotschaft weiter. Deren Echtheit ließ sich zunächst nicht überprüfen. Sie wurde jedoch über die üblichen Kanäle der Extremisten in den sozialen Medien verbreitet.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die im Text erwähnte Gewalt und der Terrorismus finden außerhalb Deutschlands statt, und es wird kein expliziter Bezug zur deutschen inneren Sicherheit oder zu einer Bedrohung durch die Gruppe in Deutschland hergestellt. Zudem ist die Gruppe hier als Opfer (Völkermord an der [Gruppe 1]) und nicht als Täter oder Sicherheitsrisiko für Deutschland dargestellt.","Label: **NO_CRIME_FRAME**
Explanation: Die im Text erwähnte Gewalt und der Terrorismus finden außerhalb Deutschlands statt, und es wird kein expliziter Bezug zur deutschen inneren Sicherheit oder zu einer Bedrohung durch die Gruppe in Deutschland hergestellt. Zudem ist die Gruppe hier als Opfer (Völkermord an der [Gruppe 1]) und nicht als Täter oder Sicherheitsrisiko für Deutschland dargestellt."
5,REFUG,"Der SPD-Vorsitzende Lars Klingbeil hält die Einheit von Ost und West in Deutschland für weiter fortgeschritten als noch vor zehn Jahren. ""Was die Ost-West-Frage betrifft, sind wir vorangekommen"", sagte er der ""Rheinischen Post"" (Montagsausgabe). ""Wir haben eine stärkere Deutsche Einheit als es etwa vor zehn Jahren noch der Fall war.""

Der Osten sei attraktiv, was die Industrieansiedlungen von Intel und Tesla zeigten, und auch zu Recht deutlich selbstbewusster. ""Aber unser Land befindet sich gerade insgesamt in einer Zeit der starken Polarisierung. Zwei Jahre Pandemie, der Krieg in der Ukraine, die Energiekrise, die Klimakrise - das macht was mit den Menschen."" Angesprochen auf die zunehmenden Proteste im Land sagte der SPD-Politiker, man müsse bei diesen Protesten sehr genau hinschauen und trennen. ""Es gibt viele, die haben große Sorgen, wie sie bei den massiven Preissteigerungen über die Runden kommen sollen. Das nehme ich sehr ernst. Um diejenigen muss Politik sich kümmern und das tun wir."" Die Regierung habe drei ""Entlastungspakete"" geschnürt, den Mindestlohn erhöht und stemme sich mit 200 Milliarden Euro gegen die Energiepreise. ""Aber es gibt eben unter den Protestlern auch solche, die schon gegen [Gruppe 1], gegen Corona-Maßnahmen, für Russland unterwegs waren und jetzt versuchen, die berechtigten Sorgen zu instrumentalisieren und unser Land zu spalten. Das dürfen wir nicht zulassen."" Das sei auch keine Frage von Ost und West, so Klingbeil.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die Gruppe wird im Text nur als politisches Ziel von Protesten erwähnt, ohne dass eine Verbindung zu Kriminalität, Sicherheit, Gewalt, Terrorismus oder konkreten Straftaten hergestellt wird. Es handelt sich um eine allgemeine politische Instrumentalisierung ohne expliziten Kriminalitäts- oder Sicherheitsrahmen.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird im Text nur als politisches Ziel von Protesten erwähnt, ohne dass eine Verbindung zu Kriminalität, Sicherheit, Gewalt, Terrorismus oder konkreten Straftaten hergestellt wird. Es handelt sich um eine allgemeine politische Instrumentalisierung ohne expliziten Kriminalitäts- oder Sicherheitsrahmen."
6,UKR,"Die russische Propaganda gegenüber [Gruppe 1] wird immer radikaler. Kürzlich tauchten Videos in russischen Kanälen auf, in denen offen zum Massenmord an [Gruppe 1] aufgerufen wird. Wie kommt es dazu?

[Gruppe 1] werden in der russischen Propaganda schon länger als Nicht- oder Untermenschen dargestellt. [Gruppe 1] sind dort Nazis und Faschisten. Nach der russischen Lesart hat man deshalb das Recht, sie auszurotten. Die russische Propaganda hat diesen Genozid an uns [Gruppe 1] auch schon länger vorbereitet. Mit dem falschen Narrativ, dass [Gruppe 1] im Donbass einen Genozid an [Andere Gruppe] begangen hätten, was auch Putin selbst im vergangenen Jahr in einer Rede verbreitet hat, haben die [Andere Gruppe] in Wahrheit ihren Genozid an den [Gruppe 1] moralisch vorbereiten und rechtfertigen wollen. Und es gibt übrigens noch ein sehr neues und praktisches Narrativ, das die russische Propaganda gezielt verbreitet: [Gruppe 1] können mit westlichen Waffen nicht umgehen, westliche Waffen werden weiterverkauft und geschmuggelt. Das alles geht auf das Narrativ des brutalen, gierigen, rohen und niederen [Gruppe 1] zurück.

Ist diese Darstellung von [Gruppe 1] eine Entwicklung der russischen Propaganda unter Putin, um [Gruppe 1] zu diffamieren?",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Der Text beschreibt die russische Propaganda als gezielte Diffamierung und Manipulation gegen [Gruppe 1], die diese als Opfer von Gewalt und Genozid darstellt – es wird keine reale Kriminalität, Sicherheitsbedrohung oder Täterschaft der Gruppe in Deutschland oder im Kontext innerer Sicherheit thematisiert.","**Label:** NO_CRIME_FRAME
**Explanation:** Der Text beschreibt die russische Propaganda als gezielte Diffamierung und Manipulation gegen [Gruppe 1], die diese als Opfer von Gewalt und Genozid darstellt – es wird keine reale Kriminalität, Sicherheitsbedrohung oder Täterschaft der Gruppe in Deutschland oder im Kontext innerer Sicherheit thematisiert."
8,NGA,"Ein Beamter des Ermittlungsdienstes der Bundespolizeiinspektion München erkannte laut Polizeibericht gegen 14.20 Uhr auf dem Heimweg am Hauptbahnhof München einen Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war.

Als der Beamte den Mann, einen 25-jährigen [Gruppe 1], ansprach, versuchte dieser zu flüchten. Nach Verfolgung konnte er nahe des Alten Botanischen Gartens gestellt und festgenommen werden. Dabei kamen weitere Polizeibeamten dem Ermittler zur Hilfe. Nachdem der 25-Jährige sich zunächst verbal aggressiv zeigte, wehrte er sich im weiteren Verlauf nicht gegen die folgenden polizeilichen Maßnahmen und beruhigte sich, wie die Polizei berichtet. Später schlug ein Drogenschnelltest positiv an.

Weitere Ermittlungen ergaben, dass es sich tatsächlich um den Gesuchten handelte. Bezüglich der Hintergründe der Tat liegen bislang noch keine Informationen vor. Bekannt ist, dass der Angegriffene zuvor den Täter und andere Fahrgäste mit seiner Handykamera gefilmt hatte.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer **mutmaßlichen Straftat** („Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war“) und polizeilichen Ermittlungen („Festnahme“, „Drogenschnelltest positiv“), wobei der Täter als Mitglied der Gruppe identifiziert wird.","**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer **mutmaßlichen Straftat** („Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war“) und polizeilichen Ermittlungen („Festnahme“, „Drogenschnelltest positiv“), wobei der Täter als Mitglied der Gruppe identifiziert wird."
9,,"Ermittlungen wegen Volksverhetzung

Gegen Bhakdi, der 2021 für die „Querdenker“-Partei „Die Basis“ zur Bundestagswahl angetreten war, ermittelt die Generalstaatsanwaltschaft in Schleswig wegen Volksverhetzung. Bhakdi hatte in einem Interview gesagt, die [Gruppe 1] hätten von den Nazis „das Böse“ gelernt und umgesetzt. Deswegen sei Israel „jetzt living hell – die lebende Hölle“.

Maaßen verbreitete seine Impfgegnerschaft auf der Plattform Gettr. Das soziale Netzwerk funktioniert ähnlich wie Twitter und wurde von einem früheren Mitarbeiter Donald Trumps gegründet. Die Plattform ist bei Rechten und Verschwörungsideologen beliebt, weil sie anders als Twitter und Facebook kaum rassistische Inhalte oder medizinische Falschinformationen löscht.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die Gruppe wird im Text nicht als Täter, Verdächtiger, Unterstützer von Gewalt oder Sicherheitsrisiko dargestellt, sondern als Opfer von Volksverhetzungserklärungen durch eine dritte Person (Bhakdi). Die Ermittlungen richten sich gegen Bhakdi, nicht gegen die Gruppe selbst.","Label: **NO_CRIME_FRAME**

Explanation: Die Gruppe wird im Text nicht als Täter, Verdächtiger, Unterstützer von Gewalt oder Sicherheitsrisiko dargestellt, sondern als Opfer von Volksverhetzungserklärungen durch eine dritte Person (Bhakdi). Die Ermittlungen richten sich gegen Bhakdi, nicht gegen die Gruppe selbst."
10,SYR,"Die Bundespolizei ist am Dienstagmorgen mit einer groß angelegten Razzia in Hessen, Bayern und Nordrhein-Westfalen gegen ein Netz mutmaßlicher Schleuser vorgegangen. Rund zwanzig Wohnungen und Geschäftsräume wurden durchsucht und sechs mutmaßliche Schleuser festgenommen, unter ihnen vier [Gruppe 1], ein [Andere Gruppe] und ein [Andere Gruppe]. Der Schwerpunkt der Aktion, an der auch Spezialkräfte der GSG 9 beteiligt waren, lag in Nordhessen.

Die sechs Männer werden verdächtigt, mindestens 150 vorwiegend syrische Staatsbürger gegen Zahlungen in Höhe von 600 bis 2000 Euro von Belarus, [Andere Gruppe] oder Österreich aus in gemieteten Kleintransportern unter teilweise lebensgefährlichen Umständen „banden- und gewerbsmäßig“ nach Deutschland geschleust zu haben. So sollen die [Andere Gruppe] oft ohne jede Sicherung und ohne ausreichende Belüftung im dunklen Laderaum der Fahrzeuge transportiert worden sein.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit vier Mitglieder der **[Gruppe 1]** als mutmaßliche Schleuser mit einer **banden- und gewerbsmäßigen Straftat** (Schleusung unter lebensgefährlichen Umständen), die von Ermittlungsbehörden als kriminelles Netzwerk eingestuft wird.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit vier Mitglieder der **[Gruppe 1]** als mutmaßliche Schleuser mit einer **banden- und gewerbsmäßigen Straftat** (Schleusung unter lebensgefährlichen Umständen), die von Ermittlungsbehörden als kriminelles Netzwerk eingestuft wird."
11,REFUG,"Ehrenamtliche Helfer:innen kritisieren, dass keine Vermittlung stattfindet und deren Expertise nicht berücksichtigt werde. Die Sozialverwaltung weist dies zurück und sagt, Repräsentanten der Ehrenamtlichen seien in regelmäßige, wöchentliche Gespräche einbezogen.

Karuna-Vorstand Jörg Richert erklärte dem Tagesspiegel, man habe am Hauptbahnhof wegen des großen Ansturms keine Vermittlung zwischen Privatleuten und [Gruppe 1] mehr durchführen können. Künftig werde es ein nachprüfbares Verfahren geben. Karuna werde die Vermittlung von Plätzen in Tegel wieder aufnehmen. Zunächst sollen vulnerable Gruppen wie behinderte oder pflegebedürftige Menschen sowie Personen, deren Weiterreise erst Tage später stattfinden kann und Familienmitglieder, die auf der Flucht getrennt wurden, vermittelt werden.

Um [Gruppe 1] vor Missbrauch bei privaten Unterbringungsangeboten zu schützen, setzt die Polizei am Hauptbahnhof, dem Zentralen Omnibusbahnhof und im Ankunftszentrum auch verdeckte Ermittler ein. Eine für Kinderschutz zuständige Ermittlungsgruppe des Landeskriminalamtes ist dort ebenfalls im Einsatz.",CRIME_FRAME_POS,CRIME_FRAME_POS,"Die Polizei setzt verdeckte Ermittler und eine Kinderschutz-Ermittlungsgruppe des Landeskriminalamtes ein, um **[Gruppe 1]** vor Missbrauch bei privaten Unterbringungsangeboten zu schützen – dies ist eine präventive Sicherheitsmaßnahme im Zusammenhang mit der Gruppe.","Label: **CRIME_FRAME_POS**

Explanation: Die Polizei setzt verdeckte Ermittler und eine Kinderschutz-Ermittlungsgruppe des Landeskriminalamtes ein, um **[Gruppe 1]** vor Missbrauch bei privaten Unterbringungsangeboten zu schützen – dies ist eine präventive Sicherheitsmaßnahme im Zusammenhang mit der Gruppe."
12,REFUG,"Kein Gedanke an Aufnahmestopp

Zumindest vorübergehend soll außerdem der Familiennachzug ausgesetzt werden. Für [Gruppe 1] mit Aufenthaltsstatus sollen von den Kommunen im Herbst 20.000 Wohnungen bereitgestellt werden. Das alles ist nur ein Tropfen auf den heißen Stein; früher oder später werden – will man Zeltstädte wie in der dritten Welt noch etwas aufschieben – Zwangseinquartierungen in privaten Wohnraum erfolgen. In Deutschland rollt diese Entwicklung mancherorts schon ganz langsam an (siehe hier und hier).

Die EU-Kommission bekundete ihre Bereitschaft, die Niederlande zu unterstützen, da man sich der „herausfordernden Situation im Aufnahmezentrum der Niederlande“ bewusst sei. Zugleich – um die Prioritätensetzung zu unterstreichen – forderte sie jedoch sofortige Aufklärung über die Todesumstände eines drei Monate alten Babys, das in einer zur Notunterkunft umfunktionierten Sporthalle in Ter Apel gestorben war. Die Todesursache ist derzeit noch unklar. Während nun auch die Niederlande die Erfahrung machen zu müssen, dass eine kulturfremde Massenzuwanderung nichts als Gewalt, Chaos, monströse Kosten und die Spaltung der Bevölkerung mit sich bringt, wird an der Gutmenschendoktrin in Brüssel also nichts geändert.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Text verknüpft explizit die Gruppe mit einer **generalisierten gesellschaftlichen Bedrohungsrahmung** („kulturfremde Massenzuwanderung bringt nichts als Gewalt, Chaos, monströse Kosten und die Spaltung der Bevölkerung mit sich“), ohne dass konkrete Straftaten genannt werden müssen – dies zählt als CRIME_FRAME_NEG.","Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit die Gruppe mit einer **generalisierten gesellschaftlichen Bedrohungsrahmung** („kulturfremde Massenzuwanderung bringt nichts als Gewalt, Chaos, monströse Kosten und die Spaltung der Bevölkerung mit sich“), ohne dass konkrete Straftaten genannt werden müssen – dies zählt als CRIME_FRAME_NEG."
