article_id,par_index,group,text_block_en,final_label,agreement,run_1,run_2,run_3,run_4,run_5
LVZ-doc7k1eualahkz17q2iijc3,3,USA,"Er hatte recht. Zu den kuriosesten Regeln im Land der unbegrenzten Möglichkeiten gehört das Verbot des Selbsttankens im Benzinabgabegesetz von 1949. So gut wie alle Bundesstaaten haben die anachronistische Brandschutzvorschrift längst gekippt. Nur nicht New Jersey - noch nicht. Denn nun kündigt sich eine Revolution an: Plötzlich soll die Servicepflicht mit einem Gesetz beerdigt werden.

Solche Umwälzungen brauchen einen Auslöser. In diesem Fall ist es der Benzinpreis. Der steigt seit Monaten und ist seit dem Ukra­i­ne-Krieg förmlich explodiert: 4,20 Dollar kostet das Normalbenzin inzwischen im US-Durchschnitt - fast 60 Prozent mehr als vor einem Jahr. In New Jersey ist es dank des Pflichtservice noch 15 Cent teurer. Freilich gilt der Preis für eine Gallone, was 3,78 Litern entspricht. Das klingt für deutsche Autofahrer paradiesisch. Doch viele [Gruppe 1] fahren Spritschlucker. Und oft sind Arbeitsplätze, Schulen oder Supermärkte mangels öffentlicher Verkehrsmittel nur mit dem Pkw zu erreichen. Da haut ein 20-prozentiger Aufschlag binnen eines Monats gewaltig ins Kontor.

Das bekommt auch Joe Biden zu spüren. Die Benzinpreise sind inzwischen Thema Nummer eins. Die Umfragewerte fallen. Lange hat der Präsident deshalb gezögert, die Ölimporte aus Russland zu kappen. Nun hat er dem überparteilichen Druck von Demokraten und Republikanern doch nachgegeben. Er hofft, die (im Vergleich zu Europa relativ geringen) Ausfälle durch Einfuhren aus Venezuela und dem Iran ausgleichen zu können.",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
KN-doc7nyo3zh121i10er2a4qm,2,HRV,"Keine Mannschaft bei diesem Turnier in Katar spielt bislang schöneren Fußball als die Seleção. Keine Mannschaft erzielt schönere Tore. Keine andere verfügt über ein größeres Offensivpotenzial als die Seleção. Trotzdem sind auch die [Andere Gruppe] gewarnt. Denn nach Spielen gegen Serbien, die Schweiz, Kamerun und Südkorea wartet mit Vizeweltmeister Kroatien an diesem Freitag (16 Uhr, Magenta TV) nun ihr erster echter Prüfstein. ""Das wird ein Spiel, das unser maximales Level an Konzentration erfordern wird"", sagte Verteidiger Danilo.

Denn die [Andere Gruppe] um Trainer Tite treffen auf echte K.-o.-Experten. Von ihren vergangenen neun K.-o.-Partien bei Weltmeisterschaften haben die [Gruppe 1] sieben gewonnen. In all diesen neun Partien haben sie mindestens ein Tor erzielt. Zudem kämpfen die [Andere Gruppe] gegen ihre eigene Viertelfinalmisere. Von ihren vergangenen vier WM-Viertelfinals haben sie drei verloren, zuletzt 2018 in Russland mit 1:2 gegen Belgien. Umso größer ist diesmal die Hoffnung auf den ersehnten sechsten WM-Titel.

""Wir sind zuversichtlich, dass wir das, was in den vergangenen Jahren oft im Viertelfinale passiert ist, ändern können"", sagte Flügelstürmer Vinicius Junior, ""dass wir das Viertelfinale gewinnen, ins Halbfinale einziehen und weiter Schritt für Schritt gehen."" Tatsächlich dürfte nicht wenigen die Fantasie dafür fehlen, wie die in die Jahre gekommenen [Gruppe 1] um Abwehrchef Dejan Lovren Brasiliens Hochgeschwindigkeitsabteilung stoppen wollen.",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
MAZ-3.1257232000167e+20,5,IRQ,"Jeder siebte Einwohner  ist aus dem Ausland

Die Deutschen sind auch nicht mehr unter sich in Alanya, wie sie es noch vor 20 Jahren waren; auch Auswanderer anderer Nationen haben das Städtchen entdeckt. [Andere Gruppe], [Andere Gruppe], [Gruppe 1] und [Andere Gruppe] machen inzwischen die Mehrheit der [Andere Gruppe] von Alanya aus. Jeder siebte der 350.000 Einwohner von Alanya ist [Andere Gruppe].

Für die türkischen Einwohner von Alanya wird es eng - und vor allem teuer. Angesichts der hohen Inflation stöhnen die [Andere Gruppe] im ganzen Land ohnehin über ihre Mieten, mit der Kaufkraft der [Andere Gruppe] in Alanya können sie nicht mithalten. Beamte und Lehrer würden reihenweise um ihre Versetzung aus Alanya ersuchen, weil sie keinen bezahlbaren Wohnraum bekommen, klagt der Vorsitzende der Handelskammer, Mehmet Sahin. So gehe das nicht weiter, sagte Sahin der Lokalpresse.",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
LVZ-doc7lluen74zqd15vgna3a7,4,HUN,"Angesichts der Schwere des Vorwurfs ließe sich also mit einer gewissen Skepsis herangehen, wenn man ein solches Bild sieht. Man kann auch auf der Homepage des Unternehmens nachschauen. Dort sind ebenfalls Stellenangebote veröffentlicht - allerdings ohne jeden Zusatz, dass [Andere Gruppe] unerwünscht seien. Die Twitter-Aufpasser von der Prisma-Gruppe taten dies offenbar nicht und veröffentlichten die angebliche Stellenanzeige scheinbar völlig ungeprüft. Leider keine ganz unübliche Praxis im modernen Denunziantentum. Erst später rudern sie lapidar zurück: "" Wir haben unseren letzten Tweet gelöscht, da erhebliche Zweifel daran bestehen, dass die Plakate von der Bäckerei verklebt wurden."" 

Auch die Bäckerei reagiert. "" Wir sind wütend, erschüttert, uns fehlen die Worte"" , heißt es in einem Facebook-Posting. "" Diese Anzeige stammt nicht aus unserem Haus. Bei uns arbeiten Menschen aus Italien, [Gruppe 1], Frankreich, Eritrea usw. Und um eins klarzustellen: Die Bäckerei Kleinert ist so dankbar um diese Mitarbeiter. Alle Menschen dieser Erde sind bei uns herzlich willkommen!!!!!!""  Auch dieser Post wird vielfach geteilt. Einige User nehmen ihn sogar zum Anlass, sich bei der Bäckerei für ihr vorschnelles Urteil zu entschuldigen und eilig getätigte negative Bewertungen gegen das Unternehmen wieder zu löschen. "" Es tut mir leid, diesem miesen Fake auf den Leim gegangen zu sein, ich hatte der Quelle vertraut"" , schrieb etwa eine Frau.

Noch am Freitag erstattete die Bäckerei Kleinert Strafanzeige, so eine Polizeisprecherin am Sonntag auf Anfrage der LVZ. Es geht um den Tatvorwurf der Verleumdung. "" Die Ermittlungen dazu dauern an. Wir können deshalb noch nicht zweifelsfrei sagen, ob die Stellenanzeigen echt oder eine Fälschung sind.""",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
MAZ-2.98577710001645e+20,1,CHN,"

Und dann ist es auch schon wieder vorbei. Die olympischen Winterspiele in Peking sind zu Ende. Ob sie mit allen Nebengeräuschen am Ende positiv oder negativ bewertet werden, das kann jeder für sich selbst entscheiden. Vor allem die deutschen Sportler, die im Eiskanal unterwegs waren, werden rein sportlich noch lange in Erinnerung schwelgen. Ob Rodler, Bob-Piloten oder Skeletonis, die Eisbahn war wie ein Wohnzimmer für die Athleten des Team D. Vielleicht lassen sich die [Gruppe 1] überreden, die Bahn Stein für Stein ab- und in Bad Kreuznach wieder aufzubauen. Genutzt wird sie in China nach den Spielen vermutlich eh nicht mehr. Dann benötigt man nur noch einen Hügel für die Skifahrer und ein paar Loipen für Langläufer und Biathleten. Alles schön beschneien lassen und den Spielen an der Nahe steht nichts im Wege. Die Wintersporttradition dürfte ähnlich groß sein wie in Peking.

",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
BADZ-51305013884,6,REFUG,"Nur das Erdgeschoss besteht nicht aus Holz, sondern aus Stahlbeton, um der Hanglage gerecht zu werden. Auf dieser Etage hat das Waldhaus einen ""Waldklimaraum"" eingerichtet und erweitert damit sein Bildungsangebot. Der Gemeinderat hat mehr als 40000 Euro für die Baukosten des Raumes bereitgestellt. In verschiedenen Kursen können sich Schulklassen mit den Auswirkungen des Klimawandels auseinandersetzen. Sie lernen beispielsweise wie der Wald Treibhausgase speichert, aber auch wie der Klimawandel den Wald gefährdet. Das erste Obergeschoss nutzt die Verwaltung des Waldhauses; im zweiten und dritten Obergeschoss arbeiten die Mitarbeitenden des Forstamtes. 

Die weitere Nutzung des alten Forstamtes an der Günterstalstraße ist Toni Klein zufolge derzeit unklar. Weil die Stadt Wohnraum für [Gruppe 1] benötige, prüfe sie derzeit, ob das Forstamt in der Günterstalstraße als [Gruppe 1]-Unterkunft dienen könnte. 

Mit einem Tag der offenen Tür hat Oberbürgermeister Martin Horn das neue Forstamt an der Wonnhalde eingeweiht und betont: ""Das Waldhaus und jetzt der Neubau vereinen unter ihren Dächern nicht nur Themen, die hervorragend zueinander passen. Sie vereinen vor allem auch Menschen, die motiviert für den Wald arbeiten und durch den kreativen Austausch noch mehr für eine nachhaltige, klimaneutrale Zukunft unserer Stadt erreichen können."" Am Nachmittag konnten interessierte Bürger den Neubau besichtigen. ",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
KN-doc7jet8sri5zn6m4oufvn,3,HUN,"Der 34-Jährige spielt bei Sporting Pelt in der belgischen Liga und das eher als ambitioniertes Hobby neben seiner Arbeit als Medizindesigner. Doch weil er für das Handball-Entwicklungsland Holland vor Jahren mal ein Länderspiel absolviert hatte, wurde sein Name plötzlich wieder aktuell, als die Mannschaft um Super-Shooter Kay Smits mehrere Corona-Fälle im Turnierverlauf verzeichnete und deshalb zuerst auf ihr Stammduo zwischen den Pfosten, bestehend aus Bert Ravensbergen und Dennis Schellekens, und zwei Tage später auch auf den reaktivierten Torwarttrainer Gerrie Eijlers verzichten musste.

Van Leeuwen reiste also Hals über Kopf nach [Gruppe 1], packte neben Sport- auch seine Arbeitssachen ein. Denn der Arbeitgeber genehmigte den Trip nur unter der Bedingung, dass er am Sonntag arbeiten würde. 36 Stunden nach der Nachnominierung stand er im Oranje-Aufgebot - und hielt die Würfe der Montenegriner als hätte er eine komplette Turniervorbereitung absolviert. Sagenhafte 42 Prozent der Bälle hielt er - eine Weltklasse-Quote - und wurde zum ""Man of the Match"" auserkoren. ""Ich dachte, ich hätte ein paar dumme Fehler gemacht und war selbst überrascht, als nach dem Spiel alle zu mir kamen, um mir zu gratulieren"", sagte van Leeuwen nach der Partie konsterniert im niederländischen Fernsehen. In der Kabine empfingen ihn seine Teamkollegen mit einer Umdichtung des Songs ""Freed from desire"" und einer Party in Oranje.

Die Jubelstimmung fand jedoch am Sonntag ein jähes Ende, als die Ergebnisse der jüngsten PCR-Testreihe drei weitere Fälle zutage förderten - darunter mit Kay Smits nicht nur den Star der Mannschaft des ebenfalls infizierten Trainers Erlingur Richardsson, sondern auch den bisher besten Torschützen des ganzen Turniers (45) Treffer. Mit nun elf infizierten Spielern sind die Niederlande nach Deutschland bei der EM am stärksten von coronabedingten Ausfällen betroffen.",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
MAZ-3.13108180001672e+20,1,TUR,"

Mehr als ein amüsiertes Lächeln ernten Sportler wie der [Andere Gruppe] Alexander Johnson oder der [Andere Gruppe] Nico Polychronidis selten. Achtungserfolge mit Weltcup-Punkten wie der 29. Platz des [Gruppe 1] Fatih Arda Ipcioglu beim Vierschanzentournee-Auftakt 2021 in Oberstdorf sind deshalb besonders. Die Exoten tun dem Skispringen zwischen Materialtüftelei und mentaler Verbissenheit gut. Dass Norwegens österreichischer Trainer Alexander Stöckl - ob aus Gründen des Klimawandels oder der Publicity - ganzjährige Sprung-Events ohne Schnee auch in Nicht-Ski-Regionen ins Spiel bringt, geht aber eine Spur zu weit. Mattenschanzen in Brasilien, Kenia oder der Karibik mögen den Wintersportlern neue Möglichkeiten eröffnen, ein paar mehr Skisprungfans in Afrika oder Down Under generieren und sogar in Regionen, in die sich seit der Eiszeit keine Schneeflocke mehr verirrt hat, eine Skisprungszene etablieren. Doch wenn selbst wintersportverrückte Nationen wie Kanada oder Schweden kaum einen Weltcup-Kader zusammenbekommen, die Athletenvielfalt in China oder Russland kaum für die internatonale Spitze reicht, sind wettkampfbereichernde Skispringer aus Neuseeland oder Togo die berühmte Nadel im Heuhaufen. Ganzjahres-Skispringen steigert lediglich den Vermarktungswert der Sportart für Etablierte wie Norwegen oder Österreich. Und erhöht den Aufwand für die Topathleten. Solche Visionen braucht niemand.

",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
KN-doc7k5x75d0d60vo0bia6u,3,UKR,"Schönberg: Jugendherberge soll Notunterkunft werden

In den Tagen zuvor waren bereits rund 70 [Gruppe 1] und [Gruppe 1] auf privaten Wegen in den Kreis Plön gekommen und haben sich bei den Behörden registrieren lassen. Die Jugendherberge in Schönberg wird derzeit ebenfalls zu einer Notunterkunft hergerichtet. Hier ist kurzfristig Platz für 380 Menschen. Die Solidarität der Bürgerinnen und Bürger mit den Menschen aus der Ukraine ist überwältigend groß. Doch in der Preetzer Unterkunft ist sie das jetzt zu einem Problem geworden, wie Pressesprecherin Nicole Heyck erläuterte. Helfer wollten zum Beispiel den Kindern etwas Gutes tun und brachten große Mengen von Spielzeug. Dafür ist aber gar kein Platz in der beengten Turnhalle. Heyck: ""Wir sind voll.""

Spätestens ab Montag würden die [Andere Gruppe] auf ihre festen Unterkünfte verteilt. Dort wären Spenden sinnvoller, weil es mehr Platz gibt.",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
MAZ-3.06104670001659e+20,10,UKR,"Die Stadt hat die Aufgaben, Unterkünfte bereitzustellen und das Miteinander zu organisieren. Sie bekommt vom Land Hessen vier Prozent der [Andere Gruppe] zugewiesen. In die Quote fließt die Zahl der Einwohner und die der [Andere Gruppe] ein. In größeren Unterkünften mit mehr als 250 Plätzen sei eine Betreuung durch den Sozialdienst Asyl vorgesehen. Die Stadt habe alle Sozialarbeiterstellen besetzt. Im Auf und Ab der Flüchtlingszahlen sei die Anzahl der Mitarbeitenden im Sozialdienst gleich geblieben, sagte Manjura. Schon vor dem Ukraine-Krieg seien mehr [Andere Gruppe] in die Stadt gekommen, zuletzt im Kontext mit den Umbrüchen in Afghanistan und dem Umgang mit den früheren Ortskräften der Bundeswehr.

Die [Gruppe 1] befinden sich laut Manjura in einer Sonderrolle. Sie haben ""freie Platzwahl"", können sich in der Europäischen Union aussuchen, in welches Land und in welche Stadt sie gehen wollen. Seit Juni sind sie zudem keine [Andere Gruppe] mit eingeschränkten Rechten mehr, sondern voll in das Angebot des kommunalen Jobcenters integriert. Unterbringung, Sozialdienst und Jobcenter lägen im Dezernat in einer Hand: Es sei ein Glück, dass sich die Stadt damals für eine Übernahme der Arbeitsvermittlung entschieden habe, sagte Manjura.

",NO_CRIME_FRAME,1.0,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME,NO_CRIME_FRAME
