article_id,pub,par_index,group,text_block,label,label2,label3,explanation3
MAZ-2.97335270001643e+20,MAZ,9,BGR,"Und genau darauf dürfte es hinauslaufen. Denn die nächste Pflanzphase beginnt in fünf Wochen und dauert bis Ende April. Die Auftragsbücher der Firmen sind voll, die Baumbestellungen längst rausgegangen. ""Eine frühere Ausschreibung wäre sicherlich wünschenswert gewesen"", räumt Leonie von Bremen ein. ""Das war jedoch leider aufgrund eines akuten Personalmangels in der zuständigen Abteilung nicht möglich.""

Nicht in den Griff bekommen werden konnte bisher außerdem ein seit Jahren bekanntes Problem: die illegalen Sperrmüllberge vor der Waullaustraße 101. Immer wieder türmen sich entlang der Böschung Berge bestehend aus verrosteten Kühlschränken, Matratzen und Möbelresten (diese Zeitung berichtete mehrfach). Am Donnerstag lagen dort ""nur"" 19 Autoreifen. Doch die Beseitigung des Mülls ist eine Sisyphusarbeit. Kaum hat der Entsorgungsbetrieb ihn weggeräumt, liegt wenige Tage später neuer da. Wie Leonie von Bremen informiert, habe es schon mehrere Ansätze gegeben. Sei es durch regelmäßige Kontrollen, durch Infoblätter (auch in bulgarischer Sprache, weil dort viele [Gruppe 1] wohnen). Außerdem mussten zwei mit Asbestmüll gefüllte Garagen geräumt werden. Wegen dieses unerlaubten Umgangs mit Abfällen wurde sogar Strafanzeige erstattet. ""Mehr als diese Maßnahmen stehen uns von städtischer Seite nicht zur Verfügung"", sagt von Bremen.

",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine Gruppe ([Gruppe 1]) als **Opfer von Umweltkriminalität** (illegale Sperrmüllentsorgung) und thematisiert keine aktive Bedrohung oder Sicherheitsmassnahme als Erfolg, sondern vielmehr ein anhaltendes Problem mit lokalem Fokus (kein Bezug zu Terrorismus, Gew"
MAZ-3.07801370001662e+20,MAZ,6,BGR,"Und so scheint denn erst einmal zu verpuffen, was Scholz mit teilweise ungewöhnlicher Klarheit zur Zukunft Europas an Ideen ausbreitet.

Es ist der vielseitige Versuch, das von ihm kurz nach Russlands Angriff auf die Ukraine geprägte Wort von der ""Zeitenwende"" auf die Europa-Ebene zu übertragen und die Schlussfolgerungen daraus zu konkretisieren. Scholz erinnert daran, dass Tschechen genauso wie Slowaken, Balten, [Andere Gruppe], [Andere Gruppe] und [Gruppe 1] nach dem Zweiten Weltkrieg von der ""Landkarte des Westens"" und ""hinter dem Eisernen Vorhang"" verschwunden waren - und diese bitteren Erfahrungen bis heute nachwirkten. Nun habe sich Putin daran gemacht, erneut Grenzen in Europa brutal zu verschieben. Scholz will das nicht hinnehmen: ""Wir wollen nicht zurück in das 19. und 20. Jahrhundert mit seinen Eroberungskriegen und seinen totalitären Exzessen.""

Daraus entwickelt Scholz neue Herausforderungen und nimmt sich selbst in die Pflicht: Um die ukrainischen Streitkräfte in die Lage zu versetzen, ihr Land dauerhaft verteidigen zu können, ""dürfen wir alle nicht nur das an Kiew liefern, worauf wir selbst gerade verzichten können"". Zugleich bietet er an, dass Deutschland besondere Verantwortung beim Aufbau der ukrainischen Artillerie und Luftverteidigung übernimmt. Gleichzeitig will er Lücken in der Verteidigung der EU-Länder schließen - etwa durch den Aufbau eines Schutzschildes gegen Bedrohungen aus der Luft und aus dem Weltraum. Deutschland werde den geplanten Ausbau seiner Luftverteidigung so gestalten, dass sich auch die europäischen Nachbarn daran beteiligen könnten. Ein gemeinsam aufgebautes Luftverteidigungssystem bezeichnet der Kanzler als ""Sicherheitsgewinn für ganz Europa"".",SECURITY_POSITIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Text thematisiert zwar Sicherheitsmaßnahmen (z. B. Luftverteidigung, Unterstützung der Ukraine) und eine klare Haltung gegen aggressive Grenzverschiebungen, bezieht sich aber primär auf **internationale Kriegsberichterstattung zwischen Staaten** (Russland/Ukraine/EU) ohne expliz"
MOPO-467170,MOPO,1,BGR,"

Am Montagmorgen wurde am Flughafen Hamburg ein Mann an der Ausreise gehindert. Bei der Ausweiskontrolle stellten Beamte der Bundespolizei fest, dass der [Gruppe 1] zur Festnahme ausgeschrieben war: Wegen Fahrens ohne Fahrerlaubnis und Haftpflichtversicherung. Der 31-Jährige hatte eine offene Geldstrafe aus dem Juni 2021 von 1856 Euro zu zahlen. 1000 Euro konnte er aufbringen, für den Rest kontaktierte er seine Ehefrau. Somit konnte die Haftstrafe vermieden werden.

",NOT_SECURITY_CRIME,SECURITY_POSITIVE,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine erfolgreiche Sicherheitsmaßnahme (Hindernis der Ausreise durch die Bundespolizei aufgrund eines Haftbefehls), ohne dass die Gruppe als Bedrohung oder Täterin dargestellt wird – es handelt sich um eine Routineüberprüfung mit strafrechtlichem Kontext, aber o"
KN-doc7juo3f891gjjh4d0gia,KN,2,BGR,"Der Geiselnehmer des Überfalls auf einen Apple Store mitten in Amsterdam hatte nach Angaben der Polizei Sprengstoff bei sich. Es habe sich aber nicht um scharfes Explosionsmaterial gehandelt, teilte die Polizei am Mittwoch mit. Sie stellte zwei Waffen sicher, darunter eine halbautomatische. Die Tat endete am späten Dienstagabend glimpflich. Der mutmaßliche Täter, ein Mann aus Amsterdam, wurde überwältigt und schwer verletzt, so gestern ein Polizeisprecher.

Die Geisel, ein [Gruppe 1], blieb unverletzt, ebenso wie etwa 70 Menschen, die zur Zeit des Überfalls in dem Geschäft waren. Auf Bildern in sozialen Netzwerken sah man den Täter - in einer Hand eine Schusswaffe, die Geisel im Würgegriff. Er drohte damit, sich in die Luft zu sprengen. Als die Polizei eintraf, eröffnete der Mann das Feuer.

Tatort: In einem Apple Store hatte ein Mann einen [Gruppe 1] als Geisel genommen und rund 70 Menschen bedroht.",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine Straftat, bei der die genannte Gruppe ([Gruppe 1]) **ausschließlich als Opfer** dargestellt wird, während der Täter als Einzelperson agiert und die Polizei als erfolgreiche Sicherheitsbehörde handelt, die die Situation entschärft hat – ohne dass die Gruppe"
KN-doc7juo3f891gjjh4d0gia,KN,3,BGR,"Die Geisel, ein [Gruppe 1], blieb unverletzt, ebenso wie etwa 70 Menschen, die zur Zeit des Überfalls in dem Geschäft waren. Auf Bildern in sozialen Netzwerken sah man den Täter - in einer Hand eine Schusswaffe, die Geisel im Würgegriff. Er drohte damit, sich in die Luft zu sprengen. Als die Polizei eintraf, eröffnete der Mann das Feuer.

Tatort: In einem Apple Store hatte ein Mann einen [Gruppe 1] als Geisel genommen und rund 70 Menschen bedroht.

Foto: IMAGO/ANP",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine Situation, in der die genannte Gruppe ([Gruppe 1]) **Opfer** eines Geiselüberfalls ist und nicht als Täter oder Bedrohungsquelle dargestellt wird, sondern als betroffene Partei, während der Täter ein externer Einzelperson ist.

**Label:** NOT_SECURITY_CRIM"
KN-doc7lq017jsnhfw1kuqj12,KN,2,BGR,"Die US-Bundespolizei FBI hat die als ""Krypto-Queen"" berüchtigte Erfinderin der vermeintlichen Digitalwährung One Coin, Ruja Ignatova, auf die Liste der zehn meistgesuchten Flüchtigen gesetzt. Ignatova soll mit One Coin Millionen von Investoren weltweit betrogen haben. Das FBI setzte eine Belohnung von bis zu 100 000 US-Dollar für Hinweise aus, die zu ihrer Festnahme führen. Die Sicherheitsbehörde geht davon aus, dass Ignatova und ihre Helfer Opfer in aller Welt um Milliardenbeträge betrogen haben.

Nach Angaben des FBI gründeten Ignatova und ihr Partner um das Jahr 2014 herum in Bulgarien das Unternehmen One Coin, mit dem eine virtuelle Währung vermarktet wurde, die aber nie existierte. Die gebürtige [Gruppe 1], die über die deutsche Staatsangehörigkeit verfügt, pries das Projekt als ""Bitcoin-Killer"" an, es sollte also in Konkurrenz zur größten Kryptowährung der Welt stehen. Ignatova habe dabei falsche Angaben und Zusicherungen gemacht, um Menschen dazu zu bewegen, in One Coin-Pakete zu investieren, hieß es.

Den Ermittlern zufolge bewarben Ignatova und ihr Partner One Coin auch durch eine Marketingstrategie, die Investoren dazu aufforderte, Pakete an Freunde und Verwandte zu verkaufen.",SECURITY_NEGATIVE,SECURITY_POSITIVE,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine **Sicherheitsmaßnahme (Festnahmebemühungen des FBI)** als Erfolg gerahmt (Belohnung für Hinweise, öffentliche Bekanntmachung als eine der meistgesuchten Personen), wobei die Gruppe (Ignatova und ihre Helfer) explizit als **Täter** einer Betrugsmasche darge"
KN-doc7n5twgyoiqc64qjogr,KN,8,BGR,"Weil die Betroffenen gar nicht oder kaum über deutsche Sprachkenntnisse verfügen und überwiegend weder einen Schulabschluss noch eine Berufsausbildung haben, lässt sich an diesen prekären Zuständen kurzfristig kaum etwas ändern. Versuchen will es die FAW mit viel Geduld, aufsuchender Sozialarbeit und umfassender Kooperation. Zusammen mit der Rechtsberatung des Deutschen Gewerkschaftsbundes soll beispielsweise gegen die gesetzwidrigen Arbeitsbedingungen vorgegangen werden. ""Wir begleiten die Menschen über ein bis zwei Jahre"", versprach FAW-Leiter Asmussen.

Aus Sicht vieler [Andere Gruppe] Gaardener, egal welcher Herkunft, verursachen die neuen EU-Bürger ganz andere Probleme. ""Wir haben eine echt schicke Neubauwohnung, aber im Haus nebenan schmeißen die Leute laufend ihren Müll aus dem Fenster"", erzählt ein junges Pärchen. Und auf dem Vinetaplatz, wo das dort ansässige Mehrgenerationenhaus an zwei Nachmittagen in der Woche unter dem Motto ""Move on"" Spiel und Bewegung für Kinder anbietet, kommt es unter den Augen der Kleinen immer wieder zu Prügeleien innerhalb der bulgarischen Community. ""Wir haben zum Teil schon erheblich zu tun"", bestätigt Uwe Eidinger, Leiter des für Gaarden zuständigen 4. Polizeireviers, solche Szenen, die offenbar häufig mit Alkohol zu tun haben, in den Griff zu bekommen. Was die Gruppe der ""besonders Benachteiligten"" betrifft, ist nach Einschätzung des Beamten ""schon eine Zunahme von Einsätzen zu verzeichnen"", von einem Pulverfass mag er aber nicht reden. Die steigenden Zahlen seien zum Teil schlicht auf den wachsenden Anteil von [Gruppe 1] an der Einwohnerschaft zurückzuführen.

Indessen hat eine Gruppe um die Gaardenerin Christiane Rahardt eine Petition auf den Weg gebracht, die auf zwei wesentliche Forderungen hinausläuft: Zum einen soll es mehr Sprachkurse und andere Integrationsangebote für die Südosteuropäer geben, die in dieser Hinsicht wegen ihres EU-Hintergrunds weniger Ansprüche haben als etwa [Andere Gruppe]. Zum anderen wird dafür plädiert, die Hürde zum Einstieg ins Sozialsystem höher aufzustellen als an der jetzigen Minijob-Grenze. Die Zahl der Unterschriften hält sich in Grenzen. ""Wenn man so etwas anspricht, wird man von vielen in die rassistische Ecke gestellt"", vermutet Rahardt. ""Dabei wollen wir nichts anderes als ein Zusammenleben, das für alle Seiten harmonisch ist.""",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt zwar Konflikte und polizeiliche Einsätze innerhalb der Community (z. B. Prügeleien, Müllprobleme), stellt die Gruppe aber nicht explizit als *Quelle von Kriminalität oder Bedrohung* dar, sondern als Opfer prekärer Lebensumstände und sozialer Spannungen – zudem "
LVZ-doc7juo0mawcfc1bwxdb03,LVZ,2,BGR,"Der Geiselnehmer des Überfalls auf einen Apple Store mitten in Amsterdam hatte nach Angaben der Polizei Sprengstoff bei sich. Es habe sich aber nicht um scharfes Explosionsmaterial gehandelt, teilte die Polizei am Mittwoch mit. Sie stellte zwei Waffen sicher, darunter eine halbautomatische. Die Tat endete am späten Dienstagabend glimpflich. Der mutmaßliche Täter, ein Mann aus Amsterdam, wurde überwältigt und schwer verletzt, so gestern ein Polizeisprecher.

Die Geisel, ein [Gruppe 1], blieb unverletzt, ebenso wie etwa 70 Menschen, die zur Zeit des Überfalls in dem Geschäft waren. Auf Bildern in sozialen Netzwerken sah man den Täter - in einer Hand eine Schusswaffe, die Geisel im Würgegriff. Er drohte damit, sich in die Luft zu sprengen. Als die Polizei eintraf, eröffnete der Mann das Feuer.

",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt eine Straftat, bei der der Täter als aktiver Akteur mit Waffen und Sprengstoff (wenn auch nicht scharf) agiert, während die Gruppe der Geisel (hier als [Gruppe 1] anonymisiert) klar als Opfer dargestellt wird – ohne dass eine Sicherheitsmaßnahme als Erfolg expl"
MAZ-2.97728060001644e+20,MAZ,9,FRA,"Und es droht neue Gewalt. Wie konkret Gewalt werden kann, wird auch Putin wieder in Erinnerung kommen. Als er das letzte Mal zur Eröffnung der Olympischen Spiele nach Peking kam, war es Sommer, der 8. August 2008. Am selben Tag brach im Südkaukasus der Georgien-Krieg aus: Russlands Militär setzte sich in Bewegung, um einen Angriff Georgiens unter dem US-freundlichen Präsidenten Michail Saakaschwili gegen die abtrünnige Region Südossetien niederzuschlagen. Wenig später verlor Saakaschwilinicht nur Südossetien, sondern auch Abchasien. Vor dem Olympiastart in Peking gibt es Warnungen, dass sich solch ein Szenario nun im Osten der Ukraine wiederholen könnte.

UKRAINE: ERDOGAN WILL VERMITTELN   Inmitten schwerer Spannungen im Ukraine-Konflikt gehen die diplomatischen Bemühungen um eine friedliche Lösung weiter. Am Donnerstag flog der türkische Präsident Recep Tayyip Erdogan zu Gesprächen mit seinem ukrainischen Kollegen Wolodymyr Selenskyj nach Kiew. Seit Tagen gibt es schon hochrangige Gespräche, um einen Krieg zu verhindern. Der türkische Präsident Erdogan hatte bereits mehrmals angeboten, als Vermittler zu fungieren.   Auch Frankreichs Präsident Emmanuel Macron will mit Gesprächen weiter in dem Konflikt vermitteln. Der [Gruppe 1] telefonierte am späten Mittwochabend auch mit US-Präsident Joe Biden. Beide bekräftigten dabei dem Weißen Haus zufolge ihre Unterstützung für die Ukraine und ""hohe wirtschaftliche Kosten"" im Falle eines russischen Einmarschs in die Ukraine.   Russlands Präsident Wladimir Putin hatte zuvor bei einem Telefonat mit dem britischen Premier Boris Johnson kritisiert, die Nato reagiere nicht ""angemessen auf die berechtigten Bedenken Russlands"".

",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt einen internationalen Konflikt zwischen Staaten (Russland/Ukraine) ohne explizite Bezugnahme auf eine Gruppe als Täter oder Opfer im deutschen Kontext, sondern als klassische Kriegsberichterstattung zwischen souveränen Akteuren – daher liegt kein klarer Sicherh"
MAZ-2.98467480001645e+20,MAZ,2,FRA,"PARIS / BERLIN (dpa). Frankreich beendet seinen militärischen Anti-Terror-Einsatz in Mali. Die Voraussetzungen seien wegen Behinderungen durch die malische Übergangsregierung nicht mehr gegeben, hieß es am Donnerstag in Paris. Der koordinierte Abzug solle bis Sommer erfolgen, der Anti-Terror-Kampf aber in angrenzenden Ländern in der Sahelzone fortgesetzt werden. Es geht um die französische Militäroperation ""Barkhane"" und die ""Takuba""-Mission, an der Frankreich sowie mehrere europäische Länder - aber nicht die Bundeswehr - beteiligt sind.

Für die Bundesregierung ist die Entscheidung dennoch eine große Herausforderung. Rund 300 Soldaten stellt Deutschland für die EU-Ausbildungsmission EUTM, mehr als 1000 für den UN-Stabilisierungseinsatz Minusma in Mali, die derzeit gefährlichste Blauhelmmission. Alle Truppensteller zusammengerechnet hat der UN-Einsatz bereits 260 Soldaten das Leben gekostet. Für viel Kritik sorgte zuletzt auch, dass russische Söldner und Militärs in Mali agieren. Verteidigungsministerin Christine Lambrecht (SPD) ließ erkennen, dass sie vor allem den Beitrag zu EUTM mit Skepsis betrachtet. Anders sieht es bei Minusma aus. Deutschland ist dabei in einer zentralen Rolle, weil es für die Aufklärung der Lage in Mali zuständig ist. Diese erfolgt mit Drohnen und Patrouillenfahrten. Kommt es hart auf hart, sind die deutschen Soldaten dabei auf Luftunterstützung durch die Kampfhubschrauber der [Gruppe 1] angewiesen - und auf den Sanitätsdienst von Partnern.

",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,"**Explanation:** Der Absatz beschreibt primär die Rolle deutscher und internationaler Truppen in einem **UN-Stabilisierungseinsatz (Minusma)** und einer **EU-Ausbildungsmission (EUTM)**, wobei es um **Opferzahlen (260 Tote)**, logistische Herausforderungen und die **Zusammenarbeit mit Partnern** (u."
