group,pub,human_label,final_label,agreement,text_block,run_1,run_2,run_3,run_4,run_5
ASYL,WAZ,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,0.6,"Solange Menschen den Drogenrausch brauchen, müssen Polizisten im Kampf gegen Rauschgiftkriminalität dicke Bretter bohren . Wie eng Erfolg und Frust zusammenliegen, zeigt ein Vorfall am Willy-Brandt-Platz, wo der Zivilfahnder einen mutmaßlichen westafrikanischen Drogendealer im Visier hat. Bei der Festnahme bringt er den Mann zu Boden, doch dieser widersetzt sich hartnäckig. Nach Darstellung des Ermittlers hält er sogar absichtlich die Luft an. Weil es dem Festgenommenen nicht mehr gelingt, die 30 bis 40 Bubbles, die er im Mundraum aufbewahrt hat, runterzuschlucken und im Magen zu verstecken, muss er das Rauschgift ähnlich einer Popcorn-Maschine langsam ausspucken.

Der Mann hat bereits graue Haare, der Polizist schätzt ihn auf fünfzig. Aber laut Ausweis ist er gerade einmal 24. Den [Gruppe 1] nach Guinea abzuschieben, ist überhaupt kein Thema. Für die Justiz ist er sehr wahrscheinlich als Ersttäter zu behandeln, dann wäre mit einer Anklage frühestens in einem Jahr zu rechnen. Schon jetzt zeichnet sich ab, dass er gute Chancen besitzt, mit einer Bewährungsstrafe davon zu kommen und die Drogengeschäfte fortsetzen zu können. Ein Indiz dafür, dass er offenbar ungeniert weitermacht: Vor wenigen Tagen entdeckt der Zivilfahnder den Mann erneut in der Essener Innenstadt.

Drogenfahnder im Ruhrgebiet beklagen deshalb immer wieder ein Urteilsgefälle in Deutschland. Während die bayerische Justiz das Strafmaß bei Drogendelikten voll ausreize, bewege sich die Justiz an Rhein und Ruhr am unteren Ende. Je höher das Kriminalitätsgeschehen, so eine Studie, desto milder die Urteile.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,SECURITY_NEGATIVE,SECURITY_NEGATIVE
EGY,OSZ,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,0.6,"Der Anführer des Terrornetzwerks Al-Kaida, Aiman al-Sawahiri, ist bei einem Anti-Terror-Einsatz der USA in Afghanistan getötet worden. Al-Sawahiri sei am Wochenende bei einem gezielten Drohnen-Angriff in einem Unterschlupf in der afghanischen Hauptstadt Kabul ums Leben gekommen, sagte eine ranghohe Vertreterin der US-Regierung am Montagabend (Ortszeit). US-Präsident Joe Biden äußerte sich bei einem kurzfristig anberaumten Auftritt im Weißen Haus in Washington selbst zu dem Schlag gegen die Terrorgruppe. Zivile Opfer habe es nicht gegeben. "" Jetzt wurde der Gerechtigkeit Genüge getan. Und diesen Terroristenführer gibt es nicht mehr"" , sagte Biden.

Der [Gruppe 1] Al-Sawahiri war Nachfolger von Osama bin Laden, der als Kopf der Terroranschläge vom 11. September 2001 in den USA galt. Bin Laden war 2011 in Pakistan von einer US-Spezialeinheit getötet worden. Seinen letzten öffentlichen Auftritt hatte Al-Sawahiri im vergangenen September. Er rief seine Anhänger damals auf, die Staaten im Westen und ihre Verbündeten im Nahen Osten zu bekämpfen. Seite 4

Al-Kaida-Chef ­Aiman al-Sawahiri ist tot.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,SECURITY_NEGATIVE,NOT_SECURITY_CRIME
RUS,MAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"Vorwürfe wegen Geldwäsche in Millionenhöhe

Nach Angaben der Ermittler wird der [Gruppe 1] verdächtigt, eingefrorene Gelder ausgegeben zu haben, um damit die Bewachung seiner Immobilien in Oberbayern zu bezahlen. Es bestehe daher der Anfangsverdacht eines Verstoßes gegen das Außenwirtschaftsgesetz, so die Behörde. Gegen vier weitere Beschuldigte wird wegen Beihilfe ermittelt. Die Generalstaatsanwaltschaft in Frankfurt und das Bundeskriminalamt (BKA) ermitteln zudem wegen Geldwäsche. Nach Angaben der Behörden soll der tatverdächtige [Gruppe 1] zwischen 2017 und 2022 mehrere Transaktionen von Geldern veranlasst haben, um deren Herkunft zu verschleiern. Die Ermittler halten es für möglich, dass das Geld aus Straftaten stammt, vor allem Steuerhinterziehung. Das Volumen bewegt sich nach bisherigen Erkenntnissen im mehrstelligen Millionenbereich. Usmanow gilt als enger Unterstützer des russischen Präsidenten Wladimir Putin und dessen Ukraine-Politik. Die Behörden werfen Usmanow vor, er habe als Strohmann für Putin gedient und dessen geschäftliche Probleme gelöst. Vor der Villa des Oligarchen in Rottach-Egern am Tegernsee hatten nach dem russischen Einmarsch in der Ukraine immer wieder Menschen demonstriert.

",NOT_SECURITY_CRIME,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
BGR,Bild,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"[[ Zwei Gruppenvergewaltiger waren unter 14, zwei weitere über 70. Größte Gruppe: 14-30 (179 Personen). Auch hier gab's weibliche Tatverdächtige: 14 von 221. Besonders schwere Fälle begingen 58 Personen.

[[ Die Herkunft der Tatverdächtigen: Weit vorne bei Vergewaltigungen und Gruppenvergewaltigungen sind Deutsche (981/106). Dahinter bei alleine begangenen Vergewaltigungen: [Andere Gruppe] (108). Bei Gruppenvergewaltigungen: [Gruppe 1] (9).]]

„Es geht mir gut ...“Selin E. (23) wurde entführt und missbraucht",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
KURD,WAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"Nikolaj Spiegel

Bochum Der 36-jährige Diyar Hago, Geschäftsführer und Interimscoach des CFK Bochum, äußert sich auf WAZ-Anfrage bezüglich der Vorfälle vor rund drei Wochen und spricht über Zukunftspläne seines Vereins. Nach dem Meisterschaftsspiel vor drei Wochen gegen den SV Phönix war der Schiedsrichter angegriffen und schwer verletzt worden. Neben einem Zuschauer der [Gruppe 1] waren wohl auch ein Betreuer sowie der Trainer am Angriff auf den Unparteiischen beteiligt. In der Folge wurden sowohl der Betreuer als auch der Trainer fristlos entlassen, als Übergangslösung sprang Hago als Trainer ein.

Hinter Ihrem Verein liegen turbulente Wochen. Wie ist der derzeitige Ermittlungsstand und welche Strafen von Seiten des Verbandes sind noch zu erwarten",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
REFUG,BADZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"Von Gabriele Lesser 

Auf einem verschneiten Feld steht ein Jeep in Tarnfarben. Nur ein paar hundert Meter sind es bis zu jenem dichten Mischwald, der schon zu Belarus gehört. Hier, auf der polnischen Seite, ist die Staatsgrenze mit einem in drei bis fünf Rollen übereinander gespannten Nato-Draht mit Widerhaken gesichert. So etwas nennt man hier koncertyna. Dieser im vergangenen Herbst hastig errichtete Grenzzaun soll [Gruppe 1] davon abhalten, über die grüne Grenze in die Europäische Union einzureisen. 

Plötzlich geht ein Ruck durch den Jeep, dann scheppert eine Stimme aus den Lautsprechern auf dem Dach: ""Ihre Reise endet hier. Das ist nicht, was Ihnen versprochen wurde. Gehen Sie zurück nach Minsk. Vor dort werden Sie nach Hause gebracht. Ihr Albtraum wird ein Ende haben.""",SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
NLD,WAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"Sprengattacken auf Geldautomaten verfünffacht.  Ich frage mich: Ist es nötig, rund um die Uhr Zugang zu Bargeld zu haben? Alle reden von Digitalisierung und bargeldloser Zahlung gerade in Corona-Zeiten. Warum begrenzt man nicht den zeitlichen Zugang zu Bargeldautomaten? In Düsseldorf [...] kannte ich z.B. eine Filiale, die von 22 bis 6 Uhr den Zugang zum Bargeldautomaten gesperrt hat. [...] Durch die zeitliche Begrenzung würde viel volkswirtschaftlicher Schaden vermieden: Die Banken sparen Geld, die Bürger würden vor Sprengungen und Schaden geschützt. Wann endlich erfolgt hier ein Umdenken und Einlenken bei den Banken? Jens Schmitt,  BO

Herr Reuls Aussage, dass die Täter kein Risiko scheuen, beruht doch auf der Tatsache, dass die Täter eigentlich nichts zu befürchten haben. Sie kommen, sprengen und verschwinden, ohne Risiko. [...] Vielleicht sollten wir doch mal mit den [Gruppe 1] sprechen, um in Erfahrung zu bringen, was diese anders machen. Dort gibt es seit geraumer Zeit so gut wie keine Sprengungen mehr. Wie ist das bloß möglich? Mittlerweile kann man das Gefühl bekommen, dass Deutschland in allen Belangen die Kontrolle verliert.

Axel Rosenbusch, Duisburg",NOT_SECURITY_CRIME,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
ASYL,LVZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"

Wegen einer Bedrohungssituation sind am Silvestertag zwei Streifenwagenbesatzungen des Reviers Leipzig-Südwest in die Markranstädter Gemeinschaftsunterkunft für [Gruppe 1] gerufen worden. Dort soll ein 22-Jähriger einen weiteren Bewohner mit einem Gegenstand bedroht und angegriffen haben. Nach Informationen der Polizeidirektion Leipzig wurde niemand verletzt. Ein hinzugezogener Arzt wies den polizeibekannten Tatverdächtigen aus Somalia in ein Fachkrankenhaus ein. Die Polizei nahm Ermittlungen wegen versuchter gefährlicher Körperverletzung sowie Bedrohung auf.kü

",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
REFUG,WAZ,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,0.8,"Die SPD-Politikerin unterstrich, alle von der CDU geforderten Punkte, würde die Vorlage der Verwaltung nicht ausschließen. Sie fügte außerdem an: "" Ich lasse mir nicht vorwerfen, ich hätte keinen Respekt vor dem Ehrenamt. Ich bin Teil des Ehrenamts dieser Stadt!""  Im Nachgang der Sitzung warf auch die Fraktion der Bochumer Linken der Ausschussmehrheit von SPD und den Grünen vor, sich "" gegen eine passgenaue Unterstützung der Ehrenamtlichen von ,Bochum Solidarisch' ""  zu sperren.

Vor dem Disput der Ausschussmitglieder betonte die Sozialdezernentin wie schon in der vorherigen Sitzung , dass auch [Gruppe 1], die nachts am Hauptbahnhof eintreffen, sicher und zuverlässig untergebracht werden -  beispielsweise in Hotels. Bundespolizei und Feuerwehr hätten entsprechende Notfallnummern der Verantwortlichen, "" dann kümmern wir uns um die Unterkunft"" . Ab Freitag, 1. April, sei dort außerdem ein mehrsprachiges Wegeleitsystem -  auch mit Durchsagen -  eingerichtet.

Die Dezernentin zeigte dem Ausschuss auch neu erstellte Info-Flyer und Plakate, die [Andere Gruppe] vor Menschenhändlern und ihren Maschen warnen. In den Gemeinschaftsunterkünften wie am Harpener Feld seien zudem die Sicherheitsdienste sensibilisiert worden. Sie sollen künftig die Polizei rufen, wenn ihnen dort Unbekannte auffallen, die zweifelhafte Angebote machen -  wie es neulich bei einer ominösen Sauna-Werbung der Fall gewesen sei.",SECURITY_NEGATIVE,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,SECURITY_NEGATIVE
NLD,Berliner Morgenpost,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,0.8,"Die Niederlande haben ein Mafia-Problem

Auch eine Entführung ist längst keine Räuberpistole mehr: Erst vor wenigen Wochen hatte die belgische Polizei die Entführung ihres Justizministers Vincent Van Quickenborne vereitelt. Er hatte der Drogenkriminalität den Kampf angesagt. Bei seiner Wohnung hatten die Ermittler ein Auto mit Kalaschnikows und gefüllten Benzinkanistern sichergestellt. Die vier Hauptverdächtigen sind [Gruppe 1] und wurden in der Region Den Haag festgenommen.

Anschläge wie diese sind für den niederländischen Kriminologen Professor Cyrille Fijnhout Kennzeichen der mafiaähnlichen Strukturen. «Wir sehen, dass die Grundzüge der Mafia übernommen werden bis zur höchsten Ebene, wie Gewalt gegen den Staat», sagte der Professor der Tageszeitung «De Volkskrant».",NOT_SECURITY_CRIME,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
