testset_id,group,text_block_en,final_human_label,cot_label,cot_reasoning,cot_explanation
1,RUS,"Anno August Jagdfeld, der im Marien-Cottage in Heiligendamm lebt, konnte sich beim G8-Gipfel frei auf dem Gelände bewegen und hat so die Staats- und Regierungschef miterlebt. "" Ich habe mich auch mit allen unterhalten. Am freundlichsten war Bush, der ging auch freundlich auf die Mitarbeiter im Grand Hotel zu"" , erinnert sich Jagdfeld an den amerikanischen Präsidenten George W Bush. Putin sei nicht so charmant und freundlich gewesen, aber okay.

Er erinnere sich auch an ein dunkelrotes Auto, das in der Prof.-Dr.-Vogel-Straße stand und immer von sechs [Gruppe 1] bewacht worden sei. "" Es ging das Gerücht, dass da der Atomkoffer drin sei"" , sagt Jagdfeld. Für ihn besonders auffällig: "" Die [Gruppe 1] waren immer besoffen, das konnte man erkennen."" 

Von Gerüchten über russische Wanzen in den Hotelzimmern, die vom Bundesnachrichtendienst entfernt wurden, habe Jagdfeld hingegen nichts gehört. Das Grand Hotel Heiligendamm verweist auf Nachfrage, dass aus "" Kenntnis- und Diskretionsgründen""  die OZ-Anfrage nicht beantwortet werden könne. Für Anno August Jagdfeld hatten die Tage des G8-Gipfels auch etwas von einer Operette. "" Da geht man um die Ecke, und Putin kommt auf einen zu.""  Zum Teil hätten sich auch Szenen wie im  Actionfilm abgespielt. Beispielsweise als Greenpeace und Marineschiffe sich auf der Ostsee ein Wettrennen lieferten. "" Die fuhren aufeinander zu, das war wie im James-Bond-Film"" , erinnert sich Anno August Jagdfeld.",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?** – Die Gruppe wird nicht als Täter dargestellt, sondern als Bewacher eines Autos (unklare Funktion) und als betrunken beschrieben, ohne dass eine Straftat oder Bedrohung explizit von ihnen ausgeht. Der Text erwähnt nur ein Gerücht („Atomkoffer“) und subjektive Beobachtungen („besoffen“), aber keine konkrete Kriminalität oder Gewalt.
2. **Bezug zu Deutschland?** – Der G8-Gipfel fand in Deutschland statt, aber die Gruppe wird nur als Sicherheitskräfte (Bewacher) erwähnt, ohne dass eine Bedrohung der deutschen Sicherheit oder Kriminalität im Inland thematisiert wird. Die „Betrunkenheit“ ist eine private Beobachtung ohne rechtliche oder sicherheitspolitische Relevanz.
3. **Erfolgreiche Sicherheitsmaßnahme?** – Nein, es wird keine Maßnahme gerahmt, sondern nur eine Anekdote über betrunkene Sicherheitskräfte erzählt.
4. **Gruppe als Quelle von Bedrohung/Kriminalität?** – Nein, die Gruppe wird nicht als Quelle von Kriminalität oder Sicherheitsrisiko dargestellt. Die einzige Assoziation („Atomkoffer“-Gerücht) ist ein unbelegtes Gerücht, und die Betrunkenheit ist keine Straftat.

**Label:** NO_CRIME_FRAME
**Explanation:** Der Text verbindet die Gruppe weder mit konkreter Kriminalität, Sicherheitsbedrohung, Verdacht noch Prävention – es handelt sich um eine private Beobachtung ohne Bezug zu innerer Sicherheit oder Straftaten."
2,REFUG,"Bayern: [Gruppe 1] identifizieren

Bayern hat die anderen Bundesländer aufgefordert, seinem Beispiel zu folgen und Kriegsflüchtlinge aus der Ukraine mit erkennungsdienstlichen Maßnahmen eindeutig zu identifizieren, meldet zeit.de. Landesinnenminister Joachim Herrmann (CSU), der derzeit der Innenministerkonferenz vorsteht, habe erklärt, in Bayern würden die Personalien mit den Fahndungsdatenbanken abgeglichen. Der Minister wird mit den Worten zitiert: „Eine Sicherheitslücke können wir uns hier nicht leisten“. Zwar müsse den [Gruppe 1] unbürokratisch geholfen werden, aber: „Wir müssen wissen, wer zu uns kommt und vermeiden, dass Schleuser, Menschenhändler, die organisierte Kriminalität oder andere Straftäter die Situation für ihre Zwecke ausnutzen.“ Bundesinnenministerin Nancy Faeser (SPD) habe die von der Union geforderte Registrierung der [Gruppe 1] jedoch erneut abgelehnt.

Huthis im Jemen kündigen dreitägige Waffenruhe an",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,"**Reasoning:**
1. **Taeter oder Opfer?** – Die Gruppe wird nicht als Täter dargestellt, aber als potenzielle **Nutzerin von Sicherheitslücken** (Schleuser, Menschenhändler, organisierte Kriminalität), die *andere* ausnutzen könnten. Die Gruppe selbst ist nicht direkt als Täterin genannt, aber als **mögliche Gefährdungsquelle** durch Dritte.
2. **Bezug zu Deutschland?** – **Ja**, explizit: Die Maßnahmen beziehen sich auf die Aufnahme von Kriegsflüchtlingen in Deutschland, und die Sicherheitsdebatte betrifft die *innere Sicherheit Deutschlands* (Fahndungsdatenbanken, Schleusernetzwerke).
3. **Erfolgreiche Sicherheitsmaßnahme?** – **Nein**, es geht um **präventive Kontrollen** (Registrierung, Abgleich), nicht um einen abgeschlossenen Erfolg. Die Ablehnung der Maßnahme durch die Bundesregierung zeigt zudem keine einhellige Zustimmung.
4. **Gruppe als Quelle von Bedrohung/Kriminalität?** – **Ja, indirekt generalisiert**: Die Gruppe wird als **potenzielle Einfallstor für Kriminalität** dargestellt (Schleuser, organisierte Kriminalität), selbst wenn sie nicht selbst handelt. Dies entspricht der Definition von **generalierter gesellschaftlicher Bedrohungsrahmung** (CRIME_FRAME_NEG).

---
**Label:** **CRIME_FRAME_NEG**
**Explanation:** Die Gruppe wird institutionell als **mögliche Sicherheitslücke** für kriminelle Akteure (Schleuser, organisierte Kriminalität) gerahmt, obwohl sie nicht direkt als Täterin genannt wird – dies zählt als generalisierte Bedrohungsdarstellung im deutschen Kontext."
3,REFUG,"In Griechenland werden [Gruppe 1] als Handlanger benutzt. Ihnen wird versprochen, dadurch selbst schneller an Aufenthaltspapiere zu kommen.

An der EU-Außengrenze benutzen griechische Polizeibeamte [Gruppe 1] offenbar als Handlanger für illegale Pushbacks. Das haben gemeinsame Recherchen des ""Spiegel"" mit Lighthouse Reports, dem ARD-Politikmagazin ""Report München"", ""Le Monde"" und dem ""Guardian"" ergeben.

Dem Team aus Reporterinnen und Reportern gelang es nach monatelangen Recherchen erstmals, mit sechs dieser Männer zu sprechen. Sie gaben unabhängig voneinander an, zu gewaltsamen Zurückweisungen in die Türkei gedrängt worden zu sein – im Gegenzug seien ihnen Aufenthaltspapiere versprochen worden. Die Angaben der [Gruppe 1] ließen sich mithilfe von Fotos, Satellitenbildern und offiziellen griechischen Dokumenten verifizieren.",CRIME_FRAME_NEG,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?**
   Die [Gruppe 1] werden als **Opfer** griechischer Polizeipraktiken (illegale Pushbacks) dargestellt, gleichzeitig aber als **Handlanger** für diese Straftaten instrumentalisiert – sie handeln nicht freiwillig, sondern werden unter Druck gesetzt (Versprechen von Aufenthaltspapieren). Die Gruppe selbst ist **kein aktiver Täter**, sondern wird als **Mitwirkende unter Zwang** beschrieben.

2. **Ereignis in Deutschland oder expliziter Bezug zur deutschen Sicherheit?**
   Das Ereignis spielt **ausschließlich in Griechenland** ab. Es gibt **keinen expliziten Bezug zur deutschen Sicherheit** oder zu deutschen Behörden.

3. **Erfolgreiche Sicherheitsmaßnahme?**
   Nein, es geht um **Straftaten durch griechische Behörden** (Pushbacks) und die **Instrumentalisierung der Gruppe** – keine Präventions- oder Sicherheitserfolge werden thematisiert.

4. **Gruppe als Quelle von Bedrohung/Kriminalität in Deutschland?**
   Nein, die Kriminalität (Pushbacks) wird **ausschließlich griechischen Behörden** zugeschrieben, nicht der Gruppe. Die Gruppe ist **Opfer und Werkzeug**, nicht Täterin.

---
**Label:** **NO_CRIME_FRAME**
**Explanation:** Die Gruppe wird als Opfer von Straftaten (Pushbacks) dargestellt und ist nicht selbst als Quelle von Kriminalität oder Sicherheitsbedrohung in Deutschland verknüpft – der Kontext ist griechische Polizeigewalt, nicht deutsche Sicherheit."
4,JESID,"Al-Kuraischi sprengte sich selbst in die Luft

Al-Kuraischi war Anfang Februar bei einem US-Militäreinsatz im Nordwesten Syriens getötet worden. Er sprengte sich dabei nach Angaben aus Washington selbst in die Luft, um nicht für seine Taten zur Rechenschaft gezogen zu werden. Al-Kuraischi soll einer der Hauptverantwortlichen für den Völkermord an der religiösen Minderheit der [Gruppe 1] im Nordwesten des Iraks gewesen sein.

Der IS hoffe, dass der Krieg in der Ukraine nicht ende, ehe er die Menschen im Westen vernichtet und die dortigen Gebiete zerrissen habe, hieß es in der Audiobotschaft weiter. Deren Echtheit ließ sich zunächst nicht überprüfen. Sie wurde jedoch über die üblichen Kanäle der Extremisten in den sozialen Medien verbreitet.",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. Die **[Gruppe 1]** (Yeziden) wird im Text **nicht als Täter** dargestellt, sondern als **Opfer des Völkermords** durch Al-Kuraischi (IS).
2. Das Ereignis findet **nicht in Deutschland** statt (Syrien/Irak) und es gibt **keinen expliziten Bezug zur deutschen Sicherheit** (keine Erwähnung deutscher Behörden, Täter mit Wohnsitz in Deutschland oder direkter Bedrohung für Deutschland).
3. Es wird **keine Sicherheitsmaßnahme als Erfolg gerahmt** (keine Prävention, keine polizeilichen Erfolge).
4. Die **[Gruppe 1]** wird **nicht als Quelle von Bedrohung oder Kriminalität in Deutschland** dargestellt – sie ist Opfer von Kriegsverbrechen durch eine andere Gruppe (IS).

---
**Label:** NO_CRIME_FRAME
**Explanation:** Der Text beschreibt einen **Kriegsverbrechen-Kontext außerhalb Deutschlands** ohne Bezug zur deutschen Sicherheit oder Kriminalität der **[Gruppe 1]**, die hier als Opfer erscheint."
5,REFUG,"Der SPD-Vorsitzende Lars Klingbeil hält die Einheit von Ost und West in Deutschland für weiter fortgeschritten als noch vor zehn Jahren. ""Was die Ost-West-Frage betrifft, sind wir vorangekommen"", sagte er der ""Rheinischen Post"" (Montagsausgabe). ""Wir haben eine stärkere Deutsche Einheit als es etwa vor zehn Jahren noch der Fall war.""

Der Osten sei attraktiv, was die Industrieansiedlungen von Intel und Tesla zeigten, und auch zu Recht deutlich selbstbewusster. ""Aber unser Land befindet sich gerade insgesamt in einer Zeit der starken Polarisierung. Zwei Jahre Pandemie, der Krieg in der Ukraine, die Energiekrise, die Klimakrise - das macht was mit den Menschen."" Angesprochen auf die zunehmenden Proteste im Land sagte der SPD-Politiker, man müsse bei diesen Protesten sehr genau hinschauen und trennen. ""Es gibt viele, die haben große Sorgen, wie sie bei den massiven Preissteigerungen über die Runden kommen sollen. Das nehme ich sehr ernst. Um diejenigen muss Politik sich kümmern und das tun wir."" Die Regierung habe drei ""Entlastungspakete"" geschnürt, den Mindestlohn erhöht und stemme sich mit 200 Milliarden Euro gegen die Energiepreise. ""Aber es gibt eben unter den Protestlern auch solche, die schon gegen [Gruppe 1], gegen Corona-Maßnahmen, für Russland unterwegs waren und jetzt versuchen, die berechtigten Sorgen zu instrumentalisieren und unser Land zu spalten. Das dürfen wir nicht zulassen."" Das sei auch keine Frage von Ost und West, so Klingbeil.",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?** – Die Gruppe wird nicht als Täter oder Opfer einer konkreten Straftat dargestellt, sondern als politische Akteure, die Proteste instrumentalisieren und das Land spalten *wollen* (implizite Zuschreibung von *politischer* Spaltung, aber keine explizite Kriminalität).
2. **Bezug zu Deutschland?** – Ja, der Text bezieht sich explizit auf Deutschland (Proteste, Energiekrise, politische Maßnahmen).
3. **Sicherheitsmassnahme als Erfolg?** – Nein, es geht nicht um Prävention oder Sicherheitserfolge, sondern um politische Warnungen vor Spaltung.
4. **Gruppe als Quelle von Bedrohung/Kriminalität?** – **Nein, aber fast**: Die Gruppe wird als *politische Bedrohung* (Spaltung, Instrumentalisierung) dargestellt, **nicht** als kriminell oder sicherheitsgefährdend im engeren Sinne (keine Straftaten, Ermittlungen, Gewalt oder Terrorismus). Die Formulierung *""unter den Protestlern auch solche, die [...] gegen [Gruppe 1], gegen Corona-Maßnahmen, für Russland unterwegs waren""* ist eine **allgemeine politische Einordnung**, keine explizite Verknüpfung mit Kriminalität oder Sicherheitsrisiken.

---
**Label:** **NO_CRIME_FRAME**
**Explanation:** Die Gruppe wird zwar als politisch problematisch (Spaltung) dargestellt, aber **nicht** mit Kriminalität, Gewalt, Terrorismus, Verdacht oder konkreten Sicherheitsbedrohungen verknüpft – es fehlt der explizite Kriminalitäts- oder Sicherheitsrahmen. Die Warnung vor Instrumentalisierung ist eine **politische**, keine kriminologische Aussage."
6,UKR,"Die russische Propaganda gegenüber [Gruppe 1] wird immer radikaler. Kürzlich tauchten Videos in russischen Kanälen auf, in denen offen zum Massenmord an [Gruppe 1] aufgerufen wird. Wie kommt es dazu?

[Gruppe 1] werden in der russischen Propaganda schon länger als Nicht- oder Untermenschen dargestellt. [Gruppe 1] sind dort Nazis und Faschisten. Nach der russischen Lesart hat man deshalb das Recht, sie auszurotten. Die russische Propaganda hat diesen Genozid an uns [Gruppe 1] auch schon länger vorbereitet. Mit dem falschen Narrativ, dass [Gruppe 1] im Donbass einen Genozid an [Andere Gruppe] begangen hätten, was auch Putin selbst im vergangenen Jahr in einer Rede verbreitet hat, haben die [Andere Gruppe] in Wahrheit ihren Genozid an den [Gruppe 1] moralisch vorbereiten und rechtfertigen wollen. Und es gibt übrigens noch ein sehr neues und praktisches Narrativ, das die russische Propaganda gezielt verbreitet: [Gruppe 1] können mit westlichen Waffen nicht umgehen, westliche Waffen werden weiterverkauft und geschmuggelt. Das alles geht auf das Narrativ des brutalen, gierigen, rohen und niederen [Gruppe 1] zurück.

Ist diese Darstellung von [Gruppe 1] eine Entwicklung der russischen Propaganda unter Putin, um [Gruppe 1] zu diffamieren?",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?**
   Die Gruppe wird in der russischen Propaganda als **Opfer** von Diffamierung, Aufrufen zu Gewalt und Genozid dargestellt. Es geht um gezielte **Propaganda und Falschnarrative** gegen die Gruppe, nicht um ihre Täterschaft.

2. **Bezug zu Deutschland oder deutscher Sicherheit?**
   Der Text thematisiert **ausschließlich russische Propaganda** und einen **Kriegskontext im Ausland (Ukraine/Donbass)**. Es gibt **keinen expliziten Bezug zu Deutschland oder der deutschen inneren Sicherheit**.

3. **Erfolgreiche Sicherheitsmaßnahme?**
   Nein, es geht nicht um Prävention, Kriminalitätsbekämpfung oder Sicherheitserfolge, sondern um **Propaganda und Kriegsrhetorik**.

4. **Gruppe als Quelle von Bedrohung/Kriminalität in Deutschland?**
   Nein, die Gruppe wird hier **nicht als Täter oder Sicherheitsrisiko für Deutschland** dargestellt, sondern als **Opfer von Propaganda und Gewaltaufrufen durch Russland**. Selbst wenn die Propaganda die Gruppe als „brutal“ oder „gierig“ beschreibt, handelt es sich um **falsche Narrative**, die im Text explizit als **manipulativ und diffamierend** entlarvt werden.

---
**Label:** **NO_CRIME_FRAME**
**Explanation:** Die Gruppe wird als Opfer von Propaganda und Gewaltaufrufen dargestellt, nicht als Täter oder Sicherheitsrisiko – zudem liegt kein Bezug zur deutschen inneren Sicherheit vor."
7,ISLMST,"Öffentliches Leben weiter eingeschränkt

Mit weiteren Anordnungen schränkten die [Gruppe 1] in dieser Woche das öffentliche Leben in dem Land noch mehr ein: So dürfen [Andere Gruppe] künftig ohne einen männlichen Begleiter nicht mehr fliegen. Die Taliban wiesen Fluglinien im Land an, an Frauen ohne Begleiter keine Tickets mehr zu verkaufen, wie aus einem Dokument hervorging, das der Deutschen Presse-Agentur vorlag. Zudem dürfen in der Hauptstadt Kabul und Umgebung Freizeitparks nur noch nach Geschlecht getrennt besucht werden: von Frauen sonntags bis dienstags, von Männern mittwochs bis samstags. Das gab das Ministerium für die Förderung der Tugend und Verhinderung des Lasters am Sonntag bekannt.

Seit ihrer Rückkehr an die Macht Mitte August 2021 haben die Taliban immer strengere Vorschriften für das öffentliche Leben erlassen. So sollen Frauen ohne männliche Begleitperson nicht weiter als 45 Meilen (etwa 72 Kilometer) reisen dürfen. Frauen können in vielen Fällen nicht mehr zurück an ihre Arbeitsplätze. Während der ersten Herrschaft der Taliban von 1996 bis 2001 waren Frauen und Mädchen praktisch vollständig von Bildung und Arbeit außerhalb ihres Hauses ausgeschlossen. Westliche Länder machen eine Anerkennung der Taliban-Regierung unter anderem von Fortschritten bei Frauenrechten abhängig.",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?**
   Die **[Gruppe 1] (Taliban)** werden als Akteure dargestellt, die autoritäre Maßnahmen erlassen (z. B. Reisebeschränkungen für Frauen, Geschlechtertrennung in Freizeitparks). Sie handeln als Herrschaftsapparat, nicht als Opfer.

2. **Bezug zu Deutschland oder deutscher Sicherheit?**
   Nein. Die Maßnahmen betreffen Afghanistan und haben **keinen expliziten Bezug zur deutschen inneren Sicherheit** (keine Täter mit Wohnsitz in Deutschland, keine deutsche Behördenbeteiligung, keine direkte Bedrohung für Deutschland).

3. **Erfolgreiche Sicherheitsmaßnahme?**
   Nein. Es geht um restriktive Regelungen, nicht um Prävention oder Sicherheitsgewinn.

4. **Explizite Darstellung als Bedrohung/Kriminalität in Deutschland?**
   Nein. Die Maßnahmen sind **innerstaatlich-afghanische Politik**, nicht mit deutscher Kriminalität oder Sicherheit verknüpft.

---
**Label:** **NO_CRIME_FRAME**
**Explanation:** Die Taliban werden als politische Akteure in Afghanistan dargestellt, ohne dass ein Bezug zu Kriminalität, Sicherheit oder Prävention in Deutschland hergestellt wird."
8,NGA,"Ein Beamter des Ermittlungsdienstes der Bundespolizeiinspektion München erkannte laut Polizeibericht gegen 14.20 Uhr auf dem Heimweg am Hauptbahnhof München einen Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war.

Als der Beamte den Mann, einen 25-jährigen [Gruppe 1], ansprach, versuchte dieser zu flüchten. Nach Verfolgung konnte er nahe des Alten Botanischen Gartens gestellt und festgenommen werden. Dabei kamen weitere Polizeibeamten dem Ermittler zur Hilfe. Nachdem der 25-Jährige sich zunächst verbal aggressiv zeigte, wehrte er sich im weiteren Verlauf nicht gegen die folgenden polizeilichen Maßnahmen und beruhigte sich, wie die Polizei berichtet. Später schlug ein Drogenschnelltest positiv an.

Weitere Ermittlungen ergaben, dass es sich tatsächlich um den Gesuchten handelte. Bezüglich der Hintergründe der Tat liegen bislang noch keine Informationen vor. Bekannt ist, dass der Angegriffene zuvor den Täter und andere Fahrgäste mit seiner Handykamera gefilmt hatte.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,"**Reasoning:**
1. **Taeter oder Opfer?** – Der 25-jährige [Gruppe 1] ist als **Tatverdächtiger** und **Gesuchter** wegen gefährlicher Körperverletzung explizit als Täter dargestellt.
2. **Deutschland-Bezug?** – Das Ereignis spielt in **München** (Deutschland), und die Bundespolizei ist involviert – **expliziter Bezug zur deutschen Sicherheit**.
3. **Sicherheitsmassnahme als Erfolg?** – Die Festnahme wird als Erfolg der Polizei beschrieben, aber der Fokus liegt auf der **Täterschaft der Gruppe**, nicht auf Prävention/Schutz.
4. **Gruppe als Quelle von Bedrohung/Kriminalität?** – Ja, der [Gruppe 1] wird direkt mit einer **Straftat (gefährliche Körperverletzung), Fluchtversuch, verbaler Aggression und Drogenkonsum** verknüpft.

**Label:** **CRIME_FRAME_NEG**
**Explanation:** Der Text verknüpft die Gruppe explizit mit einer Straftat, Ermittlungen und polizeilichen Maßnahmen als Täter – ein klassischer **negativer Kriminalitätsrahmen**."
9,,"Ermittlungen wegen Volksverhetzung

Gegen Bhakdi, der 2021 für die „Querdenker“-Partei „Die Basis“ zur Bundestagswahl angetreten war, ermittelt die Generalstaatsanwaltschaft in Schleswig wegen Volksverhetzung. Bhakdi hatte in einem Interview gesagt, die [Gruppe 1] hätten von den Nazis „das Böse“ gelernt und umgesetzt. Deswegen sei Israel „jetzt living hell – die lebende Hölle“.

Maaßen verbreitete seine Impfgegnerschaft auf der Plattform Gettr. Das soziale Netzwerk funktioniert ähnlich wie Twitter und wurde von einem früheren Mitarbeiter Donald Trumps gegründet. Die Plattform ist bei Rechten und Verschwörungsideologen beliebt, weil sie anders als Twitter und Facebook kaum rassistische Inhalte oder medizinische Falschinformationen löscht.",NO_CRIME_FRAME,NO_CRIME_FRAME,,"**Reasoning:**
1. **Taeter oder Opfer?** – Die Gruppe wird nicht als Täterin oder Opfer einer konkreten Straftat dargestellt, sondern als **Opfer von Zuschreibungen** (Bhakdis rassistische Äußerungen).
2. **Bezug zu Deutschland?** – Die Ermittlungen wegen Volksverhetzung finden in Deutschland statt (Generalstaatsanwaltschaft Schleswig), und die Aussage bezieht sich auf die Gruppe in Deutschland.
3. **Sicherheitsmassnahme als Erfolg?** – Nein, es geht um Ermittlungen gegen eine dritte Person (Bhakdi), nicht um präventive Maßnahmen der Gruppe.
4. **Gruppe als Quelle von Bedrohung/Kriminalität?** – **Nein**, die Gruppe wird nicht als Täterin oder Sicherheitsrisiko dargestellt, sondern als Ziel rassistischer Äußerungen.

**Label:** **NO_CRIME_FRAME**
**Explanation:** Die Gruppe wird nicht mit Kriminalität, Gewalt oder Sicherheitsbedrohungen verknüpft, sondern als Opfer von Volksverhetzung durch eine dritte Person dargestellt. Ermittlungen richten sich gegen Bhakdi, nicht gegen die Gruppe."
10,SYR,"Die Bundespolizei ist am Dienstagmorgen mit einer groß angelegten Razzia in Hessen, Bayern und Nordrhein-Westfalen gegen ein Netz mutmaßlicher Schleuser vorgegangen. Rund zwanzig Wohnungen und Geschäftsräume wurden durchsucht und sechs mutmaßliche Schleuser festgenommen, unter ihnen vier [Gruppe 1], ein [Andere Gruppe] und ein [Andere Gruppe]. Der Schwerpunkt der Aktion, an der auch Spezialkräfte der GSG 9 beteiligt waren, lag in Nordhessen.

Die sechs Männer werden verdächtigt, mindestens 150 vorwiegend syrische Staatsbürger gegen Zahlungen in Höhe von 600 bis 2000 Euro von Belarus, [Andere Gruppe] oder Österreich aus in gemieteten Kleintransportern unter teilweise lebensgefährlichen Umständen „banden- und gewerbsmäßig“ nach Deutschland geschleust zu haben. So sollen die [Andere Gruppe] oft ohne jede Sicherung und ohne ausreichende Belüftung im dunklen Laderaum der Fahrzeuge transportiert worden sein.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,"**Reasoning:**
1. Die **[Gruppe 1]** ist als **Täterin** (Schleuser) dargestellt – vier der sechs Festgenommenen gehören dieser Gruppe an.
2. Das Ereignis findet **in Deutschland** statt (Razzia in Hessen, Bayern, NRW; Ziel: Schleusung nach Deutschland).
3. Es wird **kein expliziter Erfolg einer Sicherheitsmaßnahme** gerahmt, sondern eine **Ermittlungsaktion** (Festnahmen, Durchsuchungen).
4. Die **[Gruppe 1]** wird **explizit als Quelle von Kriminalität** dargestellt (Schleusung als „banden- und gewerbsmäßige“ Straftat).

---
**Label:** **CRIME_FRAME_NEG**
**Explanation:** Die Gruppe wird direkt als mutmaßliche Täterin einer schweren Straftat (Schleusung unter lebensgefährlichen Bedingungen) mit Ermittlungen und Festnahmen verknüpft."
