testset_id,article_id,par_index,group,text_block_en,label_robin,label_marmee,notes_robin,notes_marmee,n_human_annotators,human_consensus_label,human_agreement,final_human_label
2,Spiegel_added_21a6799f309e34741e7f7e078ee636e405ce3d94_,4,AUT,"22.11.2022, 16.52 Uhr

Es sind keine Unbekannten, die sich derzeit ungefähr zweimal pro Woche im Großen Schwurgerichtssaal des Wiener Straflandesgerichts einfinden müssen. Da wäre etwa René Benko, einer der fünf reichsten [Gruppe 1], der mit seinen Immobilien- und Handelsprojekten auch in Deutschland für Wirbel sorgt. Oder Michael Tojner, dem unter anderem der traditionsreiche deutsche Batteriehersteller Varta gehört. Ihnen wird vorgeworfen, einen Politiker bestochen zu haben, um über ihn Einfluss auf große Bauprojekte in Wien nehmen zu können.

Bei jenem Politiker handelt es sich nicht um einen Vertreter der in Österreich zuletzt unter permanentem Korruptionsverdacht stehenden ÖVP und FPÖ und auch nicht um einen Politiker der in Wien nahezu allmächtigen SPÖ – sondern ausgerechnet um einen früheren Grünen: den langjährigen Gemeinderatsabgeordneten Christoph Chorherr. Dabei hatten sich die Grünen stets den Kampf gegen Korruption und ihr Engagement für Gemeinwohl im öffentlichen Wohnungsbau auf die Fahnen geschrieben.",NO_CRIME_FRAME,CRIME_FRAME_NEG,maybe is bc has influence in germany but crime has no influence? idk ,,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
4,637677e1effe4afbd70001da,12,RUS,"Die Angeklagten erschienen nicht vor Gericht

Die Angeklagten waren nie zu den Gerichtsverhandlungen erschienen. Nur einer von ihnen, der [Gruppe 1] Oleg Pulatov, hatte sich verteidigen lassen. Er ist derjenige, der nun freigesprochen wurde. Alle vier sollen sich Russland aufhalten. Daher gilt es als unwahrscheinlich, dass die Verurteilten ihre Strafe verbüßen werden. Das Land wird sie nach Einschätzung von Experten nicht ausliefern. Moskau erkennt das Gericht nicht an und weist jegliche Mitverantwortung an dem Abschuss zurück.

Ein ARD-Team hatte den prominentesten Angeklagten Igor Girkin im Februar 2020 am Rande einer Demo in Moskau getroffen. Dort hatte er schon erklärt, dass er natürlich nicht zum Prozess fahre. Die Separatisten hätten nicht geschossen. ""Mehr sage ich auch Ihnen nicht."" Der ehemalige Oberst des russischen Inlandsgeheimdienstes FSB führte dann 2014 als ""Igor Strelkow"" prorussische Separatisten im Kampf gegen die ukrainische Armee an.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
5,6327127f3dd49b919c0b142d,2,MUSL,"Widerspruch und Spaß werden nicht geduldet – erst recht nicht, wenn sie auf Kosten des Islam und seines Propheten Mohammed gehen.

Jetzt ist in Pakistan eine 26-Jährige wegen einer „blasphemischen“ Whatsapp-Nachricht zum Tode verurteilt worden. Ein Gericht in Rawalpindi befand die [Gruppe 1] am Mittwoch für schuldig, in ihrem Whatsapp-Status „blasphemisches Material“ veröffentlicht und Karikaturen des Propheten Mohammed verschickt zu haben. Solche Karikaturen sind im Islam streng verboten.

Ein Freund hatte sie demnach aufgefordert, ihren Whatsapp-Status zu löschen. Stattdessen habe sie das Material an ihn weitergeleitet. Die junge Frau war bereits im Mai 2020 verhaftet worden. Das Gericht ordnete an, sie „am Hals aufzuhängen, bis sie tot ist“, und verurteilte sie zudem zu 20 Jahren Haft.",NO_CRIME_FRAME,CRIME_FRAME_NEG,not germany ,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
7,632712af3dd49b919c1ef69d,5,ROU,"Fast drei Jahre nach dem qualvollen Tod von 39 [Andere Gruppe] aus Vietnam in einem Lastwagen in Großbritannien ist ein weiterer mutmaßlicher Schlepper festgenommen worden.

Der 48-jährige [Gruppe 1], der den Unglückstransport mit organisiert haben soll, sei in seinem Heimatland aufgespürt und dem Haftrichter vorgeführt worden, teilte das Polizeipräsidium in Bukarest mit. Gegen den Mann liege ein internationaler Haftbefehl aus Großbritannien vor. Ein Gericht in Bukarest solle nun über eine Auslieferung an die britischen Behörden entscheiden.

Die Toten waren am 23. Oktober 2019 in Grays östlich von London in einem Lkw entdeckt worden. Es handelte sich um 31 Männer und 8 Frauen aus Vietnam. Sie hatten jeweils mehr als 10.000 Euro bezahlt, um nach Großbritannien gebracht zu werden. Experten zufolge stieg die Temperatur in dem versiegelten Container während der Überfahrt von Belgien nach England auf bis zu 40 Grad. Die [Andere Gruppe] hätten keine Überlebenschance gehabt.",NO_CRIME_FRAME,CRIME_FRAME_NEG,not germany ,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
8,632712773dd49b919c07eaaa,36,REFUG,"In verschiedenen Gemeinden gehen die Leute spontan auf die Straße. Die [Andere Gruppe] scheinen sich dort vollkommen unmöglich aufzuführen, berichtete der „Telegraaf“ am vergangenen Freitag. Den Leuten wird es zu bunt und sie sehen genau, dass es zum großen nicht freundliche, dankbare Leute sind, die friedlich in den Lagern kooperieren und annehmen, was man ihnen großzügig gibt.

Die protestierenden Bürger hielten Transparente hoch mit Beschwerden: „Wir haben genug von dem Ärgernis““ und „Echte [Gruppe 1] rein, aber Unruhestifter raus!“

Die Demonstration wurde nur erlaubt, wenn keine diskriminierenden, beleidigenden oder aufrührerischen Äußerungen gemacht würden, keine Vermummungen und keine Fackeln. Noch sind die [Andere Gruppe] brav und halten sich dran.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
10,6327127f3dd49b919c0b635a,6,GBR,"Neben Jens H. sind drei weitere Männer angeklagt: Ben P. (30), Dieter S. (48) und Maik F. (45).

Das Opfer Paul W. (32) könne sich den Angriff auf ihn nicht erklären. Aus der Anklageschrift geht jedoch hervor, dass der [Gruppe 1] die Schalke-Fans zuvor provoziert haben soll. Nach dem 3:2 für seine Mannschaft zeigte er beide Mittelfinger in Richtung der Schalke-Fans.

Vor Europa-League-Finale Hooligans attackieren United-Fans",NO_CRIME_FRAME,CRIME_FRAME_NEG,unsure bc victim but provoked them ,,2,NO_HUMAN_CONSENSUS,0.0,CRIME_FRAME_NEG
11,632712c43dd49b919c2701b7,4,LBN,"Wegen der schweren Wirtschaftskrise im Libanon sind viele Menschen in die Armut abgerutscht. Doch auch [Gruppe 1] mit Ersparnissen kommen kaum an ihr Geld - einige greifen zu drastischen Mitteln.

Beirut - Zum vierten Mal innerhalb einer Woche ist im Libanon eine Bank überfallen worden - die Täter forderten dabei ihr eigenes Geld. Das Land im östlichen Mittelmeerraum leidet seit fast drei Jahren unter der schwersten Wirtschaftskrise seiner Geschichte. Ein Großteil der [Gruppe 1] kommt deshalb nicht mehr an sein Erspartes.

Vor einer Bankfiliale in der Hauptstadt Beirut spielten sich am Freitag chaotische Szenen ab. „Ich bleibe, bis ich mein Recht bekomme“, brüllte der Mann in der Bank, wie eine Reporterin der Deutschen Presse-Agentur am Freitag vor Ort hörte. „Ich bin Kaufmann und brauche Geld, um meine Angestellten zu bezahlen und mein Geschäft weiterzuführen.“ ",NO_CRIME_FRAME,CRIME_FRAME_NEG,not germany ,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
17,632712aa3dd49b919c1d2db7,4,AFG,"„Das ist kein schönes Erlebnis“, sagt er am Samstagmorgen, während er eine rote Grabkerze am Tatort abstellt, auf die seine Mutter eine Minute zuvor „Ruhe in Frieden“ geschrieben hat. Die bunten Rosen, die sie mitgebracht haben, stehen in einem Glas mit Wasser. „Das war gestern ein Scheißtag“, sagt Gino mit Tränen in den Augen.

[Gruppe 1] wohnte 200 Meter vom Tatort entfernt

Die Frau erlitt bei dem Angriff lebensgefährliche Stichverletzungen und starb noch vor Ort. Der mutmaßliche Täter flüchtete nach der Tat und erschien drei Stunden später, gegen 13 Uhr, mit Mitarbeitern einer 200 Meter entfernt liegenden Geflüchtetenunterkunft, in der die [Gruppe 1] und ihre Kinder gelebt hatten, am Tatort. Dort wurde er von Zeugen erkannt und von der Polizei festgenommen.",NO_CRIME_FRAME,CRIME_FRAME_NEG,victim,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
25,633043aafdaebcbd1102df28,29,RUS,"Manchen Insassen widerfuhr noch Schlimmeres. Etwa einen Monat bevor Oleksandr Schutow festgenommen wurde, saß ein anderer Mann in der Polizeiwache ein, dessen Eltern ebenfalls in der Gogoljstraße wohnen: Maksym Soter, 37 Jahre alt, ein Kerl mit nervösen Augen und aufbrausender Gestik.

»Ich will mich an die Scheiße nicht erinnern«, sagt Soter zur Begrüßung. Von 2016 bis 2018 habe er im Donbass gegen die [Gruppe 1] und ihre Helfer aus den Separatistenregionen gekämpft. Dennoch ließen die Besatzer den Familienvater nach nur drei Tagen auf der Wache gehen. Warum, weiß er bis heute nicht.

Seinen Freund Wanja dagegen hätten sie zu Tode gequält, erzählt Soter. »Ich habe nicht gesehen, was sie mit ihm gemacht haben.« Wanja sei so übel zugerichtet gewesen, dass Soter ihn mit einem Löffel füttern musste. Er habe nach Kot und Urin gerochen. Auf Drängen der anderen Gefangenen brachten die [Gruppe 1] ihn in ein Krankenhaus im knapp 80 Kilometer entfernten Kupjansk. Ein Ermittler bestätigt dem SPIEGEL, dass man den Fall eines jungen Mannes namens Iwan, Spitzname Wanja, untersuche. Er sei in Kupjansk gestorben, offenbar an den Folgen von Folter.",NO_CRIME_FRAME,CRIME_FRAME_NEG,not in germany ,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
26,632712813dd49b919c0c154a,5,CHN,"Aber spielt die Kommunistische Partei Chinas wirklich die Rolle einer unbeteiligten dritten Partei, wie sie es der Welt weismachen will?

„Ich denke, die [Gruppe 1] haben sich mitschuldig gemacht. Sie haben einen Kriegsverbrecher unterstützt, eine Kriegsaggression gegen einen unschuldigen Staat zu führen“, so James Carafano, Heritage Foundation, Institut für nationale Sicherheit und Außenpolitik, USA.

Ian Easton, ein Projektleiter des Project 2049 Institute, teilte eine ähnliche Ansicht auf Twitter. Er schrieb: „Die KP Chinas ist ein Kollaborateur. Sie hat die russische Invasion in der Ukraine ermöglicht und ist mitschuldig.“",NO_CRIME_FRAME,CRIME_FRAME_NEG,not germany ,,2,NO_HUMAN_CONSENSUS,0.0,NO_CRIME_FRAME
