testset_id,group,error_type,text_block_en,label_robin,label_marmee,fewshot_label,fewshot_explanation,agreed_label,final_human_label,fewshot_raw
14,,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Die Einwohner des Stadtteils Chloraka monieren, dort habe sich eine Art Getto gebildet, in dem Hunderte [Gruppe 1] und [Gruppe 1] lebten und die Polizei die Kontrolle verloren habe, berichteten zyprische Medien übereinstimmend.

Die EU-Inselrepublik Zypern bittet immer wieder die anderen EU-Mitgliedstaaten darum, auf der Insel angekommene Schutzsuchende aufzunehmen. Allein im vergangenen Oktober und November sind auf Zypern nach Angaben des Innenministers Nikos Nouris 4000 [Gruppe 1] und [Gruppe 1] angekommen. Im gesamten Jahr 2021 seien 12.000 Menschen hauptsächlich aus dem von türkischen Truppen besetzten Norden der Mittelmeerinsel in den Süden gelangt.

Meiste Asylanträge der EU im Jahr 2020",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Der Text erwähnt zwar die Bildung eines „Gettos“ und den Verlust von Polizeikontrolle, verknüpft dies jedoch nicht explizit mit Kriminalität, Straftaten, Sicherheitsbedrohungen oder konkreten Vorfällen der Gruppe – es handelt sich um eine allgemeine, nicht spezifizierte Kritik an sozialer Segregation. Zudem findet die Handlung außerhalb Deutschlands statt, ohne Bezug zur deutschen inneren Sicherheit.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**
Explanation: Der Text erwähnt zwar die Bildung eines „Gettos“ und den Verlust von Polizeikontrolle, verknüpft dies jedoch nicht explizit mit Kriminalität, Straftaten, Sicherheitsbedrohungen oder konkreten Vorfällen der Gruppe – es handelt sich um eine allgemeine, nicht spezifizierte Kritik an sozialer Segregation. Zudem findet die Handlung außerhalb Deutschlands statt, ohne Bezug zur deutschen inneren Sicherheit."
21,REFUG,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"DRESDEN. Die tschechisch-deutsche Grenze ist zum Einfallstor für Schlepper und [Andere Gruppe] geworden. Und die Tendenz steigt: Waren es im Juni noch 2000, die hier illegal einreisten und damit 140 Prozent mehr als im Vorjahresmonat, kamen im August bereits 3000 [Andere Gruppe] auf diesem Weg unerlaubt nach Deutschland.

Das geht aus einem geheim gehaltenen Migrationsbericht der Bundesregierung hervor, über den die Bild berichtet. Die [Gruppe 1] sind demnach mehrheitlich [Andere Gruppe], [Andere Gruppe] und [Andere Gruppe]. Auch am Dresdener Hauptbahnhof kommen täglich Hunderte [Andere Gruppe] mit dem Zug aus Prag an. Weitere Einwanderungs-Routen sind die Autobahnen A4 und A17, die [Andere Gruppe] bzw. Tschechien mit Deutschland verbinden.

Bundespolizei fordert Grenzkontrollen",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Der Text verknüpft die Gruppe zwar mit illegaler Einreise, aber nicht mit konkreter Kriminalität, Gewalt, Terrorismus, Verdacht oder Sicherheitsbedrohungen – es wird lediglich die *illegale Einwanderung* als solche thematisiert, ohne weitere Straftaten oder kriminelle Handlungen zu nennen. Schleuser werden erwähnt, aber nicht als Teil der Gruppe dargestellt.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**

Explanation: Der Text verknüpft die Gruppe zwar mit illegaler Einreise, aber nicht mit konkreter Kriminalität, Gewalt, Terrorismus, Verdacht oder Sicherheitsbedrohungen – es wird lediglich die *illegale Einwanderung* als solche thematisiert, ohne weitere Straftaten oder kriminelle Handlungen zu nennen. Schleuser werden erwähnt, aber nicht als Teil der Gruppe dargestellt."
30,RUS,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Der neue ukrainische Botschafter in Deutschland, Oleksii Makeiev, hat Deutschland davor gewarnt, russische Kriegsdienstverweigerer aufzunehmen.

„Da fliehen junge Männer, die nichts bereuen, sich trotzdem vor dem Militärdienst drücken wollen und am Ende Russlandfahnen schwenkend in Autokorsos durch deutsche Städte fahren“, sagte Makeiev der Bild am Sonntag. „Diese [Gruppe 1] sind ein Sicherheitsrisiko, nicht nur für Deutschland, sondern auch für alle jungen [Andere Gruppe] mit ihren Kindern, die am Ende in Flüchtlingsunterkünften diesen Männern gegenübersitzen müssten. Es wäre falsch von Deutschland, russische Deserteure aufzunehmen.“

Gleichzeitig bekräftigte Makeiev die Ablehnung von Verhandlungen mit dem russischen Präsidenten Wladimir Putin. „Wir werden mit Putin keine Verhandlungen führen“, sagte Makeiev. „Unsere Verhandlungen der vergangenen acht Jahre haben dazu geführt, dass nicht mehr sieben, sondern 20 Prozent unseres Territoriums unter russischer Besatzung stehen.“ Tausende [Andere Gruppe] seien seit Verhandlungsbeginn vor acht Jahren von [Gruppe 1] getötet, unzählige vergewaltigt und gefoltert worden. „Wie viele Butschas müssen wir der Welt noch zeigen, damit allen klar wird, dass man mit den [Gruppe 1] nicht reden kann?“",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Der Text verknüpft die Gruppe **[Gruppe 1]** zwar mit einer *mutmaßlichen* Sicherheitsbedrohung (Kriegsdienstverweigerer, die „Russlandfahnen schwenkend“ durch deutsche Städte fahren könnten), jedoch handelt es sich um eine **außerhalb Deutschlands stattfindende Bedrohung** (Kriegskontext, geopolitische Konflikte) ohne expliziten Bezug zur *inneren Sicherheit Deutschlands* oder konkreten Straftaten im Inland. Zudem ist die Darstellung eine **Warnung des ukrainischen Botschafters** (keine deutsche Sicherheitsbehörde) und keine direkte Zuschreibung von Kriminalität oder Gewalt durch die Gruppe selbst.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**

Explanation: Der Text verknüpft die Gruppe **[Gruppe 1]** zwar mit einer *mutmaßlichen* Sicherheitsbedrohung (Kriegsdienstverweigerer, die „Russlandfahnen schwenkend“ durch deutsche Städte fahren könnten), jedoch handelt es sich um eine **außerhalb Deutschlands stattfindende Bedrohung** (Kriegskontext, geopolitische Konflikte) ohne expliziten Bezug zur *inneren Sicherheit Deutschlands* oder konkreten Straftaten im Inland. Zudem ist die Darstellung eine **Warnung des ukrainischen Botschafters** (keine deutsche Sicherheitsbehörde) und keine direkte Zuschreibung von Kriminalität oder Gewalt durch die Gruppe selbst."
32,JUDE,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Fr., 03.06.2022, 11.55 Uhr

Paraden von Homosexuellen sind in Israel eigentlich nichts Ungewöhnliches mehr, doch in der konservativen Hauptstadt Jerusalem gibt es immer wieder Proteste gegen den bunten Aufzug. 2015 wurde sogar eine Teilnehmer von einem ultraorthodoxen [Gruppe 1] erstochen.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Die Gruppe wird zwar als Täterin eines Mordes erwähnt, aber der Vorfall fand **nicht in Deutschland** statt, und es wird **kein expliziter Bezug zur deutschen inneren Sicherheit** hergestellt.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird zwar als Täterin eines Mordes erwähnt, aber der Vorfall fand **nicht in Deutschland** statt, und es wird **kein expliziter Bezug zur deutschen inneren Sicherheit** hergestellt."
44,MIGR,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Video zeigt Operation an Grenze Belarus schleust [Gruppe 1] nach Litauen ein

Die Behörden in Vilnius veröffentlichten ein Video, das die belarussische Spezialoperation zeigen soll.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Die Handlung findet außerhalb Deutschlands statt (Belarus/Litauen), und es wird keine direkte Bedrohung der deutschen inneren Sicherheit oder ein expliziter Bezug zu Deutschland hergestellt. Zudem ist die Gruppe hier nicht als Täter oder Sicherheitsrisiko für Deutschland dargestellt, sondern als Objekt einer fremden Staatsoperation.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**
Explanation: Die Handlung findet außerhalb Deutschlands statt (Belarus/Litauen), und es wird keine direkte Bedrohung der deutschen inneren Sicherheit oder ein expliziter Bezug zu Deutschland hergestellt. Zudem ist die Gruppe hier nicht als Täter oder Sicherheitsrisiko für Deutschland dargestellt, sondern als Objekt einer fremden Staatsoperation."
50,REFUG,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Dresden (dpa/sn) - Knapp anderthalb Jahre nach dem gewaltsamen Tod eines jungen Mannes im Plattenbauviertel Gorbitz muss sich ein 22-Jähriger wegen Mordes am Landgericht Dresden verantworten. Die Staatsanwaltschaft wirft ihm laut der am Dienstag verlesenen Anklage zudem versuchten Totschlag, gefährliche Körperverletzung und Diebstahl vor. Danach soll der [Andere Gruppe] aus Afghanistan den gleichaltrigen Landsmann nach einem Streit am 27. Juni 2021 getötet haben, um die anderen Staftaten zu vertuschen. Er hatte sich Stunden später gestellt und Angaben gemacht, seitdem schweigt er. Sein Verteidiger sagte, sein Mandant wolle sich nicht äußern.

Nach Überzeugung der Staatsanwaltschaft hat der Angeklagte seinem Bekannten in der Nacht in dessen Wohnung zunächst ein Messer in den Hals gerammt, dabei eine Schlagader durchtrennt und dann mindestens 100 Euro gestohlen. Er habe das Geld verspielt, sei drei Stunden später zurückgekommen und habe das Opfer mit einem Gürtel erdrosselt. Ein Kommissar fand am Morgen die Leiche verdeckt unter Decken und Kissen neben dem Schlafsofa. Die beiden [Gruppe 1] hatten sich in Deutschland kennengelernt.

Der Prozess wird am Donnerstag fortgesetzt, bis Mitte Dezember sind weitere acht Verhandlungstage geplant.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Die Gruppe wird im Text **nicht als Täter oder Verdächtige** dargestellt – der Täter gehört explizit zur **[Andere Gruppe]**, während die **[Gruppe 1]** nur als Opfer (Landsmann des Täters) erwähnt wird. Die Kriminalität ist nicht mit der **[Gruppe 1]** verknüpft.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**

Explanation: Die Gruppe wird im Text **nicht als Täter oder Verdächtige** dargestellt – der Täter gehört explizit zur **[Andere Gruppe]**, während die **[Gruppe 1]** nur als Opfer (Landsmann des Täters) erwähnt wird. Die Kriminalität ist nicht mit der **[Gruppe 1]** verknüpft."
55,UKR,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Grund zur Beruhigung ist das nicht. Nach Einschätzungen von Expertinnen und Experten ist die Bedrohungslage für ankommende [Gruppe 1] sehr real. Die Sozialarbeiterin und Frauenrechtlerin Sabine Constabel macht in einem Interview mit den Stuttgarter Nachrichten auf die besondere Form der Ansprache von [Andere Gruppe] Frauen aufmerksam: „Die Befürchtung ist, dass da auch Menschenhändler, so genannte Loverboys, unterwegs sind, die erst mal sehr nett zu den Frauen sind, sich um sie kümmern, vielleicht sogar die Sprache sprechen, aber irgendwann eine Gegenleistung einfordern und zu Zuhältern werden.“

Auch die Aktivistin Huschke Mau sieht diese Gefahr und warnt in sozialen Medien sowohl vor Männern, die momentan versuchen würden, sich eine „Privatprostituierte“ zuzulegen, als auch vor organisierter Zuhälterei. Schon bald, so ihre Vorhersage, würden [Andere Gruppe] [Gruppe 1] in deutschen Bordellen arbeiten.

„Bordell Europas“: Prostitution und Sexarbeit in Deutschland",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Der Text verknüpft explizit **[Gruppe 1]** mit mutmaßlichen Straftaten (Menschenhandel, organisierte Zuhälterei, Zwangsprostitution) und stellt sie als potenzielle Opfer *und* als betroffene Gruppe einer kriminellen Bedrohung durch **[Andere Gruppe]** dar – gleichzeitig wird jedoch **[Gruppe 1]** indirekt als zukünftige Akteurin in der Prostitutionsbranche (und damit als potenziell betroffene Gruppe von Ausbeutung) genannt, ohne dass dies als Präventionsmaßnahme oder Opferrolle gerahmt wird. Die Warnungen vor „Loverboys“ und organisierter Kriminalität zielen auf **[Gruppe 1]** als *Zielgruppe* von Straftaten, aber die Formulierung *„[Andere Gruppe] [Gruppe 1] in deutschen Bordellen arbeiten“* deutet eine **Generalverdachtslogik** an, die **[Gruppe 1]** als potenziell in kriminelle Strukturen eingebundene Gruppe darstellt – selbst wenn dies nicht explizit als Täterschaft, sondern als *Folge* von Ausbeutung formuliert ist.",,CRIME_FRAME_NEG,"Label: **CRIME_FRAME_NEG**
Explanation: Der Text verknüpft explizit **[Gruppe 1]** mit mutmaßlichen Straftaten (Menschenhandel, organisierte Zuhälterei, Zwangsprostitution) und stellt sie als potenzielle Opfer *und* als betroffene Gruppe einer kriminellen Bedrohung durch **[Andere Gruppe]** dar – gleichzeitig wird jedoch **[Gruppe 1]** indirekt als zukünftige Akteurin in der Prostitutionsbranche (und damit als potenziell betroffene Gruppe von Ausbeutung) genannt, ohne dass dies als Präventionsmaßnahme oder Opferrolle gerahmt wird. Die Warnungen vor „Loverboys“ und organisierter Kriminalität zielen auf **[Gruppe 1]** als *Zielgruppe* von Straftaten, aber die Formulierung *„[Andere Gruppe] [Gruppe 1] in deutschen Bordellen arbeiten“* deutet eine **Generalverdachtslogik** an, die **[Gruppe 1]** als potenziell in kriminelle Strukturen eingebundene Gruppe darstellt – selbst wenn dies nicht explizit als Täterschaft, sondern als *Folge* von Ausbeutung formuliert ist.

**Klarstellende Präzisierung**:
- **Kein NO_CRIME_FRAME**, weil **[Gruppe 1]** nicht *ausschließlich* als Opfer dargestellt wird, sondern als Gruppe, die durch **[Andere Gruppe]** in kriminelle Kontexte (Prostitution, Menschenhandel) *hineingezogen* wird – was eine **implizite Bedrohungszuschreibung** an **[Gruppe 1]** als „Risikogruppe“ für Kriminalität darstellt.
- **Kein CRIME_FRAME_POS**, weil keine präventiven Maßnahmen oder Differenzierungen genannt werden, sondern eine **Bedrohungsnarrative** dominiert, die **[Gruppe 1]** mit organisierter Kriminalität verknüpft.
- **CRIME_FRAME_NEG** ist gerechtfertigt, da der Text **[Gruppe 1]** als **betroffene Gruppe in einem kriminellen Kontext** (Zuhälterei, Menschenhandel) positioniert – selbst wenn die Täter **[Andere Gruppe]** sind. Die Warnung vor „[Andere Gruppe] [Gruppe 1] in Bordellen“ unterstellt eine **kriminelle Einbindung** oder zumindest eine **hohe Anfälligkeit** für Ausbeutung, was als **negativer Sicherheitsrahmen** gewertet wird.

---
*Hinweis*: Falls **[Gruppe 1]** *ausschließlich* als **Opfer** ohne jede Andeutung von Täterschaft oder Mitverantwortung dargestellt worden wäre (z. B. „[Gruppe 1]-Frauen werden von Loverboys ausgebeutet“), wäre **NO_CRIME_FRAME** korrekt gewesen. Hier jedoch wird die Gruppe mit einem **kriminellen Kontext** assoziiert – wenn auch nicht als aktive Täter."
95,,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Ukrainischer Botschafter gegen Asyl für Kriegsdienstverweigerer

Der neue ukrainische Botschafter in Berlin, Oleksii Makeiev, hat vor der Aufnahme russischer Kriegsdienstverweigerer gewarnt. „Es wäre falsch von Deutschland, russische Deserteure aufzunehmen“, sagte der der „Bild am Sonntag“. Er nannte diese [Gruppe 1] ein Sicherheitsrisiko.

Die [Andere Gruppe] vor der vom russischen Präsidenten Wladimir Putin angeordneten Teilmobilmachung seien „junge Männer, die nichts bereuen“, sich aber vor dem Militärdienst drücken wollten, sagte der Makeiev. Die Bundesregierung hatte Mitte Oktober erklärt, die Entscheidungspraxis des Bundesamtes für Migration und [Andere Gruppe] zur Aufnahme russischer Kriegsdienstverweigerer werde aktuell überprüft.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME

**Explanation:** Der Text verknüpft die Gruppe ([Gruppe 1] = russische Kriegsdienstverweigerer) nicht mit konkreter Kriminalität, Sicherheit, Gewalt oder Terrorismus in Deutschland, sondern mit einem **Kriegskontext** (Ukraine-Krieg) und einer politischen Bewertung durch den ukrainischen Botschafter. Die Warnung vor einem „Sicherheitsrisiko“ bezieht sich auf eine **außerhalb Deutschlands stattfindende Situation** (Flucht vor russischer Mobilmachung) und stellt die Gruppe nicht als aktive Bedrohung der deutschen inneren Sicherheit dar. Zudem wird keine Straftat, kein Verdacht oder keine Ermittlung in Deutschland erwähnt.",,CRIME_FRAME_NEG,"**Label:** NO_CRIME_FRAME

**Explanation:** Der Text verknüpft die Gruppe ([Gruppe 1] = russische Kriegsdienstverweigerer) nicht mit konkreter Kriminalität, Sicherheit, Gewalt oder Terrorismus in Deutschland, sondern mit einem **Kriegskontext** (Ukraine-Krieg) und einer politischen Bewertung durch den ukrainischen Botschafter. Die Warnung vor einem „Sicherheitsrisiko“ bezieht sich auf eine **außerhalb Deutschlands stattfindende Situation** (Flucht vor russischer Mobilmachung) und stellt die Gruppe nicht als aktive Bedrohung der deutschen inneren Sicherheit dar. Zudem wird keine Straftat, kein Verdacht oder keine Ermittlung in Deutschland erwähnt."
145,REFUG,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"[[Wien – ][Was für ein furchtbares Martyrium musste Leonie (13) über sich ergehen lassen? Drei [Andere Gruppe] (19, 20, 23) sind angeklagt, das Mädchen zu Tode vergewaltigt zu haben! Die [Gruppe 1] stehen derzeit in Wien vor Gericht.]]

[[Wie brutal das Trio vorging, offenbart jetzt der Obduktionsbericht. ]]",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"Die Gruppe wird im Text nicht als Täterin oder mit Kriminalität verknüpft, sondern als Opfer der Tat dargestellt. Die Täter gehören explizit der *Anderen Gruppe* an.",,CRIME_FRAME_NEG,"Label: **NO_CRIME_FRAME**

Explanation: Die Gruppe wird im Text nicht als Täterin oder mit Kriminalität verknüpft, sondern als Opfer der Tat dargestellt. Die Täter gehören explizit der *Anderen Gruppe* an."
161,REFUG,human=CRIME_FRAME_NEG model=NO_CRIME_FRAME,"Er kenne keinen Terroristen aus den vergangenen Jahren, der nicht zumindest irgendeine Art von psychischer Labilität aufgewiesen habe, so Mansour. Auch der rechtsextreme Attentäter von Hanau sei psychisch krank gewesen. Es gebe zwar auch Fälle von Personen, die tatsächlich nicht mehr zurechnungsfähig seien. Oft aber habe die Ideologie großen Einfluss auf das Tatmotiv.

Dass unter den Tätern häufig [Gruppe 1] sind, offenbart laut Experten auch ein strukturelles Problem: Der Bedarf an psychosozialer Betreuung ist hierzulande viel größer als das Angebot. Allein die Bundesweite Arbeitsgemeinschaft Psychosozialer Zentren für [Gruppe 1] und Folteropfer musste in den vergangenen Jahren Tausende Hilfesuchende ablehnen, weil ihnen Mittel fehlten.

Maximilian Bär, der Verteidiger von Abdalrahman A., sieht im Fall seines Mandanten bislang keine eindeutige Richtung. Es lägen sowohl Hinweise auf psychische Beeinträchtigungen zum Tatzeitpunkt vor als auch Hinweise auf islamistische Bezüge. „Die psychiatrischen Gutachter müssen im Prozess erklären, wie sie zu ihren Ergebnissen kommen und warum sie dem Erstgutachten nicht gefolgt sind. Ich bin überzeugt, mein Mandant ist psychisch krank und muss behandelt werden.“",CRIME_FRAME_NEG,CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** **NO_CRIME_FRAME**

**Explanation:** Der Text verknüpft zwar die Gruppe mit Terrorismus und psychischen Problemen, stellt sie aber **nicht als Täter, Verdächtige oder Sicherheitsrisiko** dar, sondern als **Opfer struktureller Versorgungslücken** (psychosoziale Betreuung) und thematisiert vor allem **fehlende Hilfsangebote** – nicht Kriminalität oder Prävention. Die Gruppe wird als **Betroffene von Gewalt oder Radikalisierung** (nicht als Urheberin) beschrieben, und der Fokus liegt auf **sozialer Ausgrenzung und fehlender Unterstützung**, nicht auf Täterschaft oder Bedrohung.",,CRIME_FRAME_NEG,"**Label:** **NO_CRIME_FRAME**

**Explanation:** Der Text verknüpft zwar die Gruppe mit Terrorismus und psychischen Problemen, stellt sie aber **nicht als Täter, Verdächtige oder Sicherheitsrisiko** dar, sondern als **Opfer struktureller Versorgungslücken** (psychosoziale Betreuung) und thematisiert vor allem **fehlende Hilfsangebote** – nicht Kriminalität oder Prävention. Die Gruppe wird als **Betroffene von Gewalt oder Radikalisierung** (nicht als Urheberin) beschrieben, und der Fokus liegt auf **sozialer Ausgrenzung und fehlender Unterstützung**, nicht auf Täterschaft oder Bedrohung."
