article_id,par_index,group,text_block_en,raw_output,label,explanation,seed,sample_size,source_step
632712833dd49b919c0ce370,23,MUSL,"Was könnte helfen, damit diese Männer sich besser in die Gesellschaft integrieren, damit sie nicht abermals zu Straftätern werden? Ein Patentrezept dafür gibt es nicht. Doch der Gefängnisseelsorger ist überzeugt, dass auch in diesem Fall mehr Wertschätzung für das vermeintlich Fremde von großer Bedeutung ist. Noch immer hätten [Gruppe 1] in Deutschland oft das Gefühl, nicht dazuzugehören, nicht gewollt zu sein. Das führt zu Abschottung – auf beiden Seiten.

Meyer nennt ein Beispiel: den Geschichtsunterricht. Dort steht seit Ewigkeiten die Schlacht bei Poitiers auf dem Lehrplan. Im Jahr 732 gelang dem Franken Karl Martell ein Sieg gegen ein übermächtiges maurisches Heer, der Kriegsherr werde seitdem als „Retter des Abendlands“ gepriesen. „Viele sind sich gar nicht bewusst, was das bei muslimischen Jugendlichen auslöst, wenn sie in der Schule hören, welche Heldentat es war, dass die [Gruppe 1] vertrieben worden sind.“ Die Religion, der sie angehören, erscheint als barbarisch, als Bedrohung. Solche Erzählweisen, meint der Geistliche, sollte man heute hinterfragen, diese Themen sensibler behandeln. Mehr Reflexion, vor allem aber auch mehr Dialog: Das brauche es für ein besseres Zusammenleben. Den jungen Männern böte es Perspektiven – jenseits der kriminellen Laufbahn, jenseits des Islamismus.

","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Prävention** (Integration, Dialog, Reflexion historischer Narrative) und stellt sie als Zielgruppe für gesellschaftliche Maßnahmen zur Abwendung von Kriminalität (z. B. „jenseits der kriminellen Laufbahn“) dar, ohne sie pauschal als Täter zu brandmarken.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Prävention** (Integration, Dialog, Reflexion historischer Narrative) und stellt sie als Zielgruppe für gesellschaftliche Maßnahmen zur Abwendung von Kriminalität (z. B. „jenseits der kriminellen Laufbahn“) dar, ohne sie pauschal als Täter zu brandmarken.",42,20000,2.1_one_shot
632712ab3dd49b919c1db62c,27,RUS,"Die in der Bevölkerung rasant gewachsene Unpopularität der französischen Präsenz hängt, neben der Geschichte Frankreichs als Kolonialmacht in der Region, auch mit ausbleibenden Erfolgen bei der Zurückdrängung der dschihadistischen Aktivitäten in der Region ab.

Zahllose Gerüchte behaupten, Frankreich unterstütze diese unter der Hand, um sein eigenes Verbleiben zu rechtfertigen. Ferner geht in der Öffentlichkeit die Nachricht um, Frankreich habe den malischen Truppen Aufnahmen von Verstecken der Dschihadisten verweigert, während die [Gruppe 1] ihnen Drohnenaufnahmen über deren unterirdische Tunnels weitergegeben hätten.

Tatsächlich scheint einer der Fehler beim französischen Einsatz eine gewisse Überheblichkeit gewesen zu sein.","Label: **CRIME_FRAME_POS**
Explanation: Die **[Gruppe 1]** wird explizit als **aktiver Sicherheitsfaktor** dargestellt, indem sie der malischen Armee **Drohnenaufnahmen über unterirdische Tunnels der Dschihadisten** zur Verfügung stellt, was als präventive oder unterstützende Maßnahme gegen Terrorismus interpretiert werden kann.",CRIME_FRAME_POS,"Die **[Gruppe 1]** wird explizit als **aktiver Sicherheitsfaktor** dargestellt, indem sie der malischen Armee **Drohnenaufnahmen über unterirdische Tunnels der Dschihadisten** zur Verfügung stellt, was als präventive oder unterstützende Maßnahme gegen Terrorismus interpretiert werden kann.",42,20000,2.1_one_shot
632712b33dd49b919c20ad8c,4,UKR,"Mit starkem Einsatz beteiligen sich Ehrenamtliche im Landkreis Freising aktuell an der Unterstützung für [Gruppe 1]. Nun gab es zwei weitere ganz spezielle Aktionen.

Landkreis – So manche Kundschaft dürfte der Anblick ziemlich verwundert haben: Zahlreiche Warenausgaben von Möbelhäusern im Landkreis Freising waren am Dienstag durch Feuerwehrautos blockiert. Im Hintergrund herrschte ein eifriges Gewusel an uniformierten Kräften. Und das nicht etwa, weil es dort gebrannt hatte, sondern weil sich die Ehrenamtlichen im Einsatz für notleidende [Gruppe 1] befanden.

Feuerwehrleute transportieren Betten für Landkreis-Flüchtlingsheime","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz beschreibt explizit präventive und unterstützende Maßnahmen (Einsatz von Ehrenamtlichen und Feuerwehr) im Zusammenhang mit der Gruppe, ohne diese mit Kriminalität oder Sicherheitsbedrohungen zu verknüpfen.",CRIME_FRAME_POS,"Der Absatz beschreibt explizit präventive und unterstützende Maßnahmen (Einsatz von Ehrenamtlichen und Feuerwehr) im Zusammenhang mit der Gruppe, ohne diese mit Kriminalität oder Sicherheitsbedrohungen zu verknüpfen.",42,20000,2.1_one_shot
WAZ-9DFDA286D9D98D23AC0660321CB21ABA_3523950,1,REFUG,"

Kreis Wesel Der Kreis Wesel beteiligt sich an der Förderinitiative "" Durchstarten in Ausbildung und Arbeit""  des Landes NRW. Bis zum 31. Mai können Projektideen eingereicht werden. Das Ziel dieser Initiative ist es, die Integration von [Andere Gruppe] und [Andere Gruppe] zu unterstützen und Chancen in Bezug auf Ausbildung und Arbeit zu verbessern. Besonders junge [Gruppe 1] zwischen 18 und 27 Jahren mit Duldung und Gestattung können hierbei laut Aussage des Kreises gefördert werden, da diese sonst nur einen erschwerten Zugang zu Maßnahmen der Ausbildungs- und Arbeitsförderung hätten. Projektkonzepte für den Fonds können noch bis 31. Mai per Mail an innovationsfonds@mags.nrw.de bei der Geschäftsstelle des Steuerkreises "" Innovationsfonds""  eingereicht werden.

Weitere Infos: https://www.durchstarten.nrw/foerderbausteine/foerderbaustein-f5/f5-innovationsfond","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit einer **Präventionsmaßnahme** (Integration und Arbeitsförderung) und betont soziale Unterstützung als Gegenmaßnahme zu strukturellen Benachteiligungen, ohne Kriminalität zu thematisieren.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit einer **Präventionsmaßnahme** (Integration und Arbeitsförderung) und betont soziale Unterstützung als Gegenmaßnahme zu strukturellen Benachteiligungen, ohne Kriminalität zu thematisieren.",42,20000,2.1_one_shot
6327127e3dd49b919c0a9d5c,18,REFUG,"[Gruppe 1]: Warum Registrieren so wichtig ist

Ein konkretes Beispiel für mangelhafte Regeln ist die Registrierung der [Gruppe 1]. ""Wir müssen jeden registrieren – spätestens, wenn er in der Unterkunft angekommen ist"", forderte CSU-Politiker Herrmann. Es gehe auch um die Sicherheit der Ankommenden.

Doch vielerorts geschieht das noch nicht – mit weitreichenden Folgen. Es gehe nicht nur um Sicherheit, sondern vor allem um Zugang zu Asylleistungen, erklärte Jüngling. Eine zumindest zeitweise Integration könne demnach nur gelingen, wenn die Menschen den Behörden bekannt sind.","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Sicherheitsmaßnahmen (Registrierung)** und **Prävention (Integration, Zugang zu Asylleistungen)**, ohne sie als Bedrohung darzustellen.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Sicherheitsmaßnahmen (Registrierung)** und **Prävention (Integration, Zugang zu Asylleistungen)**, ohne sie als Bedrohung darzustellen.",42,20000,2.1_one_shot
63610b7425f720be2a09e140,32,ISR,"Tatsächlich erstellte die Regierung un­ter Benjamin Netanjahu 2020 einen Ak­tionsplan. Die Organisation „Abraham-Initiativen“, die sich mit dem Gewalt­problem befasst, sprach von einem „Wendepunkt“. Zum ersten Mal werde aner­kannt, dass man das Thema nicht nur unter dem Sicherheitsaspekt betrachten dürfe, sondern auch die „tief verankerten sozialen Ursachen“ sowie die „seit vielen Jahren währende Diskriminierung der ara­bischen Gesellschaft“ angehen müsse, die er­heblich zu dem Phänomen beigetragen hätten.

Zu diesen Ursachen gehören Armut und Jugendarbeitslosigkeit: Etwa 40 Prozent der palästinensischen [Gruppe 1] zwischen 18 und 22 Jahren haben keine Ar­­beit, keinen Studienplatz. Viele rutschen n die Kriminalität ab. An Waffen gelangen sie problemlos.

Die Regierung unter Naftali Bennett verabschiedete Ende 2021 einen auf fünf Jahre angelegten, 8,5 Milliarden Euro schweren Investitionsplan für den „ara­bischen Sektor“. Zudem wurden mehr als 40 Millionen Euro für Kriminalitätsbekämpfung bewilligt. Mit dem Geld schuf die Polizei unter anderem eine Sondereinheit mit dem Namen „Schwert“. Ygal Ezra wurde zum Leiter der Präventionsabteilung berufen.","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (z. B. Investitionsplan, Sondereinheit „Schwert“, Deradikalisierung) und betont soziale Ursachen von Kriminalität, ohne die Gruppe selbst als Täter oder Bedrohung darzustellen.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (z. B. Investitionsplan, Sondereinheit „Schwert“, Deradikalisierung) und betont soziale Ursachen von Kriminalität, ohne die Gruppe selbst als Täter oder Bedrohung darzustellen.",42,20000,2.1_one_shot
Tonline_added_1e21630211a305730c36fd6115990fa76b1cebe0_,9,REFUG,"Bisher wurden in Deutschland 266.975 [Gruppe 1] aus der Ukraine erfasst, gab das Bundesinnenministerium am Sonntag bekannt. [Andere Gruppe] müssen sich nicht bei den deutschen Behörden registrieren, weil sie für 90 Tage visumfrei einreisen können. Erfasst werden sie bei den Behörden erst, wenn sie sich dort melden, etwa um staatliche Hilfe in Anspruch zu nehmen.

Unter anderem der bayerische Innenminister Joachim Herrmann (CSU) hatte zuvor vor einer Sicherheitslücke bei der Aufnahme ukrainischer [Gruppe 1] gewarnt. ""Es ist wichtig, dass durch erkennungsdienstliche Maßnahmen die Identifizierbarkeit der ankommenden Personen sichergestellt wird"", sagte der Vorsitzende der Innenministerkonferenz den Zeitungen der Funke Mediengruppe.

Herrmann rief die anderen Bundesländer dazu auf, dem bayerischen Beispiel zu folgen. Dort registriere die Polizei ankommende Kriegsflüchtlinge nicht nur, sondern es gebe auch erkennungsdienstliche Maßnahmen. Die Personalien würden mit den Fahndungsdatenbanken abgeglichen. ""Ich erwarte auch von den anderen Bundesländern hier ein strukturiertes und koordiniertes Vorgehen"", sagte der CSU-Politiker.","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Sicherheitsmaßnahmen** (Erfassung, erkennungsdienstliche Maßnahmen, Abgleich mit Fahndungsdatenbanken) und betont präventive Kontrollen zur **Sicherheitsgewährleistung**, ohne eine kriminelle Täterschaft oder Bedrohung zu unterstellen.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Sicherheitsmaßnahmen** (Erfassung, erkennungsdienstliche Maßnahmen, Abgleich mit Fahndungsdatenbanken) und betont präventive Kontrollen zur **Sicherheitsgewährleistung**, ohne eine kriminelle Täterschaft oder Bedrohung zu unterstellen.",42,20000,2.1_one_shot
637c667aa5dfe70dd8063287,13,ISLMST,"Frankreich hat bereits einen Großteil seiner Truppen nach Niger verlegt, auch die [Andere Gruppe] unterhalten eine Militärbasis, in der Hauptstadt Niamey sieht man außerdem zahlreiche italienische Soldaten der bilateralen Mission MISIN, die nigrische Polizisten ausbilden. „Sehr gut“ laufe das, sagt einer von ihnen im Gespräch, die Nigrer lernten schnell und seien diszipliniert. Ob er sich auch vorstellen könnte, nach Mali zu gehen? „Schwierig. Da muss man sich schon fragen, ob sich der Aufwand lohnt“, antwortet er. Niger sei in jedem Fall die bessere Wahl. Mehr will er lieber nicht sagen.

Auch deutsche Soldaten sind in dem westafrikanischen Land längst im Einsatz. Zum einen im Rahmen der UN-Mission MINUSMA, zum anderen als Teil der europäischen Polizeiausbildungsmission EUCAP, die derzeit von der Deutschen Antje Pittelkau geleitet wird. Außerdem trainieren Kampfschwimmer der Bundeswehr im Rahmen der Ausbildungsmission „Operation Gazelle“ nigrische Spezialkräfte, um sie im Kampf gegen die [Gruppe 1] in der Grenzregion auszubilden. 200 deutsche Soldaten sind in dem Wüstencamp unweit der Stadt Tillia stationiert, in den vergangenen Jahren haben sie rund 900 nigrische Spezialkräfte ausgebildet. Bis Ende des Jahres soll die Mission abgeschlossen sein. Generalinspekteur Eberhard Zorn sprach bei seinem Besuch Anfang November von einem „Erfolg, der Schule machen könnte“.

Wer keine Perspektive hat, läuft über","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft explizit die **Ausbildung nigrischer Spezialkräfte durch deutsche Soldaten** mit dem Ziel, gegen die **[Gruppe 1]** in der Grenzregion vorzugehen, was als präventive Sicherheitsmaßnahme dargestellt wird.",CRIME_FRAME_POS,"Der Absatz verknüpft explizit die **Ausbildung nigrischer Spezialkräfte durch deutsche Soldaten** mit dem Ziel, gegen die **[Gruppe 1]** in der Grenzregion vorzugehen, was als präventive Sicherheitsmaßnahme dargestellt wird.",42,20000,2.1_one_shot
6327129e3dd49b919c185d36,6,REFUG,"""Dabei sollen insbesondere die Themen Kosten der Unterbringung, Kosten der Hilfen zum Lebensunterhalt und Fragen der individuellen Leistungserbringung, Hilfen für besonders vulnerable Gruppen sowie Fragen der Bundesbeteiligung auch an den Kosten der Integration in Kindertagesbetreuung, Schule und Arbeitsmarkt verhandelt und im Ergebnis ein Gesamtfinanzierungskonzept erarbeitet werden"", heißt es in der Vorlage. Um die Unterbringung zu erleichtern und zu beschleunigen, müssten Abweichungen von bauplanungsrechtlichen Standards ermöglicht werden.

Die Ministerpräsidentenkonferenz (MPK) bittet die Bundesregierung darüber hinaus, sich stärker bei der Koordination und Verteilung der [Gruppe 1] einzusetzen. Gemeinsam müssten Bund und Länder daran arbeiten, [Gruppe 1] vor Menschenhandel und Zwangsprostitution zu schützen. Die Abstimmung mit dem Bund über die Ländervorschläge steht noch aus. Die MPK sollte am frühen Nachmittag mit Scholz fortgesetzt werden.

Bei der Bund-Länder-Konferenz steht auch die geplante Abschaffung aller einschneidenden Corona-Schutzmaßnahmen zum 20. März zur Debatte. Dazu hat es aus den Ländern angesichts steigender Neuinfektionsraten viel Kritik gegeben - nach dpa-Informationen auch in der MPK. Außerdem stehen die gestiegenen Energiepreise infolge des russischen Kreises in der Ukraine auf der Agenda.","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (Schutz vor Menschenhandel und Zwangsprostitution) und betont die **Zusammenarbeit von Bund und Ländern** zur Sicherheit der Gruppe, was einem positiven Sicherheitsrahmen entspricht.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (Schutz vor Menschenhandel und Zwangsprostitution) und betont die **Zusammenarbeit von Bund und Ländern** zur Sicherheit der Gruppe, was einem positiven Sicherheitsrahmen entspricht.",42,20000,2.1_one_shot
639c9724d1737089ce071101,3,REFUG,"Nach dem blutigen Angriff auf zwei Mädchen in Illerkirchberg rückt die Frage nach Abschiebungen von Menschen nach schweren Straftaten zunehmend in den Fokus. Entzündet hat sie sich zuletzt an einem weiteren Fall aus Illerkirchberg.

Im Streit mit dem Bund um die Abschiebung von [Gruppe 1] nach schweren Straftaten dringt Baden-Württembergs Justizministerin Marion Gentges auf Konsequenzen. „Wir müssen schauen, wo wir die Sicherheit der Menschen schützen, wo wir stärker präventiv ansetzen und konsequenter sein müssen“, sagte die CDU-Politikerin nach mehreren erfolglosen Versuchen, einen verurteilten Vergewaltiger aus Illerkirchberg in seine afghanische Heimat abzuschieben. In jedem Fall gelte: „Was rechtlich möglich ist, auch durchsetzen!“

Staaten dürften nicht pauschal von Abschiebungen ausgeschlossen werden, sagte Gentges der Deutschen Presse-Agentur. Es sei vielmehr wichtig, bei den Fällen stärker zu unterscheiden und zu fragen, was zumutbar sei für die abzuschiebenden Straftäter und Gefährder und auch für die Sicherheit des Landes. Liege bei einem Straftäter oder einem Gefährder kein Abschiebungsverbot vor, nachdem der Fall durch das Bundesamt für Migration und [Gruppe 1] (BAMF) geprüft worden sei, müsse alles versucht werden, um das rechtlich Mögliche auch faktisch durchzusetzen. Es gehe ausdrücklich um Entscheidungen in Einzelfällen und bei hochgefährlichen Einzeltätern. „Was wir für die Sicherheit tun können, müssen wir tun“, sagte die Ministerin.","Label: **CRIME_FRAME_POS**
Explanation: Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (Abschiebungen von Straftätern, Einzelfallprüfung durch BAMF) und betont **Sicherheitsgewinn** durch konsequente rechtliche Durchsetzung, ohne die Gruppe pauschal zu kriminalisieren.",CRIME_FRAME_POS,"Der Absatz verknüpft die Gruppe explizit mit **Präventionsmaßnahmen** (Abschiebungen von Straftätern, Einzelfallprüfung durch BAMF) und betont **Sicherheitsgewinn** durch konsequente rechtliche Durchsetzung, ohne die Gruppe pauschal zu kriminalisieren.",42,20000,2.1_one_shot
