testset_id,label_b,explanation_b
1,NO_CRIME_FRAME,"Die [Gruppe 1] werden lediglich als Bewacher eines dunkelroten Autos erwähnt, ohne dass ein expliziter Bezug zu Kriminalität, Sicherheitsbedrohung, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention hergestellt wird."
2,CRIME_FRAME_NEG,"Die Gruppe wird institutionell als potenzielle Sicherheitsgefahr gerahmt, da der Minister explizit die Notwendigkeit betont, Schleuser, Menschenhändler, organisierte Kriminalität oder andere Straftäter zu identifizieren und auszuschließen, was eine Verknüpfung der Gruppe mit Kriminalität und Sicherheitsrisiken impliziert."
3,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Zwang und Ausbeutung durch griechische Polizeibeamte dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Gewaltlegitimation in Verbindung gebracht wird."
4,NO_CRIME_FRAME,"Die [Gruppe 1] wird als Opfer von Völkermord dargestellt und nicht mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft, sondern als von Al-Kuraischi und dem IS bedrohte Minderheit."
5,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Instrumentalisierung von Protesten und der Spaltung des Landes in Verbindung gebracht, was als Bedrohung für die nationale Einheit und Sicherheit interpretiert werden kann."
6,NO_CRIME_FRAME,"Der Absatz beschreibt die russische Propaganda gegenüber [Gruppe 1] und ihre Darstellung als Opfer von Hass und Diffamierung, ohne dass die Gruppe selbst mit Kriminalität, Sicherheit, Terrorismus oder Gewalt in Verbindung gebracht wird."
7,NO_CRIME_FRAME,"Der Absatz beschreibt autoritäre Maßnahmen und Einschränkungen des öffentlichen Lebens durch die [Gruppe 1] in einem anderen Land, ohne jedoch eine explizite Verknüpfung mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im Kontext Deutschlands herzustellen."
8,CRIME_FRAME_NEG,"Der Absatz beschreibt einen 25-jährigen [Gruppe 1], der als Tatverdächtiger wegen gefährlicher Körperverletzung gesucht wird, festgenommen wird und sich zunächst verbal aggressiv zeigt, was eine explizite Verknüpfung der Gruppe mit Kriminalität und Sicherheitsbedrohung darstellt."
9,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit negativen Attributen wie dem Lernen und Umsetzen von ""dem Bösen"" von den Nazis in Verbindung gebracht, was eine negative Darstellung und Verknüpfung mit einer Form von historischer und moralischer Verurteilung darstellt."
10,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Teil eines Netzwerks mutmaßlicher Schleuser dargestellt und vier Mitglieder der Gruppe wurden festgenommen, was eine direkte Verknüpfung mit Kriminalität herstellt."
11,CRIME_FRAME_POS,"Der Absatz beschreibt Maßnahmen zur Prävention von Missbrauch und zum Schutz von [Gruppe 1] durch die Polizei und andere Institutionen, wobei der Fokus auf Schutz und Sicherheitsgewinn liegt."
12,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit negativen Aspekten wie ""Gewalt, Chaos"" und ""Spaltung der Bevölkerung"" in Verbindung gebracht, was eine generalisierte gesellschaftliche Bedrohungsrahmung darstellt und somit als CRIME_FRAME_NEG eingestuft wird."
13,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit dem Verdacht der Unterstützung eines Terroristen und der Kontaktaufnahme zu Vertretern der Russischen Föderation im Rahmen einer mutmaßlichen Terrorzelle verknüpft, was als CRIME_FRAME_NEG eingestuft wird."
14,NO_CRIME_FRAME,"Der Absatz beschreibt die Situation von [Gruppe 1] auf Zypern und ihre Ankunft auf der Insel, ohne sie explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention zu verknüpfen."
15,CRIME_FRAME_NEG,"Die [Gruppe 1] wird implizit als Ursache für Schwierigkeiten und Probleme in Deutschland dargestellt, was als generalisierte gesellschaftliche Bedrohungsrahmung interpretiert werden kann, da die Gruppe mit negativen Auswirkungen auf die Gesellschaft verknüpft wird."
16,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit mangelnder Achtung vor Menschenleben und damit indirekt mit Gewalt oder Kriegsverbrechen in Verbindung gebracht, was als negativer Kriminalitäts- und Sicherheitsrahmen interpretiert werden kann."
17,NO_CRIME_FRAME,"Der Absatz beschreibt antisemitische Vorfälle und Bedrohungen gegen [Gruppe 1], bei denen die Gruppe als Opfer dargestellt wird, ohne dass sie selbst mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft ist."
18,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne dass die Gruppe [Gruppe 1] oder [Andere Gruppe] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft wird."
