testset_id,group,text_block_en,final_human_label,small_label,small_explanation,small_confidence,needs_routing,large_label,large_explanation,large_confidence,final_label,final_model
1,RUS,"Anno August Jagdfeld, der im Marien-Cottage in Heiligendamm lebt, konnte sich beim G8-Gipfel frei auf dem Gelände bewegen und hat so die Staats- und Regierungschef miterlebt. "" Ich habe mich auch mit allen unterhalten. Am freundlichsten war Bush, der ging auch freundlich auf die Mitarbeiter im Grand Hotel zu"" , erinnert sich Jagdfeld an den amerikanischen Präsidenten George W Bush. Putin sei nicht so charmant und freundlich gewesen, aber okay.

Er erinnere sich auch an ein dunkelrotes Auto, das in der Prof.-Dr.-Vogel-Straße stand und immer von sechs [Gruppe 1] bewacht worden sei. "" Es ging das Gerücht, dass da der Atomkoffer drin sei"" , sagt Jagdfeld. Für ihn besonders auffällig: "" Die [Gruppe 1] waren immer besoffen, das konnte man erkennen."" 

Von Gerüchten über russische Wanzen in den Hotelzimmern, die vom Bundesnachrichtendienst entfernt wurden, habe Jagdfeld hingegen nichts gehört. Das Grand Hotel Heiligendamm verweist auf Nachfrage, dass aus "" Kenntnis- und Diskretionsgründen""  die OZ-Anfrage nicht beantwortet werden könne. Für Anno August Jagdfeld hatten die Tage des G8-Gipfels auch etwas von einer Operette. "" Da geht man um die Ecke, und Putin kommt auf einen zu.""  Zum Teil hätten sich auch Szenen wie im  Actionfilm abgespielt. Beispielsweise als Greenpeace und Marineschiffe sich auf der Ostsee ein Wettrennen lieferten. "" Die fuhren aufeinander zu, das war wie im James-Bond-Film"" , erinnert sich Anno August Jagdfeld.",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Der Absatz erwähnt zwar ein Gerücht über einen „Atomkoffer“ und beschreibt die [Gruppe 1] als betrunken, aber es gibt keine explizite Verknüpfung mit Kriminalität, Sicherheitsbedrohung, Gewalt, Verdacht, Ermittlungen oder Prävention – stattdessen handelt es sich um subjektive Beobachtungen und fiktionale Vergleiche (z. B. „wie im Actionfilm“).
**Confidence:** 5",3,True,NO_CRIME_FRAME,"Der Absatz beschreibt eine persönliche Erinnerung an den G8-Gipfel und erwähnt [Gruppe 1] im Kontext von Bewachung eines Autos, ohne jedoch eine explizite Verknüpfung mit Kriminalität, Sicherheitsbedrohung oder Prävention herzustellen.",5.0,NO_CRIME_FRAME,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
2,REFUG,"Bayern: [Gruppe 1] identifizieren

Bayern hat die anderen Bundesländer aufgefordert, seinem Beispiel zu folgen und Kriegsflüchtlinge aus der Ukraine mit erkennungsdienstlichen Maßnahmen eindeutig zu identifizieren, meldet zeit.de. Landesinnenminister Joachim Herrmann (CSU), der derzeit der Innenministerkonferenz vorsteht, habe erklärt, in Bayern würden die Personalien mit den Fahndungsdatenbanken abgeglichen. Der Minister wird mit den Worten zitiert: „Eine Sicherheitslücke können wir uns hier nicht leisten“. Zwar müsse den [Gruppe 1] unbürokratisch geholfen werden, aber: „Wir müssen wissen, wer zu uns kommt und vermeiden, dass Schleuser, Menschenhändler, die organisierte Kriminalität oder andere Straftäter die Situation für ihre Zwecke ausnutzen.“ Bundesinnenministerin Nancy Faeser (SPD) habe die von der Union geforderte Registrierung der [Gruppe 1] jedoch erneut abgelehnt.

Huthis im Jemen kündigen dreitägige Waffenruhe an",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Die Gruppe wird explizit von einer Regierungsstimme (Landesinnenminister Herrmann) als potenzielle Sicherheitsgefahr gerahmt, indem sie mit Schleusung, Menschenhandel, organisierter Kriminalität und Straftaten verknüpft wird – selbst wenn keine konkrete Tat genannt wird.
**Confidence:** 5",3,True,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit potenzieller Kriminalität und Sicherheitsrisiken verknüpft, da der Minister betont, dass man wissen muss, wer zu ihnen kommt, um zu vermeiden, dass Schleuser, Menschenhändler, organisierte Kriminalität oder andere Straftäter die Situation ausnutzen.",5.0,CRIME_FRAME_NEG,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
3,REFUG,"In Griechenland werden [Gruppe 1] als Handlanger benutzt. Ihnen wird versprochen, dadurch selbst schneller an Aufenthaltspapiere zu kommen.

An der EU-Außengrenze benutzen griechische Polizeibeamte [Gruppe 1] offenbar als Handlanger für illegale Pushbacks. Das haben gemeinsame Recherchen des ""Spiegel"" mit Lighthouse Reports, dem ARD-Politikmagazin ""Report München"", ""Le Monde"" und dem ""Guardian"" ergeben.

Dem Team aus Reporterinnen und Reportern gelang es nach monatelangen Recherchen erstmals, mit sechs dieser Männer zu sprechen. Sie gaben unabhängig voneinander an, zu gewaltsamen Zurückweisungen in die Türkei gedrängt worden zu sein – im Gegenzug seien ihnen Aufenthaltspapiere versprochen worden. Die Angaben der [Gruppe 1] ließen sich mithilfe von Fotos, Satellitenbildern und offiziellen griechischen Dokumenten verifizieren.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Die Gruppe wird explizit als **Täterin oder Komplizin** von **Straftaten** (illegale Pushbacks, Gewaltanwendung) dargestellt, die mit **Sicherheitsverstößen** (Grenzverletzungen, systematische Menschenrechtsverletzungen) verknüpft sind – selbst wenn sie als Opfer von Erpressung durch griechische Behörden agieren, bleibt ihre **Mitwirkung an der Straftat** (Gewaltausübung, Unterstützung von Pushbacks) als **CRIME_FRAME_NEG** klassifizierbar.
**Confidence:** 5",3,True,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Zwang und Ausbeutung durch griechische Polizeibeamte dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Gewaltlegitimation in Verbindung gebracht wird.",5.0,NO_CRIME_FRAME,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
4,JESID,"Al-Kuraischi sprengte sich selbst in die Luft

Al-Kuraischi war Anfang Februar bei einem US-Militäreinsatz im Nordwesten Syriens getötet worden. Er sprengte sich dabei nach Angaben aus Washington selbst in die Luft, um nicht für seine Taten zur Rechenschaft gezogen zu werden. Al-Kuraischi soll einer der Hauptverantwortlichen für den Völkermord an der religiösen Minderheit der [Gruppe 1] im Nordwesten des Iraks gewesen sein.

Der IS hoffe, dass der Krieg in der Ukraine nicht ende, ehe er die Menschen im Westen vernichtet und die dortigen Gebiete zerrissen habe, hieß es in der Audiobotschaft weiter. Deren Echtheit ließ sich zunächst nicht überprüfen. Sie wurde jedoch über die üblichen Kanäle der Extremisten in den sozialen Medien verbreitet.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Text beschreibt einen **Kriegskontext (IS-Terrorismus im Ausland)** und die **Täterschaft einer anderen Gruppe ([Al-Kuraischi/IS])**, nicht der [Gruppe 1], die hier als **Opfer des Völkermords** dargestellt wird.",3,True,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Völkermord dargestellt und nicht mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft, sondern vielmehr als diejenigen, die unter den Handlungen von Al-Kuraischi und dem IS gelitten haben.",5.0,NO_CRIME_FRAME,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
5,REFUG,"Der SPD-Vorsitzende Lars Klingbeil hält die Einheit von Ost und West in Deutschland für weiter fortgeschritten als noch vor zehn Jahren. ""Was die Ost-West-Frage betrifft, sind wir vorangekommen"", sagte er der ""Rheinischen Post"" (Montagsausgabe). ""Wir haben eine stärkere Deutsche Einheit als es etwa vor zehn Jahren noch der Fall war.""

Der Osten sei attraktiv, was die Industrieansiedlungen von Intel und Tesla zeigten, und auch zu Recht deutlich selbstbewusster. ""Aber unser Land befindet sich gerade insgesamt in einer Zeit der starken Polarisierung. Zwei Jahre Pandemie, der Krieg in der Ukraine, die Energiekrise, die Klimakrise - das macht was mit den Menschen."" Angesprochen auf die zunehmenden Proteste im Land sagte der SPD-Politiker, man müsse bei diesen Protesten sehr genau hinschauen und trennen. ""Es gibt viele, die haben große Sorgen, wie sie bei den massiven Preissteigerungen über die Runden kommen sollen. Das nehme ich sehr ernst. Um diejenigen muss Politik sich kümmern und das tun wir."" Die Regierung habe drei ""Entlastungspakete"" geschnürt, den Mindestlohn erhöht und stemme sich mit 200 Milliarden Euro gegen die Energiepreise. ""Aber es gibt eben unter den Protestlern auch solche, die schon gegen [Gruppe 1], gegen Corona-Maßnahmen, für Russland unterwegs waren und jetzt versuchen, die berechtigten Sorgen zu instrumentalisieren und unser Land zu spalten. Das dürfen wir nicht zulassen."" Das sei auch keine Frage von Ost und West, so Klingbeil.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Absatz erwähnt zwar Proteste und politische Instrumentalisierung, verknüpft diese jedoch nicht mit der [Gruppe 1] als Täter, Verdächtige, Sicherheitsrisiko oder kriminelle Akteurin – stattdessen wird die Gruppe als *Opfer von Spaltung* durch andere Protestler dargestellt, ohne dass ihr selbst Kriminalität, Gewalt oder Sicherheitsbedrohungen zugeschrieben werden.",3,True,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Instrumentalisierung von Protesten und der Spaltung des Landes in Verbindung gebracht, was als Bedrohung für die öffentliche Ordnung und Sicherheit interpretiert werden kann.",4.0,CRIME_FRAME_NEG,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
6,UKR,"Die russische Propaganda gegenüber [Gruppe 1] wird immer radikaler. Kürzlich tauchten Videos in russischen Kanälen auf, in denen offen zum Massenmord an [Gruppe 1] aufgerufen wird. Wie kommt es dazu?

[Gruppe 1] werden in der russischen Propaganda schon länger als Nicht- oder Untermenschen dargestellt. [Gruppe 1] sind dort Nazis und Faschisten. Nach der russischen Lesart hat man deshalb das Recht, sie auszurotten. Die russische Propaganda hat diesen Genozid an uns [Gruppe 1] auch schon länger vorbereitet. Mit dem falschen Narrativ, dass [Gruppe 1] im Donbass einen Genozid an [Andere Gruppe] begangen hätten, was auch Putin selbst im vergangenen Jahr in einer Rede verbreitet hat, haben die [Andere Gruppe] in Wahrheit ihren Genozid an den [Gruppe 1] moralisch vorbereiten und rechtfertigen wollen. Und es gibt übrigens noch ein sehr neues und praktisches Narrativ, das die russische Propaganda gezielt verbreitet: [Gruppe 1] können mit westlichen Waffen nicht umgehen, westliche Waffen werden weiterverkauft und geschmuggelt. Das alles geht auf das Narrativ des brutalen, gierigen, rohen und niederen [Gruppe 1] zurück.

Ist diese Darstellung von [Gruppe 1] eine Entwicklung der russischen Propaganda unter Putin, um [Gruppe 1] zu diffamieren?",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Text beschreibt die russische Propaganda als gezielte **Diffamierung und Falschnarrative** gegen [Gruppe 1], die diese als Opfer von Gewalt und Genozid darstellt – es wird explizit betont, dass die Zuschreibungen (z. B. „Nazis“, „brutal“, „gierig“) **manipulativ und unbegründet** sind, um einen Krieg zu rechtfertigen. Die Gruppe wird **nicht als Täter, Sicherheitsrisiko oder Gewaltakteur** dargestellt, sondern als **Opfer propagandistischer Hetze**.",3,True,NO_CRIME_FRAME,"Der Absatz beschreibt die russische Propaganda gegenüber [Gruppe 1] und ihre Darstellung als Opfer von Hass und Diffamierung, ohne dass die Gruppe selbst mit Kriminalität, Sicherheit, Terrorismus oder Gewalt in Verbindung gebracht wird.",5.0,NO_CRIME_FRAME,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
7,ISLMST,"Öffentliches Leben weiter eingeschränkt

Mit weiteren Anordnungen schränkten die [Gruppe 1] in dieser Woche das öffentliche Leben in dem Land noch mehr ein: So dürfen [Andere Gruppe] künftig ohne einen männlichen Begleiter nicht mehr fliegen. Die Taliban wiesen Fluglinien im Land an, an Frauen ohne Begleiter keine Tickets mehr zu verkaufen, wie aus einem Dokument hervorging, das der Deutschen Presse-Agentur vorlag. Zudem dürfen in der Hauptstadt Kabul und Umgebung Freizeitparks nur noch nach Geschlecht getrennt besucht werden: von Frauen sonntags bis dienstags, von Männern mittwochs bis samstags. Das gab das Ministerium für die Förderung der Tugend und Verhinderung des Lasters am Sonntag bekannt.

Seit ihrer Rückkehr an die Macht Mitte August 2021 haben die Taliban immer strengere Vorschriften für das öffentliche Leben erlassen. So sollen Frauen ohne männliche Begleitperson nicht weiter als 45 Meilen (etwa 72 Kilometer) reisen dürfen. Frauen können in vielen Fällen nicht mehr zurück an ihre Arbeitsplätze. Während der ersten Herrschaft der Taliban von 1996 bis 2001 waren Frauen und Mädchen praktisch vollständig von Bildung und Arbeit außerhalb ihres Hauses ausgeschlossen. Westliche Länder machen eine Anerkennung der Taliban-Regierung unter anderem von Fortschritten bei Frauenrechten abhängig.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Text beschreibt autoritäre Kontrollmaßnahmen der Taliban in Afghanistan, die sich auf Geschlechtertrennung, Reisebeschränkungen und Arbeitsverbote für Frauen beziehen – dies ist ein **geopolitischer Konflikt außerhalb Deutschlands** ohne Bezug zu innerer Sicherheit, Kriminalität oder Prävention in Deutschland.",3,True,NO_CRIME_FRAME,"Der Absatz beschreibt autoritäre Maßnahmen und Einschränkungen des öffentlichen Lebens durch die Taliban, ohne jedoch eine explizite Verknüpfung mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Bezug auf Deutschland oder eine Bedrohung der inneren Sicherheit Deutschlands herzustellen.",5.0,NO_CRIME_FRAME,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
8,NGA,"Ein Beamter des Ermittlungsdienstes der Bundespolizeiinspektion München erkannte laut Polizeibericht gegen 14.20 Uhr auf dem Heimweg am Hauptbahnhof München einen Tatverdächtigen, nach dem wegen der gefährlichen Körperverletzung öffentlich gesucht worden war.

Als der Beamte den Mann, einen 25-jährigen [Gruppe 1], ansprach, versuchte dieser zu flüchten. Nach Verfolgung konnte er nahe des Alten Botanischen Gartens gestellt und festgenommen werden. Dabei kamen weitere Polizeibeamten dem Ermittler zur Hilfe. Nachdem der 25-Jährige sich zunächst verbal aggressiv zeigte, wehrte er sich im weiteren Verlauf nicht gegen die folgenden polizeilichen Maßnahmen und beruhigte sich, wie die Polizei berichtet. Später schlug ein Drogenschnelltest positiv an.

Weitere Ermittlungen ergaben, dass es sich tatsächlich um den Gesuchten handelte. Bezüglich der Hintergründe der Tat liegen bislang noch keine Informationen vor. Bekannt ist, dass der Angegriffene zuvor den Täter und andere Fahrgäste mit seiner Handykamera gefilmt hatte.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die [Gruppe 1] explizit mit einer **mutmaßlichen Straftat (gefährliche Körperverletzung)**, einer **Fahndung**, einer **Festnahme** und einem **positiven Drogenschnelltest** – allesamt Indikatoren für kriminelles Verhalten oder Verdacht.
**Confidence:** 5",3,True,CRIME_FRAME_NEG,"Der Absatz beschreibt einen 25-jährigen [Gruppe 1], der als Tatverdächtiger wegen gefährlicher Körperverletzung gesucht wird, festgenommen wird und sich zunächst verbal aggressiv zeigt, was eine explizite Verknüpfung der Gruppe mit Kriminalität und Sicherheitsbedrohung darstellt.",5.0,CRIME_FRAME_NEG,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
9,,"Ermittlungen wegen Volksverhetzung

Gegen Bhakdi, der 2021 für die „Querdenker“-Partei „Die Basis“ zur Bundestagswahl angetreten war, ermittelt die Generalstaatsanwaltschaft in Schleswig wegen Volksverhetzung. Bhakdi hatte in einem Interview gesagt, die [Gruppe 1] hätten von den Nazis „das Böse“ gelernt und umgesetzt. Deswegen sei Israel „jetzt living hell – die lebende Hölle“.

Maaßen verbreitete seine Impfgegnerschaft auf der Plattform Gettr. Das soziale Netzwerk funktioniert ähnlich wie Twitter und wurde von einem früheren Mitarbeiter Donald Trumps gegründet. Die Plattform ist bei Rechten und Verschwörungsideologen beliebt, weil sie anders als Twitter und Facebook kaum rassistische Inhalte oder medizinische Falschinformationen löscht.",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Die [Gruppe 1] wird im Text nicht als Täter, Verdächtiger, Unterstützer von Gewalt oder Sicherheitsrisiko dargestellt, sondern als Opfer von rassistischen Äußerungen (Bhakdis Aussage wird als Volksverhetzung gerahmt, nicht als Tat der Gruppe). Die Ermittlungen beziehen sich auf Bhakdi selbst, nicht auf die Gruppe.
**Confidence:** 5",3,True,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit negativen Attributen wie dem Lernen und Umsetzen von ""dem Bösen"" von den Nazis in Verbindung gebracht, was eine negative Darstellung der Gruppe als Quelle von Problemen oder Bedrohungen impliziert.",5.0,CRIME_FRAME_NEG,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
10,SYR,"Die Bundespolizei ist am Dienstagmorgen mit einer groß angelegten Razzia in Hessen, Bayern und Nordrhein-Westfalen gegen ein Netz mutmaßlicher Schleuser vorgegangen. Rund zwanzig Wohnungen und Geschäftsräume wurden durchsucht und sechs mutmaßliche Schleuser festgenommen, unter ihnen vier [Gruppe 1], ein [Andere Gruppe] und ein [Andere Gruppe]. Der Schwerpunkt der Aktion, an der auch Spezialkräfte der GSG 9 beteiligt waren, lag in Nordhessen.

Die sechs Männer werden verdächtigt, mindestens 150 vorwiegend syrische Staatsbürger gegen Zahlungen in Höhe von 600 bis 2000 Euro von Belarus, [Andere Gruppe] oder Österreich aus in gemieteten Kleintransportern unter teilweise lebensgefährlichen Umständen „banden- und gewerbsmäßig“ nach Deutschland geschleust zu haben. So sollen die [Andere Gruppe] oft ohne jede Sicherung und ohne ausreichende Belüftung im dunklen Laderaum der Fahrzeuge transportiert worden sein.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Vier Mitglieder der **[Gruppe 1]** werden explizit als mutmaßliche Schleuser in einem organisierten Kriminalitätsnetzwerk genannt und sind Gegenstand einer großangelegten Polizeiaktion mit Festnahmen und Durchsuchungen.
**Confidence:** 5",3,True,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Teil eines Netzwerks mutmaßlicher Schleuser dargestellt, wobei vier Mitglieder der Gruppe festgenommen wurden und verdächtigt werden, an MenschenSchleusung beteiligt zu sein.",5.0,CRIME_FRAME_NEG,Meta-Llama-3.3-70B-Instruct-AWQ-INT4
