testset_id,article_id,par_index,group,text_block_en,label_robin,label_marmee,notes_robin,notes_marmee,human_consensus_label,final_human_label,model,model_label,model_explanation,model_raw_output,case_source,agreement,step2_1_label,final_label,source_file,source_priority,model_valid_label,human_model_agree,agreement_status
2,achse_added_fdcc00add3c941db5b52f21d5475839ec900abaf_,16,REFUG,"Bayern: [Gruppe 1] identifizieren

Bayern hat die anderen Bundesländer aufgefordert, seinem Beispiel zu folgen und Kriegsflüchtlinge aus der Ukraine mit erkennungsdienstlichen Maßnahmen eindeutig zu identifizieren, meldet zeit.de. Landesinnenminister Joachim Herrmann (CSU), der derzeit der Innenministerkonferenz vorsteht, habe erklärt, in Bayern würden die Personalien mit den Fahndungsdatenbanken abgeglichen. Der Minister wird mit den Worten zitiert: „Eine Sicherheitslücke können wir uns hier nicht leisten“. Zwar müsse den [Gruppe 1] unbürokratisch geholfen werden, aber: „Wir müssen wissen, wer zu uns kommt und vermeiden, dass Schleuser, Menschenhändler, die organisierte Kriminalität oder andere Straftäter die Situation für ihre Zwecke ausnutzen.“ Bundesinnenministerin Nancy Faeser (SPD) habe die von der Union geforderte Registrierung der [Gruppe 1] jedoch erneut abgelehnt.

Huthis im Jemen kündigen dreitägige Waffenruhe an",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe wird zwar mit Schleusern, Menschenhändlern und organisierter Kriminalität in Verbindung gebracht, aber diese Akteure werden als *externe* Ausnutzer der Situation dargestellt, nicht als Mitglieder der Gruppe selbst. Die Gruppe erscheint als Opfer oder Betroffene, nicht als Täter oder Sicherheitsrisiko.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe wird zwar mit Schleusern, Menschenhändlern und organisierter Kriminalität in Verbindung gebracht, aber diese Akteure werden als *externe* Ausnutzer der Situation dargestellt, nicht als Mitglieder der Gruppe selbst. Die Gruppe erscheint als Opfer oder Betroffene, nicht als Täter oder Sicherheitsrisiko.",hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
7,632712af3dd49b919c1efc6d,7,ISLMST,"Öffentliches Leben weiter eingeschränkt

Mit weiteren Anordnungen schränkten die [Gruppe 1] in dieser Woche das öffentliche Leben in dem Land noch mehr ein: So dürfen [Andere Gruppe] künftig ohne einen männlichen Begleiter nicht mehr fliegen. Die Taliban wiesen Fluglinien im Land an, an Frauen ohne Begleiter keine Tickets mehr zu verkaufen, wie aus einem Dokument hervorging, das der Deutschen Presse-Agentur vorlag. Zudem dürfen in der Hauptstadt Kabul und Umgebung Freizeitparks nur noch nach Geschlecht getrennt besucht werden: von Frauen sonntags bis dienstags, von Männern mittwochs bis samstags. Das gab das Ministerium für die Förderung der Tugend und Verhinderung des Lasters am Sonntag bekannt.

Seit ihrer Rückkehr an die Macht Mitte August 2021 haben die Taliban immer strengere Vorschriften für das öffentliche Leben erlassen. So sollen Frauen ohne männliche Begleitperson nicht weiter als 45 Meilen (etwa 72 Kilometer) reisen dürfen. Frauen können in vielen Fällen nicht mehr zurück an ihre Arbeitsplätze. Während der ersten Herrschaft der Taliban von 1996 bis 2001 waren Frauen und Mädchen praktisch vollständig von Bildung und Arbeit außerhalb ihres Hauses ausgeschlossen. Westliche Länder machen eine Anerkennung der Taliban-Regierung unter anderem von Fortschritten bei Frauenrechten abhängig.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Text beschreibt politische Restriktionen und gesellschaftliche Maßnahmen der Taliban, die sich auf Frauenrechte und öffentliche Ordnung beziehen, aber keine explizite Verknüpfung mit Kriminalität, Sicherheit oder Gewalt im Sinne von Straftaten oder Bedrohungen durch die Gruppe selbst herstellt.","Label: **NO_CRIME_FRAME**
Explanation: Der Text beschreibt politische Restriktionen und gesellschaftliche Maßnahmen der Taliban, die sich auf Frauenrechte und öffentliche Ordnung beziehen, aber keine explizite Verknüpfung mit Kriminalität, Sicherheit oder Gewalt im Sinne von Straftaten oder Bedrohungen durch die Gruppe selbst herstellt.",hard_case,0.5,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0,True,False,DISAGREE
14,6327129a3dd49b919c16a94b,3,,"Die Einwohner des Stadtteils Chloraka monieren, dort habe sich eine Art Getto gebildet, in dem Hunderte [Gruppe 1] und [Gruppe 1] lebten und die Polizei die Kontrolle verloren habe, berichteten zyprische Medien übereinstimmend.

Die EU-Inselrepublik Zypern bittet immer wieder die anderen EU-Mitgliedstaaten darum, auf der Insel angekommene Schutzsuchende aufzunehmen. Allein im vergangenen Oktober und November sind auf Zypern nach Angaben des Innenministers Nikos Nouris 4000 [Gruppe 1] und [Gruppe 1] angekommen. Im gesamten Jahr 2021 seien 12.000 Menschen hauptsächlich aus dem von türkischen Truppen besetzten Norden der Mittelmeerinsel in den Süden gelangt.

Meiste Asylanträge der EU im Jahr 2020",CRIME_FRAME_NEG,CRIME_FRAME_NEG,unsure ,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Absatz verknüpft die Gruppe **nicht explizit mit Kriminalität oder Sicherheitsverlust**, sondern beschreibt lediglich die Bildung eines „Gettos“ und den Verlust von Polizeikontrolle – ohne konkrete Straftaten oder Bedrohungen durch die Gruppe zu nennen.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz verknüpft die Gruppe **nicht explizit mit Kriminalität oder Sicherheitsverlust**, sondern beschreibt lediglich die Bildung eines „Gettos“ und den Verlust von Polizeikontrolle – ohne konkrete Straftaten oder Bedrohungen durch die Gruppe zu nennen.",hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
15,6360d337cd8aa3a32e0b429d,23,REFUG,"„Hart aber fair“: Journalistin attackiert CDU wegen lascher Haltung

Susanne Gaschke, Autorin der „Neuen Zürcher Zeitung“, beklagte vor allem, dass ein starkes Land wie Deutschland „nicht mehr rund läuft“. Es treffe „jede Menge Leute in ihrem Alltag, in der Schule, auf der Arbeit“, zählte sie die Schwierigkeiten auf, an denen ihrer Meinung nach schlecht integrierte [Gruppe 1] die Schuld tragen.

Lesen Sie auch: „Hart aber fair“: Plasberg hört auf – Wer auf ihn folgt",NO_CRIME_FRAME,NO_CRIME_FRAME,,,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die Gruppe wird explizit als „schlecht integriert“ dargestellt und als **direkte Ursache für gesellschaftliche Probleme** (Schule, Arbeit) benannt, was eine **implizite Kriminalitäts- oder Sicherheitsbedrohung** durch mangelnde Integration suggeriert – selbst wenn keine konkrete Straftat genannt wird.","Label: **CRIME_FRAME_NEG**
Explanation: Die Gruppe wird explizit als „schlecht integriert“ dargestellt und als **direkte Ursache für gesellschaftliche Probleme** (Schule, Arbeit) benannt, was eine **implizite Kriminalitäts- oder Sicherheitsbedrohung** durch mangelnde Integration suggeriert – selbst wenn keine konkrete Straftat genannt wird.",hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
19,632712ab3dd49b919c1d8fdc,3,ISLMST,"In Ägypten sind drei Journalisten nach rund eineinhalb Jahren Haft freigelassen worden. Diaa Raschwan vom ägyptischen Journalistenverband veröffentlichte am Sonntag Fotos von Ammer Abdel-Moneim, Hani Greischa und Essam Abdin in weißer Häftlingskleidung. Sie umarmten ihre Familienangehörigen. Die drei Journalisten waren wegen separater Vorwürfe in Untersuchungshaft gewesen. Ihnen wurde missbräuchliche Verwendung sozialer Medien und Beitritt zu einer Terrorgruppe vorgeworfen. Damit war offenbar die Muslimbruderschaft gemeint, die von Ägypten seit 2013 als Terrororganisation eingestuft wird.

Die Regierung des ägyptischen Präsidenten Abdel Fattah al-Sisi hat Tausende Menschen verhaften lassen, vor allem [Gruppe 1]. Festgenommen wurden auch Aktivisten, die an dem Volksaufstand 2011 beteiligt waren, bei dem der langjährige autoritäre Präsident Husni Mubarak gestürzt wurde. Es wird vermutet, dass al-Sisi Gefangene freilässt, um auf Kritiker zuzugehen. Trotzdem befinden sich Schätzungen zufolge noch Tausende politische Gefangene in Haft. Auf der aktuellen Rangliste der Pressefreiheit der NGO Reporter ohne Grenzen befindet sich Ägypten auf Platz 166 von 180. (ap, taz)

CSU-Politiker will wegen Inflation Pause beim Rundfunkbeitrag",CRIME_FRAME_NEG,CRIME_FRAME_NEG,in prison,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Absatz beschreibt politische Verfolgung, Haft und Menschenrechtsverletzungen gegen **[Gruppe 1]** als Opfer, ohne deren Verbindung zu Kriminalität, Terrorismus oder Sicherheitsbedrohungen explizit darzustellen – stattdessen wird die Gruppe als Ziel staatlicher Repression und Unterdrückung thematisiert.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt politische Verfolgung, Haft und Menschenrechtsverletzungen gegen **[Gruppe 1]** als Opfer, ohne deren Verbindung zu Kriminalität, Terrorismus oder Sicherheitsbedrohungen explizit darzustellen – stattdessen wird die Gruppe als Ziel staatlicher Repression und Unterdrückung thematisiert.",hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
22,632712ba3dd49b919c236b21,5,,"Putins blutiger Schatten

Der Sohn eines Verräters, der andere Verräter verriet, ist ""Putins blutiger Schatten"", devot bis zum Kniefall vor dem Mann im Kreml, zu dessen Wohlgefallen er zuletzt sogar den Operettentitel als ""Präsident"" der 1,2-Millionen-Region zwischen Georgien und Dagestan ablegte, weil nur ein Herrscher in Russland Präsident sein könne, nämlich Putin. Seitdem lässt sich der beinharte [Gruppe 1] ""Oberhaupt"" nennen, eine Bezeichnung, die den Regierungsstil des zwölffachen Vaters perfekt beschreibt: Für Kadyrow ist Tschetschenien, eine Republik mit einer mehrheitlich muslimischen Bevölkerung, Machtbasis und Familienbesitz, privates Lehen und sicherer Rückzugsort vor den Nachstellungen seiner Gegner, die er in der Vergangenheit reihenweise ermorden lassen haben soll.

Zwei Jahrzehnte, nachdem sein Vater sich entschloss, der Unabhängigkeitsbewegung gegen Russland den Rücken zu kehren und stattdessen als russischer Stadthalter von Putins Gnaden als absoluter Herrscher in Grosny zu regieren, hat sein Erbe die Taktiken des Vaters perfektioniert, der 2004 von islamistischen Rebellen ermordet worden war. Seit Ramsan Kadyrow 2007 seine Nachfolge antrat, herrscht er mit einer Mischung aus religiösem Fundamentalismus und Statthalter-Brutalität. Der Einfall der [Andere Gruppe] in die Ukraine hat für ihn keine Parallelität mit deren Vergeltungsfeldzug gegen das Kaukasus-Emirat namens Tschetschenische Republik Itschkerien, sondern ist Teil einer notwendigen Strategie zur Wiedererschaffung eines russischen Großreiches.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Der Text beschreibt zwar Gewalt und Mordtaten, diese werden jedoch nicht explizit der **[Gruppe 1]** (Tschetschenen) als kollektive Handlung oder Verantwortung zugeschrieben, sondern beziehen sich auf individuelle Akteure (z. B. Ramsan Kadyrows Vater) oder den Kontext des geopolitischen Konflikts (z. B. islamistische Rebellen), ohne die Gruppe als Ganzes mit Kriminalität oder Terrorismus zu verknüpfen.","Label: **NO_CRIME_FRAME**
Explanation: Der Text beschreibt zwar Gewalt und Mordtaten, diese werden jedoch nicht explizit der **[Gruppe 1]** (Tschetschenen) als kollektive Handlung oder Verantwortung zugeschrieben, sondern beziehen sich auf individuelle Akteure (z. B. Ramsan Kadyrows Vater) oder den Kontext des geopolitischen Konflikts (z. B. islamistische Rebellen), ohne die Gruppe als Ganzes mit Kriminalität oder Terrorismus zu verknüpfen.",hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
25,632712b93dd49b919c22e06e,8,,"2020 - US-Präsident Donald Trump stoppt die Zahlungen an die Weltgesundheitsorganisation (WHO). Sie stehe unter dem Einfluss Chinas und habe zu spät vor der Corona-Gefahr gewarnt, behauptet er. Die USA sind der größte Geldgeber der WHO.

2012 - Radikalislamische [Gruppe 1] verteilen in Dutzenden deutschen Städten kostenlose Koran-Exemplare. Dahinter steht das Netzwerk ""Die wahre Religion"" um den Prediger Ibrahim Abou Nagie. Die Aktion wird von Politikern heftig kritisiert.

2007 - Die weltberühmte Olympiaschanze von Garmisch-Partenkirchen wird vor den Augen Tausender Zuschauer gesprengt, um einer neuen",NO_CRIME_FRAME,NO_CRIME_FRAME,,,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Die **[Gruppe 1]** wird explizit mit einer radikalislamischen Aktion (Koran-Verteilung) verknüpft, die von Politikern als kritisch bewertet wird, was eine **ideologische Nähe zu potenzieller Radikalisierung oder Extremismus** nahelegt – ein klassischer **Sicherheits- und Kriminalitätsrahmen mit negativer Konnotation**.","Label: **CRIME_FRAME_NEG**
Explanation: Die **[Gruppe 1]** wird explizit mit einer radikalislamischen Aktion (Koran-Verteilung) verknüpft, die von Politikern als kritisch bewertet wird, was eine **ideologische Nähe zu potenzieller Radikalisierung oder Extremismus** nahelegt – ein klassischer **Sicherheits- und Kriminalitätsrahmen mit negativer Konnotation**.",hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
27,632712a23dd49b919c1a290d,9,RUS,"Die Firma soll demnach schon 2019 versucht haben, die Panzer an die Ukraine zu verkaufen. Damals hatte das Ministerium allerdings den Verkauf nicht erlaubt. Für Rüstungsgüter, die ursprünglich für die Bundeswehr hergestellt wurden, muss auch bei einem Weiterverkauf immer eine Genehmigung durch die Bundesregierung erteilt werden. Auch nach Ausbruch des Krieges hatte die Bundesregierung bisher keine Panzer oder Artillerie an die Ukraine geliefert. Die Panzer können allerdings nicht sofort verschickt werden, da sie zuvor noch instandgesetzt werden müssen. Dies wird laut dem Bericht einige Wochen dauern.

""Uns gehen die Worte aus"": [Gruppe 1] sollen Hilfskonvoi geplündert habenRobert Habeck: Ohne MistLambrechts Salamitaktik: Das Rätsel um deutsche Waffenlieferungen

Zuletzt hieß es in mehreren Medienberichten, dass die Bundesregierung eine weitere Waffenlieferung an die Ukraine vorbereite. Demnach wurde eine Liste zusammengestellt, die Rüstungsgüter im Wert von 300 Millionen Euro enthielten. Laut ""Welt"" war die Ukraine allerdings nicht über die Planungen der Bundesregierung informiert. ""Es ist zu befürchten, dass Waffen, die in dieser Phase des Krieges besonders gebraucht werden, nicht auf der Liste stehen"", hieß es aus Kiewer Regierungskreisen.",NO_CRIME_FRAME,NO_CRIME_FRAME,war/propaganda,,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit **[Gruppe 1]** mit der Plünderung eines Hilfskonvois, was eine direkte Zuschreibung kriminellen Verhaltens darstellt.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft explizit **[Gruppe 1]** mit der Plünderung eines Hilfskonvois, was eine direkte Zuschreibung kriminellen Verhaltens darstellt.",hard_case,0.6,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0,True,False,DISAGREE
29,639718d29be23c517b04d3de,5,USA,"Wegen eines Mordes im Berliner Tiergarten sitzt ein [Andere Gruppe] in deutscher Haft. Wie jetzt bekannt wurde, hat Moskau offenbar versucht, den Mann im Zuge der Verhandlungen um die US-Basketballerin Brittney Griner freizubekommen.

Im Zuge der Verhandlungen über die Freilassung der US-amerikanischen Basketballspielerin Brittney Griner und eines weiteren [Gruppe 1] soll Russland nach US-Angaben die Überstellung des verurteilten [Andere Gruppe] im sogenannten Tiergartenmordfall gefordert haben. „Sie haben die Übergabe eines Mannes (...) gefordert, eines Mörders, der in Deutschland in Haft sitzt“, sagte der Kommunikationsdirektor des Nationalen Sicherheitsrats, John Kirby, dem US-Sender ABC News am Sonntag.

Dies sei von den USA aber nicht als ernsthaftes Gegenangebot betrachtet worden. Schließlich könne sich Washington nicht einmischen, wenn sich der Mann nicht in US-Gewahrsam befinde. Bereits im Juli hatte es Berichte gegeben, nach denen Russland den USA die Forderung über informelle Geheimdienstkanäle unterbreitet haben soll. Das Ersuchen war den Berichten zufolge unter anderem als problematisch eingestuft worden, weil der heute 57-Jährige in Deutschland im Gefängnis sitzt.",NO_CRIME_FRAME,NO_CRIME_FRAME,unsure bc is in prison ,,NO_CRIME_FRAME,NO_CRIME_FRAME,ministral-3-14b,CRIME_FRAME_NEG,"Der Absatz verknüpft die **[Andere Gruppe]** explizit mit einem **Mord** („Mörder, der in Deutschland in Haft sitzt“) und stellt sie als Täter einer Straftat dar, ohne dies zu relativieren oder zu widerlegen.","Label: **CRIME_FRAME_NEG**
Explanation: Der Absatz verknüpft die **[Andere Gruppe]** explizit mit einem **Mord** („Mörder, der in Deutschland in Haft sitzt“) und stellt sie als Täter einer Straftat dar, ohne dies zu relativieren oder zu widerlegen.",hard_case,0.6,CRIME_FRAME_NEG,NO_CRIME_FRAME,hard_cases.csv,1.0,True,False,DISAGREE
30,635dbf9ed475b1af680a355e,3,RUS,"Der neue ukrainische Botschafter in Deutschland, Oleksii Makeiev, hat Deutschland davor gewarnt, russische Kriegsdienstverweigerer aufzunehmen.

„Da fliehen junge Männer, die nichts bereuen, sich trotzdem vor dem Militärdienst drücken wollen und am Ende Russlandfahnen schwenkend in Autokorsos durch deutsche Städte fahren“, sagte Makeiev der Bild am Sonntag. „Diese [Gruppe 1] sind ein Sicherheitsrisiko, nicht nur für Deutschland, sondern auch für alle jungen [Andere Gruppe] mit ihren Kindern, die am Ende in Flüchtlingsunterkünften diesen Männern gegenübersitzen müssten. Es wäre falsch von Deutschland, russische Deserteure aufzunehmen.“

Gleichzeitig bekräftigte Makeiev die Ablehnung von Verhandlungen mit dem russischen Präsidenten Wladimir Putin. „Wir werden mit Putin keine Verhandlungen führen“, sagte Makeiev. „Unsere Verhandlungen der vergangenen acht Jahre haben dazu geführt, dass nicht mehr sieben, sondern 20 Prozent unseres Territoriums unter russischer Besatzung stehen.“ Tausende [Andere Gruppe] seien seit Verhandlungsbeginn vor acht Jahren von [Gruppe 1] getötet, unzählige vergewaltigt und gefoltert worden. „Wie viele Butschas müssen wir der Welt noch zeigen, damit allen klar wird, dass man mit den [Gruppe 1] nicht reden kann?“",CRIME_FRAME_NEG,CRIME_FRAME_NEG,,,CRIME_FRAME_NEG,CRIME_FRAME_NEG,ministral-3-14b,NO_CRIME_FRAME,"Die Gruppe [Gruppe 1] wird hier nicht als Täter oder Sicherheitsrisiko im Sinne von Kriminalität oder Gewalt dargestellt, sondern als politische Akteure (russische Kriegsdienstverweigerer), deren Aufnahme als *mögliche* Gefahr für Sicherheit *behauptet* wird – allerdings ohne konkrete kriminelle Handlungen oder Täterschaft der Gruppe selbst. Der Fokus liegt auf geopolitischer Konfliktführung, nicht auf Kriminalität oder Sicherheitsverstößen.","Label: **NO_CRIME_FRAME**
Explanation: Die Gruppe [Gruppe 1] wird hier nicht als Täter oder Sicherheitsrisiko im Sinne von Kriminalität oder Gewalt dargestellt, sondern als politische Akteure (russische Kriegsdienstverweigerer), deren Aufnahme als *mögliche* Gefahr für Sicherheit *behauptet* wird – allerdings ohne konkrete kriminelle Handlungen oder Täterschaft der Gruppe selbst. Der Fokus liegt auf geopolitischer Konfliktführung, nicht auf Kriminalität oder Sicherheitsverstößen.",hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0,True,False,DISAGREE
